|6.6.6
Archiving\03_Data\DfracLP/QFM_m2.75/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1884.71        500.000        99.3667                 NaN  0.633342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3694                 NaN  0.630627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.2747                 NaN  0.725256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5789                 NaN  0.421117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.2790                 NaN  0.721040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3819                 NaN  0.618138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.2851                 NaN  0.714938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4857                 NaN  0.514312       0.149679E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3738                 NaN  0.611205       0.150445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3749                 NaN  0.610038       0.150596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3771                 NaN  0.607892       0.149736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3775                 NaN  0.607513       0.149645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3737                 NaN  0.611328       0.149765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3850                 NaN  0.600116       0.148346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3815                 NaN  0.603680       0.148572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3824                 NaN  0.602821       0.148225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3832                 NaN  0.602022       0.147889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3836                 NaN  0.601605       0.147579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3826                 NaN  0.602634       0.147928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3860                 NaN  0.599359       0.146632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3843                 NaN  0.601029       0.146748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3852                 NaN  0.600184       0.146142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3845                 NaN  0.600934       0.146076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3846                 NaN  0.600845       0.145829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3838                 NaN  0.601581       0.145794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3828                 NaN  0.602617       0.145393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3822                 NaN  0.603253       0.145254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4037                 NaN  0.582301       0.139759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3590                 NaN  0.626070       0.149265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3770                 NaN  0.608477       0.144912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3807                 NaN  0.605001       0.143414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3858                 NaN  0.600039       0.141595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3623                 NaN  0.623075       0.146472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3745                 NaN  0.611179       0.143193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3715                 NaN  0.614218       0.143050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4798                 NaN  0.508377       0.117952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.2524                 NaN  0.730752       0.168534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3639                 NaN  0.621779       0.143340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3621                 NaN  0.623632       0.142303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3593                 NaN  0.626497       0.141912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3571                 NaN  0.628687       0.142129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3521                 NaN  0.633723       0.142208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.2405                 NaN  0.742942       0.166041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5067                 NaN  0.482624       0.106888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.2875                 NaN  0.697118       0.153568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3381                 NaN  0.647752       0.141785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3332                 NaN  0.652576       0.141791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3308                 NaN  0.655006       0.141614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3264                 NaN  0.659429       0.141640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3209                 NaN  0.664963       0.141776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3175                 NaN  0.668360       0.141465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3125                 NaN  0.673328       0.141628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3088                 NaN  0.677020       0.141368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3034                 NaN  0.682415       0.141546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.2987                 NaN  0.687186       0.141440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.2936                 NaN  0.692271       0.141525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.2878                 NaN  0.698007       0.141685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.2841                 NaN  0.701761       0.141433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.2782                 NaN  0.707603       0.141535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3132                 NaN  0.673445       0.133881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2274                 NaN  0.757615       0.149623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2645                 NaN  0.721379       0.141314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2574                 NaN  0.728470       0.141726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.2511                 NaN  0.734665       0.141901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4138                 NaN  0.572121       0.141293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.0740                 NaN  0.911724       0.142423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.2294                 NaN  0.756231       0.143724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.2383                 NaN  0.747706       0.140362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2253                 NaN  0.760445       0.142097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2200                 NaN  0.765783       0.142162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2155                 NaN  0.770252       0.142162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2095                 NaN  0.776256       0.142464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2052                 NaN  0.780593       0.142489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2005                 NaN  0.785269       0.142397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.1951                 NaN  0.790686       0.142566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.1889                 NaN  0.796779       0.143062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.1871                 NaN  0.798672       0.142637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1835                 NaN  0.802224       0.142435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1779                 NaN  0.807751       0.142998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.1741                 NaN  0.811581       0.142891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1712                 NaN  0.814490       0.142855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1618                 NaN  0.823816       0.144173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1686                 NaN  0.817151       0.142207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1611                 NaN  0.824584       0.143244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.1579                 NaN  0.827795       0.143194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1537                 NaN  0.832007       0.143362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1540                 NaN  0.831662       0.143144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1521                 NaN  0.833536       0.143294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1500                 NaN  0.835704       0.143067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1472                 NaN  0.838436       0.143310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1468                 NaN  0.838888       0.143117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1470                 NaN  0.838705       0.142896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.1458                 NaN  0.839895       0.143213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1454                 NaN  0.840279       0.143110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.1462                 NaN  0.839536       0.142870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1450                 NaN  0.840677       0.142924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1482                 NaN  0.837580       0.142351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1477                 NaN  0.838038       0.142695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.1499                 NaN  0.835828       0.142313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.1503                 NaN  0.835413       0.142365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1522                 NaN  0.833629       0.142111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1550                 NaN  0.830798       0.141809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1581                 NaN  0.827724       0.141550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.1599                 NaN  0.825974       0.141518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.1639                 NaN  0.822017       0.141066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.1659                 NaN  0.820038       0.141070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.1708                 NaN  0.815187       0.140510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.1637                 NaN  0.822053       0.142112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.1852                 NaN  0.800884       0.139029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.1868                 NaN  0.799275       0.138834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        97.3917                 NaN  0.879679                 NaN   1.72866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.9966                 NaN            NaN  0.335603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3571                 NaN  0.112680                 NaN   1.53022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3503                 NaN  0.121090                 NaN   1.52865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3797                 NaN  0.935961E-001            NaN   1.52673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.4095                 NaN  0.138616                 NaN   1.45185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.4356                 NaN  0.113714                 NaN   1.45065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4658                 NaN  0.109288                 NaN   1.42491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4909                 NaN  0.103484                 NaN   1.40563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.5038                 NaN  0.103354                 NaN   1.39286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5524                 NaN  0.989476E-001            NaN   1.34864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5609                 NaN  0.901986E-001            NaN   1.34894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5868                 NaN  0.902731E-001            NaN   1.32289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6071                 NaN  0.882076E-001            NaN   1.30474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8695                 NaN  0.668200E-001            NaN   1.06369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.4048                 NaN  0.930959E-001            NaN   1.50215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6751                 NaN  0.795791E-001            NaN   1.24531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6944                 NaN  0.771434E-001            NaN   1.22849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7117                 NaN  0.733085E-001            NaN   1.21496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7294                 NaN  0.695096E-001            NaN   1.20112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7355                 NaN  0.555288E-001            NaN   1.20893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7740                 NaN  0.634190E-001            NaN   1.16262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7809                 NaN  0.563565E-001            NaN   1.16278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8024                 NaN  0.590846E-001            NaN   1.13851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8179                 NaN  0.558745E-001            NaN   1.12622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8320                 NaN  0.528758E-001            NaN   1.11512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.0267                 NaN  0.296887E-001            NaN  0.943620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.6703                 NaN  0.534020E-001            NaN   1.27627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8774                 NaN  0.412154E-001            NaN   1.08135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8927                 NaN  0.427240E-001            NaN   1.06456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9091                 NaN  0.457994E-001            NaN   1.04505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9249                 NaN  0.366000E-001            NaN   1.03848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9341                 NaN  0.368318E-001            NaN   1.02904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9457                 NaN  0.372860E-001            NaN   1.01704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9606                 NaN  0.255164E-001            NaN   1.01386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9504                 NaN  0.136607E-001            NaN   1.03595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9981                 NaN  0.294931E-001            NaN  0.972438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9924                 NaN  0.215922E-001            NaN  0.986007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0086                 NaN  0.233507E-001            NaN  0.968029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.0138                 NaN  0.177084E-001            NaN  0.968501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0282                 NaN  0.182343E-001            NaN  0.953602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0392                 NaN  0.143453E-001            NaN  0.946434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.0468                 NaN  0.100053E-001            NaN  0.943217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0574                 NaN  0.101161E-001            NaN  0.932480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0671                 NaN  0.122300E-001            NaN  0.920713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.0757                 NaN  0.132214E-001            NaN  0.911118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0878                 NaN  0.368209E-001            NaN  0.875365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0928                 NaN            NaN            NaN  0.907177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.1006                 NaN            NaN            NaN  0.899377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.0526                 NaN            NaN            NaN  0.567147       0.380234                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        98.9486                 NaN            NaN            NaN  0.109115       0.942297                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.9489                 NaN            NaN            NaN            NaN   1.05107                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        98.9602                 NaN            NaN            NaN  0.715368E-001  0.968231                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        98.9628                 NaN            NaN            NaN            NaN   1.03715                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.9614                 NaN            NaN            NaN            NaN   1.03859                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.9663                 NaN            NaN            NaN            NaN   1.03369                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.9674                 NaN            NaN            NaN            NaN   1.03258                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        98.9714                 NaN            NaN            NaN            NaN   1.02864                 NaN            NaN            NaN            NaN            NaN            NaN
