|6.6.6
Archiving\03_Data\DfracLP/QFM_m1.75/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000       100.0000                 NaN  0.102786E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.5593                 NaN  0.440670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3459                 NaN  0.654112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3498                 NaN  0.650225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.1670                 NaN  0.832981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.5393                 NaN  0.460736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3619                 NaN  0.638110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3639                 NaN  0.636079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3683                 NaN  0.631714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3707                 NaN  0.629310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3761                 NaN  0.623884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3781                 NaN  0.621923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.2018                 NaN  0.781017       0.171989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5497                 NaN  0.450304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3868                 NaN  0.613245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3859                 NaN  0.614067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3204                 NaN  0.679588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4532                 NaN  0.533913       0.128410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3787                 NaN  0.606465       0.148693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3806                 NaN  0.604590       0.148204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.2885                 NaN  0.694542       0.169894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4860                 NaN  0.501723       0.123052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3916                 NaN  0.593861       0.145450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3874                 NaN  0.597941       0.146858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3933                 NaN  0.592186       0.144875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3906                 NaN  0.594814       0.145627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3940                 NaN  0.591539       0.144783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3935                 NaN  0.592097       0.144461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3935                 NaN  0.592069       0.144402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3944                 NaN  0.591159       0.144272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3942                 NaN  0.591402       0.144112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3945                 NaN  0.591201       0.143478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3906                 NaN  0.595024       0.144181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5791                 NaN  0.410868       0.999222E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.9392                 NaN  0.592510E-001  0.156122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        98.6658                 NaN   1.30294       0.312130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3997                 NaN  0.586297       0.140283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.3934                 NaN  0.592444       0.141964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3907                 NaN  0.595105       0.142397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3916                 NaN  0.594294       0.141525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3892                 NaN  0.596668       0.141311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3881                 NaN  0.597784       0.140968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3866                 NaN  0.599326       0.140975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3829                 NaN  0.602995       0.141280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3858                 NaN  0.600213       0.139838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3815                 NaN  0.604481       0.140318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3785                 NaN  0.607492       0.140396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3770                 NaN  0.609051       0.139901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3745                 NaN  0.611529       0.139816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4317                 NaN  0.555633       0.126353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3069                 NaN  0.677702       0.153583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3652                 NaN  0.620846       0.139751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3654                 NaN  0.620710       0.138724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3600                 NaN  0.626046       0.139119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3537                 NaN  0.632358       0.139756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3535                 NaN  0.632620       0.138779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3454                 NaN  0.640653       0.139644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3486                 NaN  0.637636       0.138112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3392                 NaN  0.646848       0.139401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3380                 NaN  0.648191       0.138446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3318                 NaN  0.654298       0.138974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3262                 NaN  0.659870       0.139571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3287                 NaN  0.657567       0.137522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3189                 NaN  0.667244       0.138799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3171                 NaN  0.669067       0.138067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3101                 NaN  0.676026       0.138617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3045                 NaN  0.681562       0.138904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3012                 NaN  0.684966       0.138414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.2949                 NaN  0.691228       0.138729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.2910                 NaN  0.695198       0.138247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2835                 NaN  0.702590       0.138850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2802                 NaN  0.706001       0.138399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2749                 NaN  0.711229       0.138467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.2685                 NaN  0.717598       0.138866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2621                 NaN  0.723967       0.139023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.2602                 NaN  0.725943       0.138424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        98.7786                 NaN   1.19879       0.226072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.7217                 NaN  0.273170       0.508982E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2421                 NaN  0.743991       0.138881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2362                 NaN  0.749885       0.139094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2323                 NaN  0.753769       0.138993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2270                 NaN  0.759089       0.139043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2201                 NaN  0.766002       0.139376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2161                 NaN  0.769941       0.139226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2115                 NaN  0.774595       0.139202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2043                 NaN  0.781688       0.139647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2023                 NaN  0.783785       0.139284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1960                 NaN  0.790032       0.139761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1927                 NaN  0.793376       0.139380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.1895                 NaN  0.796509       0.139465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1841                 NaN  0.801944       0.139672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1714                 NaN  0.814481       0.141380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1846                 NaN  0.801603       0.138223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1720                 NaN  0.814031       0.139815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.1698                 NaN  0.816201       0.139802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1651                 NaN  0.820916       0.139933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1645                 NaN  0.821475       0.139859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1584                 NaN  0.827608       0.140380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1569                 NaN  0.829140       0.140034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1612                 NaN  0.824860       0.139025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1548                 NaN  0.831250       0.139909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1530                 NaN  0.832986       0.139831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.1520                 NaN  0.834031       0.139972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1519                 NaN  0.834130       0.139593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.1497                 NaN  0.836319       0.139833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1503                 NaN  0.835704       0.139601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1503                 NaN  0.835755       0.139374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1498                 NaN  0.836245       0.139674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.1506                 NaN  0.835478       0.139282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.0955                 NaN  0.889655       0.148424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2099                 NaN  0.777173       0.129705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1568                 NaN  0.829403       0.138376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1547                 NaN  0.831437       0.138950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.1609                 NaN  0.825268       0.137950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.1611                 NaN  0.825061       0.138010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.1602                 NaN  0.825933       0.138421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.1625                 NaN  0.823664       0.138442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.1791                 NaN  0.807312       0.135739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.1684                 NaN  0.817770       0.137921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.1833                 NaN  0.803177       0.135642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.1784                 NaN  0.807926       0.136733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.3758                 NaN  0.219687                 NaN   1.40446                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.2621                 NaN  0.117403                 NaN   1.62054                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3270                 NaN  0.129224                 NaN   1.54376                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3541                 NaN  0.127729                 NaN   1.51821                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3760                 NaN  0.122151                 NaN   1.50182                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.4054                 NaN  0.120241                 NaN   1.47434                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4326                 NaN  0.116982                 NaN   1.45043                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4609                 NaN  0.112833                 NaN   1.42628                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4580                 NaN  0.105054                 NaN   1.43693                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5360                 NaN  0.103759                 NaN   1.36026                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5270                 NaN  0.105320                 NaN   1.36769                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5644                 NaN  0.994896E-001            NaN   1.33611                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5792                 NaN  0.929305E-001            NaN   1.32790                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6016                 NaN  0.901135E-001            NaN   1.30826                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6185                 NaN  0.824656E-001            NaN   1.29904                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6500                 NaN  0.890283E-001            NaN   1.26097                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6639                 NaN  0.790888E-001            NaN   1.25702                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6823                 NaN  0.769416E-001            NaN   1.24075                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7080                 NaN  0.778658E-001            NaN   1.21410                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7217                 NaN  0.729674E-001            NaN   1.20534                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7410                 NaN  0.685019E-001            NaN   1.19052                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7521                 NaN  0.608620E-001            NaN   1.18704                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7611                 NaN  0.634411E-001            NaN   1.17545                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8084                 NaN  0.624729E-001            NaN   1.12913                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8055                 NaN  0.553520E-001            NaN   1.13918                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8274                 NaN  0.553012E-001            NaN   1.11728                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8430                 NaN  0.543675E-001            NaN   1.10266                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8556                 NaN  0.510341E-001            NaN   1.09334                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8708                 NaN  0.501706E-001            NaN   1.07900                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8845                 NaN  0.476503E-001            NaN   1.06788                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8987                 NaN  0.444468E-001            NaN   1.05688                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9103                 NaN  0.370369E-001            NaN   1.05267                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9258                 NaN  0.393527E-001            NaN   1.03488                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9384                 NaN  0.377897E-001            NaN   1.02386                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9488                 NaN  0.301569E-001            NaN   1.02108                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9606                 NaN  0.288103E-001            NaN   1.01063                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.6733                 NaN  0.327003E-001            NaN   1.29401                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.2855                 NaN  0.205076E-001            NaN  0.694029                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9945                 NaN  0.142295E-001            NaN  0.991282                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0065                 NaN  0.270633E-001            NaN  0.966421                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0139                 NaN  0.131919E-001            NaN  0.972947                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.0259                 NaN  0.145449E-001            NaN  0.959564                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0350                 NaN  0.107176E-001            NaN  0.954244                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0436                 NaN  0.668369E-002            NaN  0.949765                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.0546                 NaN  0.146828E-002            NaN  0.943919                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0633                 NaN  0.833664E-002            NaN  0.928336                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0704                 NaN  0.106801E-001            NaN  0.918901                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.0810                 NaN  0.330375E-005            NaN  0.918960                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.0912                 NaN  0.441491E-002            NaN  0.904425                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        99.0977                 NaN            NaN            NaN  0.902347                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        99.1111                 NaN  0.341873E-001            NaN  0.854738                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        99.1140                 NaN  0.249377E-002            NaN  0.883508                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        99.1205                 NaN            NaN            NaN  0.879516                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.0790                 NaN            NaN            NaN  0.594398       0.326561                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.9488                 NaN            NaN            NaN            NaN   1.05116                 NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.9567                 NaN            NaN            NaN            NaN   1.04333                 NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        98.9557                 NaN            NaN            NaN            NaN   1.04431                 NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        98.9584                 NaN            NaN            NaN            NaN   1.04157                 NaN            NaN            NaN            NaN            NaN
  1461.15        500.000        98.9541                 NaN            NaN            NaN            NaN   1.04587                 NaN            NaN            NaN            NaN            NaN
  1458.65        500.000        98.9569                 NaN            NaN            NaN            NaN   1.04309                 NaN            NaN            NaN            NaN            NaN
  1456.14        500.000        98.9531                 NaN            NaN            NaN            NaN   1.04688                 NaN            NaN            NaN            NaN            NaN
  1453.63        500.000        98.9533                 NaN            NaN            NaN            NaN   1.04666                 NaN            NaN            NaN            NaN            NaN
  1451.13        500.000        98.9440                 NaN            NaN            NaN            NaN   1.05604                 NaN            NaN            NaN            NaN            NaN
  1448.62        500.000        98.9378                 NaN            NaN            NaN            NaN   1.06224                 NaN            NaN            NaN            NaN            NaN
  1446.12        500.000        98.9292                 NaN            NaN            NaN            NaN   1.07083                 NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        98.9152                 NaN            NaN            NaN            NaN   1.08484                 NaN            NaN            NaN            NaN            NaN
  1441.10        500.000        98.8936                 NaN            NaN            NaN            NaN   1.10641                 NaN            NaN            NaN            NaN            NaN
  1438.60        500.000        98.8621                 NaN            NaN            NaN            NaN   1.13786                 NaN            NaN            NaN            NaN            NaN
  1436.09        500.000        98.6828                 NaN            NaN            NaN            NaN  0.380840       0.936389                 NaN            NaN            NaN            NaN
  1433.58        500.000        98.3649                 NaN            NaN            NaN            NaN   1.22790       0.407176                 NaN            NaN            NaN            NaN
  1431.08        500.000        98.3832                 NaN            NaN            NaN            NaN  0.403741        1.21310                 NaN            NaN            NaN            NaN
