|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/GRV/GRV_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1557.69        500.000       0.800520E-002   99.4007       0.531165       0.601676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.29        500.000       0.891483E-003   99.2490       0.750089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.89        500.000                 NaN   99.2522       0.747807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        500.000       0.331601E-003   99.2541       0.745613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.10        500.000                 NaN   99.2628       0.737184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        500.000                 NaN   99.2638       0.736233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.30        500.000       0.265389E-002   99.1446       0.851651       0.108994E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        500.000                 NaN   99.4001       0.599852       0.978889E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.51        500.000                 NaN   99.2654       0.734557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000                 NaN   99.2933       0.706735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.71        500.000                 NaN   99.2826       0.717406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.32        500.000                 NaN   99.2870       0.713004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.92        500.000                 NaN   99.2885       0.711458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        500.000                 NaN   99.2923       0.707748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.12        500.000                 NaN   99.2974       0.702647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        500.000                 NaN   99.2989       0.701118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.33        500.000                 NaN   99.3019       0.698126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        500.000                 NaN   99.3035       0.696513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.53        500.000                 NaN   99.3067       0.693306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        500.000                 NaN   99.0972                 NaN            NaN  0.902755                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.74        500.000                 NaN   99.0253                 NaN            NaN  0.974708                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        500.000                 NaN   99.0391                 NaN            NaN  0.960868                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.94        500.000                 NaN   98.7900                 NaN            NaN  0.834557       0.375441                 NaN            NaN            NaN            NaN            NaN
  1525.54        500.000       0.467586E-002   98.4256                 NaN            NaN   1.04933       0.520360                 NaN            NaN            NaN            NaN            NaN
  1524.14        500.000       0.145246E-002   98.3298       0.441895                 NaN   1.22685                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000       0.986531E-003   98.5007       0.413425                 NaN   1.08488                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.35        500.000       0.809065E-003   98.4628       0.430210                 NaN   1.10619                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000       0.721951E-003   98.4776       0.422890                 NaN   1.09877                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.55        500.000       0.528678E-003   98.5038       0.418482                 NaN   1.07722                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000       0.405655E-003   98.5254       0.412855                 NaN   1.06135                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.76        500.000       0.263040E-003   98.5523       0.405569                 NaN   1.04190                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        500.000       0.135271E-003   98.5741       0.399582                 NaN   1.02621                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.96        500.000       0.749415E-004   98.5969       0.395231                 NaN   1.00776                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000                 NaN   98.6194       0.386129                 NaN  0.994514                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.17        500.000       0.424599E-003   98.6423       0.376428                 NaN  0.980873                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000                 NaN   98.6623       0.371599                 NaN  0.966128                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.37        500.000                 NaN   98.6831       0.365512                 NaN  0.951355                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.97        500.000                 NaN   98.7027       0.358979                 NaN  0.938358                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.58        500.000       0.153450E-002   98.7264       0.341857                 NaN  0.930167                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        500.000       0.539318E-003   98.7337       0.353879                 NaN  0.911900                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.78        500.000                 NaN   98.7757       0.334675                 NaN  0.889619                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.38        500.000                 NaN   98.7793       0.331256                 NaN  0.889398                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.99        500.000                 NaN   98.7968       0.324553                 NaN  0.878684                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   98.8090       0.316496                 NaN  0.874497                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.19        500.000                 NaN   98.8335       0.310141                 NaN  0.856370                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.79        500.000                 NaN   98.8465       0.303103                 NaN  0.850443                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.39        500.000                 NaN   98.8600       0.298027       0.931887E-005  0.841991                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.8778       0.290454                 NaN  0.831756                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.60        500.000                 NaN   98.8953       0.284571                 NaN  0.820093                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.20        500.000                 NaN   98.9080       0.279703       0.106323E-004  0.812267                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        500.000                 NaN   98.9222       0.273185                 NaN  0.804621                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.41        500.000                 NaN   98.9370       0.265706                 NaN  0.797328                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.01        500.000                 NaN   98.9507       0.260806                 NaN  0.788474                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.61        500.000                 NaN   98.9636       0.254853                 NaN  0.781501                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.21        500.000                 NaN   98.9769       0.249218                 NaN  0.773863                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN   98.9898       0.244457                 NaN  0.765712                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.42        500.000                 NaN   99.0020       0.237777                 NaN  0.760228                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.02        500.000                 NaN   99.0137       0.233471                 NaN  0.752779                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000                 NaN   99.0266       0.226725                 NaN  0.746699                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.22        500.000                 NaN   99.0264       0.165139                 NaN  0.720014       0.884337E-001            NaN            NaN            NaN            NaN            NaN
  1473.83        500.000                 NaN   99.0260       0.793992E-001            NaN  0.679217       0.215352                 NaN            NaN            NaN            NaN            NaN
  1472.43        500.000                 NaN   99.0350       0.707308E-001            NaN  0.222976       0.671255                 NaN            NaN            NaN            NaN            NaN
  1471.03        500.000                 NaN   99.0434       0.643536E-001            NaN  0.663886       0.228332                 NaN            NaN            NaN            NaN            NaN
  1469.63        500.000                 NaN   99.0507       0.565961E-001            NaN  0.235581       0.657117                 NaN            NaN            NaN            NaN            NaN
  1468.24        500.000                 NaN   99.0658       0.482700E-001            NaN  0.643962       0.241937                 NaN            NaN            NaN            NaN            NaN
  1466.84        500.000                 NaN   99.0701       0.435722E-001            NaN  0.640316       0.245982                 NaN            NaN            NaN            NaN            NaN
  1465.44        500.000                 NaN   99.0822       0.363538E-001            NaN  0.251350       0.630144                 NaN            NaN            NaN            NaN            NaN
  1464.04        500.000                 NaN   99.0885       0.316641E-001            NaN  0.624729       0.255102                 NaN            NaN            NaN            NaN            NaN
  1462.65        500.000                 NaN   99.0991       0.259901E-001            NaN  0.616031       0.258840                 NaN            NaN            NaN            NaN            NaN
  1461.25        500.000                 NaN   99.1069       0.206559E-001            NaN  0.609686       0.262783                 NaN            NaN            NaN            NaN            NaN
  1459.85        500.000                 NaN   99.1138       0.158061E-001            NaN  0.604248       0.266102                 NaN            NaN            NaN            NaN            NaN
  1458.45        500.000                 NaN   99.1213       0.109262E-001            NaN  0.597341       0.270432                 NaN            NaN            NaN            NaN            NaN
  1457.05        500.000                 NaN   99.1318       0.619084E-002            NaN  0.588621       0.273360                 NaN            NaN            NaN            NaN            NaN
  1455.66        500.000                 NaN   99.1369       0.217378E-002            NaN  0.584815       0.276151                 NaN            NaN            NaN            NaN            NaN
  1454.26        500.000       0.606919E-003   99.1464                 NaN            NaN  0.276877       0.576157                 NaN            NaN            NaN            NaN            NaN
  1452.86        500.000       0.172311E-002   99.1533                 NaN            NaN  0.567923       0.277040                 NaN            NaN            NaN            NaN            NaN
  1451.46        500.000       0.173767E-002   99.1603                 NaN            NaN  0.562467       0.275460                 NaN            NaN            NaN            NaN            NaN
  1450.07        500.000       0.168369E-002   99.1679                 NaN            NaN  0.557638       0.272822                 NaN            NaN            NaN            NaN            NaN
  1448.67        500.000       0.163099E-002   99.1745                 NaN            NaN  0.552531       0.271355                 NaN            NaN            NaN            NaN            NaN
  1447.27        500.000       0.158027E-002   99.1810                 NaN            NaN  0.547771       0.269680                 NaN            NaN            NaN            NaN            NaN
  1445.87        500.000       0.151756E-002   99.1934                 NaN  0.421796E-005  0.540053       0.264990                 NaN            NaN            NaN            NaN            NaN
  1444.47        500.000       0.147361E-002   99.1977                 NaN            NaN  0.264104       0.536722                 NaN            NaN            NaN            NaN            NaN
  1443.08        500.000       0.142147E-002   99.2044                 NaN            NaN  0.261984       0.532242                 NaN            NaN            NaN            NaN            NaN
  1441.68        500.000       0.137474E-002   99.2114                 NaN            NaN  0.527180       0.260040                 NaN            NaN            NaN            NaN            NaN
  1440.28        500.000       0.132875E-002   99.2179                 NaN            NaN  0.258055       0.522709                 NaN            NaN            NaN            NaN            NaN
  1438.88        500.000       0.127749E-002   99.2249                 NaN            NaN  0.517905       0.255868                 NaN            NaN            NaN            NaN            NaN
  1437.49        500.000       0.123300E-002   99.2284                 NaN            NaN  0.516050       0.254290                 NaN            NaN            NaN            NaN            NaN
  1436.09        500.000       0.118433E-002   99.2404                 NaN            NaN  0.507061       0.251401                 NaN            NaN            NaN            NaN            NaN
  1434.69        500.000       0.114054E-002   99.2441                 NaN            NaN  0.504618       0.250180                 NaN            NaN            NaN            NaN            NaN
  1433.29        500.000       0.109613E-002   99.2504                 NaN            NaN  0.248360       0.500153                 NaN            NaN            NaN            NaN            NaN
  1431.90        500.000       0.105123E-002   99.2565                 NaN            NaN  0.246449       0.496048                 NaN            NaN            NaN            NaN            NaN
  1430.50        500.000       0.101174E-002   99.2620                 NaN            NaN  0.492208       0.244823                 NaN            NaN            NaN            NaN            NaN
