|6.6.6
Archiving\03_Data\fracLP/QFM_m0.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         Sp(TH)         Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1949.87        500.000        99.1690       0.830988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.1690       0.830986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.1690       0.830984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.1690       0.830982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.1690       0.830980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.1690       0.830977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.1690       0.830975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.1690       0.830973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.1690       0.830971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.1690       0.830968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.1690       0.830966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.1690       0.830964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.1690       0.830961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.1690       0.830959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.1690       0.830956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.1690       0.830954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.1690       0.830952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.1691       0.830949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.1691       0.830947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.1691       0.830944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.1691       0.830942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.1691       0.830939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.1691       0.830936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.1691       0.830934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.1691       0.830931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.1691       0.830929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.1691       0.830926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.1691       0.830923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1691       0.830920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.1691       0.830918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.1691       0.830915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.1691       0.830912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1691       0.830910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.1691       0.830907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1691       0.830904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1691       0.830901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1691       0.830898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1691       0.830895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1691       0.830892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1691       0.830889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1691       0.830886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1691       0.830883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1691       0.830880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1691       0.830877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1691       0.830874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1691       0.830871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1691       0.830868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1691       0.830865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1691       0.830861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1691       0.830858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1691       0.830855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1691       0.830852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1692       0.830848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1531       0.830844       0.161033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1509       0.830974       0.180910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1509       0.831121       0.179730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1509       0.831266       0.178415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1508       0.831410       0.177406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1509       0.831553       0.175664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1509       0.831695       0.174500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1508       0.831836       0.173382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1507       0.831976       0.173073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1509       0.832116       0.170017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1507       0.832253       0.170115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1506       0.832391       0.170327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1509       0.832528       0.166006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1451       0.832661       0.222672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1564       0.832843       0.107478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1507       0.832928       0.163506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1507       0.833060       0.162791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1507       0.833191       0.160915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1507       0.833321       0.160060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1506       0.833449       0.159054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1507       0.833577       0.157558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1506       0.833704       0.156696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1506       0.833830       0.155346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1506       0.833955       0.154223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1506       0.834079       0.152991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.1506       0.834202       0.152246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.1506       0.834324       0.151036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1506       0.834445       0.149495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.1506       0.834565       0.148796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.1506       0.834685       0.147524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.7504       0.834814       0.140103E-001            NaN            NaN  0.400772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3545                 NaN  0.138164E-001            NaN            NaN  0.631647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3503                 NaN  0.137939E-001            NaN            NaN  0.635910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3446                 NaN  0.137793E-001            NaN            NaN  0.641615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3086                 NaN  0.146537E-001            NaN            NaN  0.676749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3659                 NaN  0.129031E-001            NaN            NaN  0.621244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3258                 NaN  0.138410E-001            NaN            NaN  0.660328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3264                 NaN  0.137038E-001            NaN            NaN  0.659937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3181                 NaN  0.137523E-001            NaN            NaN  0.668160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3125                 NaN  0.137560E-001            NaN            NaN  0.673761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3068                 NaN  0.137488E-001            NaN            NaN  0.679429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3004                 NaN  0.137745E-001            NaN            NaN  0.685849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2969                 NaN  0.137074E-001            NaN            NaN  0.689440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2890                 NaN  0.137563E-001            NaN            NaN  0.697194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2837                 NaN  0.137495E-001            NaN            NaN  0.702539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2778                 NaN  0.137397E-001            NaN            NaN  0.708448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2726                 NaN  0.137433E-001            NaN            NaN  0.713693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2652                 NaN  0.137769E-001            NaN            NaN  0.720999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2615                 NaN  0.137236E-001            NaN            NaN  0.724727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2545                 NaN  0.137279E-001            NaN            NaN  0.731801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2492                 NaN  0.137404E-001            NaN            NaN  0.737083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2421                 NaN  0.137577E-001            NaN            NaN  0.744105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2405                 NaN  0.136870E-001            NaN            NaN  0.745768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2330                 NaN  0.137310E-001            NaN            NaN  0.753311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2260                 NaN  0.137547E-001            NaN            NaN  0.760255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2239                 NaN  0.137161E-001            NaN            NaN  0.762405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2157                 NaN  0.137467E-001            NaN            NaN  0.770546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2106                 NaN  0.137503E-001            NaN            NaN  0.775657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2079                 NaN  0.137218E-001            NaN            NaN  0.778370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2053                 NaN  0.137034E-001            NaN            NaN  0.780970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1941                 NaN  0.138071E-001            NaN            NaN  0.792128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1945                 NaN  0.137152E-001            NaN            NaN  0.791827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1895                 NaN  0.137163E-001            NaN            NaN  0.796769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1865                 NaN  0.137321E-001            NaN            NaN  0.799784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        96.2502                 NaN  0.613052E-001            NaN            NaN   3.68850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.6614                 NaN  0.657524E-002            NaN            NaN  0.332058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1707                 NaN  0.136579E-001            NaN            NaN  0.815675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1658                 NaN  0.136967E-001            NaN            NaN  0.820466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.1643                 NaN  0.136945E-001            NaN            NaN  0.822034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.1625                 NaN  0.136833E-001            NaN            NaN  0.823844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1607                 NaN  0.136931E-001            NaN            NaN  0.825615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        98.7051                 NaN  0.211622E-001            NaN            NaN   1.27374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.8146                 NaN  0.192535E-001            NaN            NaN   1.16616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.9648                 NaN  0.588379E-003            NaN            NaN  0.346061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.1616                 NaN  0.136134E-001            NaN            NaN  0.824819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.1600                 NaN  0.136315E-001            NaN            NaN  0.826379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        97.9709                 NaN  0.753851E-002            NaN            NaN  0.142769        1.87879                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.8388                 NaN  0.643351E-002            NaN            NaN  0.411269E-001   2.11362                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.5180                 NaN  0.118730E-002            NaN            NaN  0.614753E-002  0.474622                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        96.2850                 NaN  0.103615E-001            NaN            NaN  0.587241E-001   3.64594                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        97.9456                 NaN  0.555303E-002            NaN            NaN  0.236192E-001   2.02525                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        97.9775                 NaN  0.515258E-002            NaN            NaN  0.179253E-001   1.99943                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.0115                 NaN  0.490989E-002            NaN            NaN  0.126016E-001   1.97102                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.0410                 NaN  0.453849E-002            NaN            NaN  0.680930E-002   1.94761                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.0701                 NaN  0.421057E-002            NaN            NaN  0.123142E-002   1.92449                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.1016                 NaN  0.413200E-002            NaN            NaN  0.591648E-002   1.88838                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.1317                 NaN  0.370409E-002            NaN            NaN  0.698462E-002   1.85757                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.1547                 NaN  0.350225E-002            NaN            NaN            NaN   1.84184                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.1856                 NaN  0.323028E-002            NaN            NaN            NaN   1.81117                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.2093                 NaN  0.295109E-002            NaN            NaN  0.278324E-003   1.78750                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.2347                 NaN  0.273628E-002            NaN            NaN            NaN   1.76255                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.2615                 NaN  0.240241E-002            NaN            NaN            NaN   1.73606                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.2830                 NaN  0.217974E-002            NaN            NaN            NaN   1.71485                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.3059                 NaN  0.202251E-002            NaN            NaN            NaN   1.69209                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.3260                 NaN  0.162271E-002            NaN            NaN            NaN   1.67236                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.3486                 NaN  0.151788E-002            NaN            NaN            NaN   1.64991                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.3749                 NaN  0.131095E-002            NaN            NaN            NaN   1.62375                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.0545                 NaN  0.157189E-002            NaN            NaN            NaN   1.94390                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7444                 NaN  0.725245E-003            NaN            NaN            NaN   1.25488                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.4278                 NaN  0.742798E-003            NaN            NaN            NaN   1.57150                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.4465                 NaN  0.360784E-003            NaN            NaN            NaN   1.55312                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.4635                 NaN  0.626982E-004            NaN            NaN            NaN   1.53641                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.4829                 NaN  0.417280E-003            NaN            NaN            NaN   1.51667                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.4985                 NaN  0.106756E-002            NaN            NaN            NaN   1.50047                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.5120                 NaN            NaN            NaN            NaN            NaN   1.48801                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.5272                 NaN            NaN            NaN            NaN            NaN   1.47276                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.5445                 NaN  0.149374E-002            NaN            NaN            NaN   1.45402                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.5519                 NaN            NaN            NaN            NaN            NaN   1.44805                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.5692                 NaN            NaN            NaN            NaN            NaN   1.43081                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.5804                 NaN            NaN            NaN            NaN            NaN   1.41958                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.5927                 NaN            NaN            NaN            NaN            NaN   1.40733                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.6032                 NaN            NaN            NaN            NaN            NaN   1.39683                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.6142                 NaN            NaN            NaN            NaN            NaN   1.38577                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.6221                 NaN            NaN            NaN            NaN            NaN   1.37787                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.6300                 NaN            NaN            NaN            NaN            NaN   1.37002                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.6381                 NaN            NaN            NaN            NaN            NaN   1.36194                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.6439                 NaN            NaN            NaN            NaN            NaN   1.35614                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.2063                 NaN            NaN            NaN            NaN            NaN  0.332337E-001   1.76049                 NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        97.3628                 NaN            NaN            NaN            NaN            NaN  0.583147       0.533895        1.52013                 NaN            NaN            NaN            NaN
  1511.28        500.000        96.9771                 NaN  0.253283E-004            NaN            NaN            NaN  0.822836        2.20005                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        97.0569                 NaN  0.435911E-002            NaN            NaN            NaN  0.789832        2.14888                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        97.1310                 NaN  0.382777E-002            NaN            NaN            NaN  0.774494        2.09070                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        97.2028                 NaN  0.310056E-002            NaN            NaN            NaN  0.760835        2.03330                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        97.2710                 NaN  0.243713E-002            NaN            NaN            NaN  0.745207        1.98139                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        97.3344                 NaN  0.171776E-002            NaN            NaN            NaN  0.733029        1.93089                 NaN            NaN            NaN            NaN            NaN
