|6.6.6
Archiving\03_Data\frac/QFM_m4.5/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           ilm            San(TH)        q             
  1789.47        2500.00        99.3036       0.686689       0.968359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.3036       0.686830       0.960777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3035       0.686971       0.952559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.3034       0.687111       0.945427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3034       0.687250       0.939316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.3033       0.687389       0.930031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.0915       0.687602       0.932989E-002  0.211618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3889                 NaN  0.954609E-002  0.601569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.0540                 NaN  0.133565E-001  0.932637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.7627                 NaN  0.495801E-002  0.232347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3348                 NaN  0.101552E-001  0.655049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3752                 NaN  0.946354E-002  0.615384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.3693                 NaN  0.949304E-002  0.621177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3687                 NaN  0.941187E-002  0.621890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3617                 NaN  0.945097E-002  0.628872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3592                 NaN  0.941195E-002  0.631368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3546                 NaN  0.940951E-002  0.635951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3505                 NaN  0.940003E-002  0.640102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3459                 NaN  0.938840E-002  0.644759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3338                 NaN  0.950177E-002  0.656679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3464                 NaN  0.922807E-002  0.644328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        98.3747                 NaN  0.222620E-001   1.60305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.9982                 NaN  0.177099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.6265                 NaN  0.373694E-002  0.369772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3221                 NaN  0.931430E-002  0.668545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3175                 NaN  0.931134E-002  0.673212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3120                 NaN  0.932639E-002  0.678640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3104                 NaN  0.928011E-002  0.680365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3068                 NaN  0.926625E-002  0.683936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3037                 NaN  0.926406E-002  0.687076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2993                 NaN  0.926874E-002  0.691406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2897                 NaN  0.936417E-002  0.700956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3003                 NaN  0.914174E-002  0.690570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3363                 NaN  0.863034E-002  0.655083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2406                 NaN  0.982404E-002  0.749586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2840                 NaN  0.921822E-002  0.706805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2814                 NaN  0.920711E-002  0.709361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3151                 NaN  0.875039E-002  0.676165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2416                 NaN  0.960631E-002  0.748752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2749                 NaN  0.917316E-002  0.715976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2721                 NaN  0.916757E-002  0.718705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3009                 NaN  0.877644E-002  0.690325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2397                 NaN  0.951124E-002  0.750765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2720                 NaN  0.908491E-002  0.718922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2678                 NaN  0.912032E-002  0.723098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2680                 NaN  0.909332E-002  0.722910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2685                 NaN  0.907009E-002  0.722456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.0407                 NaN  0.862488E-002  0.644782       0.305883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.8615                 NaN  0.597578E-002  0.218063        1.91448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.8798                 NaN  0.541110E-002  0.206418        1.90835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.8708                 NaN  0.354372E-003  0.202185E-001  0.108584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        96.0820                 NaN  0.101407E-001  0.385071        3.52282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.0119                 NaN  0.497836E-002  0.190257        1.79287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.0477                 NaN  0.475701E-002  0.183741        1.76376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.0729                 NaN  0.456973E-002  0.177177        1.74537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.1196                 NaN  0.430442E-002  0.171177        1.70489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.1450                 NaN  0.411605E-002  0.164708        1.68619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.1393                 NaN  0.399210E-002  0.161393        1.69527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.2379                 NaN  0.356485E-002  0.149832        1.60866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.2357                 NaN  0.350233E-002  0.146848        1.61395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.2616                 NaN  0.324042E-002  0.141052        1.59413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2879                 NaN  0.303703E-002  0.135360        1.57366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.3097                 NaN  0.286742E-002  0.129542        1.55790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.3428                 NaN  0.263576E-002  0.124684        1.52988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.3433                 NaN  0.255872E-002  0.117062        1.53708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4045                 NaN  0.227954E-002  0.115443        1.47778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4101                 NaN  0.208318E-002  0.109054        1.47873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4213                 NaN  0.181043E-002  0.102444        1.47445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4624                 NaN  0.181012E-002  0.100016        1.43575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.4729                 NaN  0.155243E-002  0.938286E-001   1.43170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.4481                 NaN  0.126884E-002  0.843969E-001   1.46622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5571                 NaN  0.107720E-002  0.892324E-001   1.35256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5279                 NaN  0.969822E-003  0.795421E-001   1.39160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5493                 NaN  0.774266E-003  0.755644E-001   1.37436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        97.4468                 NaN  0.192677E-001  0.224902        2.30906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.7605                 NaN            NaN            NaN  0.239526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5959                 NaN            NaN  0.109367E-001   1.39315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6147                 NaN            NaN  0.582609E-001   1.32707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.6277                 NaN            NaN  0.543027E-001   1.31796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6479                 NaN            NaN  0.507735E-001   1.30137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6598                 NaN            NaN  0.468456E-001   1.29337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6724                 NaN            NaN  0.441000E-001   1.28352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.6878                 NaN            NaN  0.403231E-001   1.27192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.6986                 NaN            NaN  0.370240E-001   1.26433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.6610                 NaN            NaN  0.216133E-001  0.966895       0.350511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.5127                 NaN            NaN            NaN  0.944870E-001   1.39281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.4860                 NaN  0.480624E-002            NaN            NaN   1.50916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.4488                 NaN  0.122139E-001            NaN            NaN   1.53899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.4363                 NaN  0.120844E-001  0.168982E-005            NaN   1.55165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.4176                 NaN  0.120028E-001            NaN            NaN   1.57039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.3893                 NaN  0.119214E-001  0.160154E-003            NaN   1.59858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.3586                 NaN  0.118213E-001            NaN            NaN   1.62954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.3086                 NaN  0.117331E-001  0.122159E-003            NaN   1.67956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.2357                 NaN  0.116615E-001            NaN            NaN   1.75268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.1239                 NaN  0.116188E-001            NaN            NaN   1.86446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        97.8586                 NaN  0.113776E-001            NaN            NaN  0.379604E-002   2.12625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        97.3074                 NaN  0.978269E-002            NaN            NaN   2.68285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        97.3860                 NaN  0.940697E-002            NaN            NaN   2.60455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        97.4380                 NaN  0.898276E-002  0.562159E-001            NaN   2.49681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        97.4745                 NaN  0.834085E-002  0.190695                 NaN   2.32645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        97.5423                 NaN  0.771298E-002  0.218811                 NaN   2.23122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        97.5977                 NaN  0.745673E-002  0.208284                 NaN   2.18654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
