|6.6.6
Archiving\03_Data\Dfrac/QFM_m0.5/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Sp(TH)         Cpx(TH)        Cpx(TH)        pnt            Opx(TH)        an             San(TH)        ilm            q             
  1899.75        2500.00        99.4075       0.577781       0.146722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4109       0.574485       0.146294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4110       0.574253       0.147241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4210       0.564592       0.144219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4215       0.564013       0.144786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4480       0.538094       0.138714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4040       0.581063       0.149846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4310       0.554664       0.143625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.3681       0.615877       0.159959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.5023       0.485063       0.125888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4387       0.547068       0.142433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4413       0.544527       0.142038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4397       0.545960       0.142960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4501       0.535947       0.139875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4475       0.538385       0.141044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4505       0.535492       0.140418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4527       0.533250       0.140012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4542       0.531857       0.139716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4552       0.530816       0.139489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4562       0.529865       0.139824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4608       0.525369       0.138021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4587       0.527393       0.138975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4625       0.523692       0.137580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4635       0.522739       0.137601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4617       0.524478       0.138420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4670       0.519301       0.136506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4659       0.520436       0.136788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4660       0.520340       0.136860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4672       0.519138       0.136189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4668       0.519575       0.136175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4680       0.518451       0.135520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4649       0.521424       0.136416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4707       0.515835       0.134160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4670       0.519460       0.135201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4669       0.519649       0.134947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4677       0.518904       0.134263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4668       0.519719       0.134521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4671       0.519482       0.134036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4664       0.520262       0.133648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4633       0.523317       0.134327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4666       0.520061       0.133206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4637       0.522985       0.133175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        98.0687        1.77591       0.471962E-001            NaN  0.321569E-001  0.760396E-001  0.740782E-010            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.9997                 NaN  0.289303E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5942       0.398314       0.747239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4569       0.529821       0.132564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4561       0.530675       0.131925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4542       0.532646       0.131998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4876       0.500084       0.123254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4129       0.573037       0.140226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4489       0.537947       0.131080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4468       0.540044       0.131152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4611       0.526144       0.127069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4238       0.562659       0.135203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4396       0.547341       0.130731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4367       0.550217       0.130840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4345       0.552470       0.130592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4301       0.556867       0.130780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4274       0.559488       0.130797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4266       0.560358       0.130060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4234       0.563578       0.130044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4163       0.570607       0.131127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4178       0.569218       0.130155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4141       0.572932       0.129765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4078       0.579126       0.130480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        97.9030        2.05129       0.457434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.9769       0.231486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.8412       0.155060       0.373970E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3115       0.673776       0.146816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3896       0.597454       0.129305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3815       0.605532       0.129942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4051       0.582458       0.124347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3559       0.630710       0.133819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3775       0.609631       0.128510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.0075       0.972085       0.203734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.7347       0.259951       0.537890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3610       0.626041       0.129571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3607       0.626445       0.128798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3568       0.630329       0.128774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3525       0.634650       0.128893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3446       0.642404       0.129547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3496       0.637607       0.127994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.0748       0.907142       0.180937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.6238       0.368918       0.731374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3215       0.665418       0.131164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3321       0.655013       0.128605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3302       0.656954       0.128342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3272       0.659966       0.128304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3226       0.664562       0.128312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3207       0.666511       0.128072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3186       0.668574       0.127965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3158       0.671379       0.127911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3124       0.674757       0.128046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3116       0.675617       0.127713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3085       0.678738       0.127925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3069       0.680346       0.127526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3040       0.683230       0.127569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.2988       0.688342       0.128189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.4730       0.434085                 NaN            NaN            NaN            NaN            NaN   1.09289                 NaN            NaN            NaN            NaN
  1646.62        2500.00        97.9920       0.278239                 NaN            NaN            NaN            NaN            NaN   1.72975                 NaN            NaN            NaN            NaN
  1644.11        2500.00        98.0233       0.276087                 NaN            NaN            NaN            NaN            NaN   1.70062                 NaN            NaN            NaN            NaN
  1641.60        2500.00        98.0646       0.268725                 NaN            NaN            NaN            NaN            NaN   1.66664                 NaN            NaN            NaN            NaN
  1639.10        2500.00        98.0990       0.263413                 NaN            NaN            NaN            NaN            NaN   1.63763                 NaN            NaN            NaN            NaN
  1636.59        2500.00        98.1311       0.258512                 NaN            NaN            NaN            NaN            NaN   1.61035                 NaN            NaN            NaN            NaN
  1634.09        2500.00        98.1710       0.251790                 NaN            NaN            NaN            NaN            NaN   1.57722                 NaN            NaN            NaN            NaN
  1631.58        2500.00        98.2003       0.247365                 NaN            NaN            NaN            NaN            NaN   1.55230                 NaN            NaN            NaN            NaN
  1629.07        2500.00        98.2324       0.242816                 NaN            NaN            NaN            NaN            NaN   1.52478                 NaN            NaN            NaN            NaN
  1626.57        2500.00        98.0613       0.265811                 NaN            NaN            NaN            NaN            NaN   1.67284                 NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4858       0.204921                 NaN            NaN            NaN            NaN            NaN   1.30929                 NaN            NaN            NaN            NaN
  1621.55        2500.00        98.3234       0.228922                 NaN            NaN            NaN            NaN            NaN   1.44767                 NaN            NaN            NaN            NaN
  1619.05        2500.00        98.3470       0.223496                 NaN            NaN            NaN            NaN            NaN   1.42950                 NaN            NaN            NaN            NaN
  1616.54        2500.00        98.3797       0.218920                 NaN            NaN            NaN            NaN            NaN   1.40137                 NaN            NaN            NaN            NaN
  1614.04        2500.00        98.3979       0.218535                 NaN            NaN            NaN            NaN            NaN   1.38360                 NaN            NaN            NaN            NaN
  1611.53        2500.00        98.4378       0.209510                 NaN            NaN            NaN            NaN            NaN   1.35268                 NaN            NaN            NaN            NaN
  1609.02        2500.00        98.4542       0.205404                 NaN            NaN            NaN            NaN            NaN   1.34039                 NaN            NaN            NaN            NaN
  1606.52        2500.00        98.4796       0.202300                 NaN            NaN            NaN            NaN            NaN   1.31808                 NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5033       0.197461                 NaN            NaN            NaN            NaN            NaN   1.29928                 NaN            NaN            NaN            NaN
  1601.50        2500.00        98.5268       0.193393                 NaN            NaN            NaN            NaN            NaN   1.27980                 NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5447       0.188203                 NaN            NaN            NaN            NaN            NaN   1.26705                 NaN            NaN            NaN            NaN
  1596.49        2500.00        98.5708       0.188091                 NaN            NaN            NaN            NaN            NaN   1.24115                 NaN            NaN            NaN            NaN
  1593.98        2500.00        98.5929       0.181132                 NaN            NaN            NaN            NaN            NaN   1.22599                 NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6127       0.176710                 NaN            NaN            NaN            NaN            NaN   1.21056                 NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6312       0.173496                 NaN            NaN            NaN            NaN            NaN   1.19535                 NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6502       0.169071                 NaN            NaN            NaN            NaN            NaN   1.18070                 NaN            NaN            NaN            NaN
  1583.96        2500.00        99.2689       0.709859E-001            NaN            NaN            NaN            NaN            NaN  0.660158                 NaN            NaN            NaN            NaN
  1581.45        2500.00        98.0953       0.257174                 NaN            NaN            NaN            NaN            NaN   1.64751                 NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7011       0.160871                 NaN            NaN            NaN            NaN            NaN   1.13807                 NaN            NaN            NaN            NaN
  1576.44        2500.00        98.4399       0.200141                 NaN            NaN            NaN            NaN            NaN   1.35996                 NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0175       0.103065                 NaN            NaN            NaN            NaN            NaN  0.879399                 NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7598       0.150266                 NaN            NaN            NaN            NaN            NaN   1.08996                 NaN            NaN            NaN            NaN
  1568.92        2500.00        98.7748       0.142418                 NaN            NaN            NaN            NaN            NaN   1.08278                 NaN            NaN            NaN            NaN
  1566.42        2500.00        98.7884       0.140290                 NaN            NaN            NaN            NaN            NaN   1.07126                 NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8039       0.137809                 NaN            NaN            NaN            NaN            NaN   1.05830                 NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8191       0.134884                 NaN            NaN            NaN            NaN            NaN   1.04603                 NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8329       0.130429                 NaN            NaN            NaN            NaN            NaN   1.03669                 NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8492       0.110572                 NaN            NaN            NaN            NaN            NaN   1.04027                 NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8595       0.141615                 NaN            NaN            NaN            NaN            NaN  0.998845                 NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8753       0.121427                 NaN            NaN            NaN            NaN            NaN   1.00326                 NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8880       0.110520                 NaN            NaN            NaN            NaN            NaN   1.00144                 NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9005       0.124398                 NaN            NaN            NaN            NaN            NaN  0.975074                 NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9127       0.111189                 NaN            NaN            NaN            NaN            NaN  0.976087                 NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9259       0.110773                 NaN            NaN            NaN            NaN            NaN  0.963352                 NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9366       0.105551                 NaN            NaN            NaN            NaN            NaN  0.957887                 NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9465       0.101247                 NaN            NaN            NaN            NaN            NaN  0.952221                 NaN            NaN            NaN            NaN
  1533.83        2500.00        98.9565       0.981334E-001            NaN            NaN            NaN            NaN            NaN  0.945410                 NaN            NaN            NaN            NaN
  1531.33        2500.00        98.9699       0.981577E-001            NaN            NaN            NaN            NaN            NaN  0.931963                 NaN            NaN            NaN            NaN
  1528.82        2500.00        98.9790       0.938578E-001            NaN            NaN            NaN            NaN            NaN  0.927116                 NaN            NaN            NaN            NaN
  1526.32        2500.00        98.9889       0.910805E-001            NaN            NaN            NaN            NaN            NaN  0.920060                 NaN            NaN            NaN            NaN
  1523.81        2500.00        98.9978       0.886090E-001            NaN            NaN            NaN            NaN            NaN  0.913591                 NaN            NaN            NaN            NaN
  1521.30        2500.00        99.0016       0.795547E-001            NaN            NaN            NaN            NaN            NaN  0.918848                 NaN            NaN            NaN            NaN
  1518.80        2500.00        99.0162       0.792220E-001            NaN            NaN            NaN            NaN            NaN  0.904574                 NaN            NaN            NaN            NaN
  1516.29        2500.00        99.0287       0.782080E-001            NaN            NaN            NaN            NaN            NaN  0.893133                 NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0331       0.746759E-001            NaN            NaN            NaN            NaN            NaN  0.892186                 NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0310       0.693504E-001            NaN            NaN            NaN            NaN            NaN  0.899676                 NaN            NaN            NaN            NaN
  1508.77        2500.00        99.0567       0.700392E-001            NaN            NaN            NaN            NaN            NaN  0.873228                 NaN            NaN            NaN            NaN
  1506.27        2500.00        99.0575       0.669903E-001            NaN            NaN            NaN            NaN            NaN  0.875557                 NaN            NaN            NaN            NaN
  1503.76        2500.00        99.0611       0.597972E-001            NaN            NaN            NaN            NaN            NaN  0.879122                 NaN            NaN            NaN            NaN
  1501.25        2500.00        99.0746       0.636581E-001            NaN            NaN            NaN            NaN            NaN  0.861740                 NaN            NaN            NaN            NaN
  1498.75        2500.00        99.0787       0.587525E-001            NaN            NaN            NaN            NaN            NaN  0.862537                 NaN            NaN            NaN            NaN
  1496.24        2500.00        99.0854       0.553654E-001            NaN            NaN            NaN            NaN            NaN  0.859210                 NaN            NaN            NaN            NaN
  1493.73        2500.00        99.0916       0.524720E-001            NaN            NaN            NaN            NaN            NaN  0.855940                 NaN            NaN            NaN            NaN
  1491.23        2500.00        99.0940       0.460326E-001            NaN            NaN            NaN            NaN            NaN  0.859996                 NaN            NaN            NaN            NaN
  1488.72        2500.00        99.0989       0.431467E-001            NaN            NaN            NaN            NaN            NaN  0.858001                 NaN            NaN            NaN            NaN
  1486.22        2500.00        98.8051       0.719113E-001            NaN            NaN  0.420152                 NaN            NaN  0.702789                 NaN            NaN            NaN            NaN
  1483.71        2500.00        98.0817       0.143343                 NaN            NaN   1.44847                 NaN            NaN  0.326508                 NaN            NaN            NaN            NaN
  1481.20        2500.00        98.1091       0.140232                 NaN            NaN   1.43014                 NaN            NaN  0.320489                 NaN            NaN            NaN            NaN
  1478.70        2500.00        98.1324       0.135795                 NaN            NaN   1.41525                 NaN            NaN  0.316538                 NaN            NaN            NaN            NaN
  1476.19        2500.00        98.1574       0.132753                 NaN            NaN   1.40017                 NaN            NaN  0.309694                 NaN            NaN            NaN            NaN
  1473.68        2500.00        98.1387       0.107818                 NaN            NaN   1.29649       0.457008                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        2500.00        98.2023       0.127337                 NaN            NaN   1.37133                 NaN            NaN  0.298990                 NaN            NaN            NaN            NaN
