|6.6.6
Archiving\03_Data\DfracLP/QFM_m3.5/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.9996                 NaN            NaN  0.385968E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.4726                 NaN            NaN  0.527357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3712                 NaN            NaN  0.628780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3748                 NaN            NaN  0.625189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3793                 NaN            NaN  0.620675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3689                 NaN            NaN  0.631082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4011                 NaN            NaN  0.598923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3908                 NaN            NaN  0.609243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3923                 NaN            NaN  0.607670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3991                 NaN            NaN  0.600919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.2482                 NaN            NaN  0.751843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5566                 NaN            NaN  0.443395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4081                 NaN            NaN  0.591912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4106                 NaN            NaN  0.589383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4111                 NaN            NaN  0.588895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4170                 NaN            NaN  0.583019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4194                 NaN            NaN  0.580617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4207                 NaN            NaN  0.579337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4128                 NaN            NaN  0.587197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4337                 NaN            NaN  0.566254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4289                 NaN            NaN  0.570916                 NaN  0.142513E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4193                 NaN            NaN  0.570407                 NaN  0.103121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4018                 NaN            NaN  0.587482                 NaN  0.106906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4428                 NaN            NaN  0.547304                 NaN  0.986289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4224                 NaN            NaN  0.567313                 NaN  0.102572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4262                 NaN            NaN  0.563566                 NaN  0.102109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4274                 NaN            NaN  0.562440                 NaN  0.101540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5475                 NaN            NaN  0.444429                 NaN  0.804291E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3109                 NaN            NaN  0.676934                 NaN  0.121917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4299                 NaN            NaN  0.560001                 NaN  0.100919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4309                 NaN            NaN  0.559026                 NaN  0.100584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5791                 NaN            NaN  0.413393                 NaN  0.747468E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.2819                 NaN            NaN  0.705486                 NaN  0.126389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4329                 NaN            NaN  0.557122                 NaN  0.995376E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.2496                 NaN            NaN  0.737170                 NaN  0.132293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.7847                 NaN            NaN  0.211102                 NaN  0.420086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.2616                 NaN            NaN  0.725918                 NaN  0.124430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4314                 NaN            NaN  0.558675                 NaN  0.989882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3757                 NaN            NaN  0.613506                 NaN  0.108367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6950                 NaN            NaN  0.299700                 NaN  0.534969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.2198                 NaN            NaN  0.766819                 NaN  0.134039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4246                 NaN            NaN  0.565496                 NaN  0.991020E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4308                 NaN            NaN  0.559404                 NaN  0.974650E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4261                 NaN            NaN  0.564130                 NaN  0.979011E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4267                 NaN            NaN  0.563576                 NaN  0.973826E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1564                 NaN            NaN  0.826865                 NaN  0.167586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.6893                 NaN            NaN  0.308393                 NaN  0.226856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        97.7729                 NaN            NaN   2.18944                 NaN  0.376434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.9997                 NaN            NaN            NaN            NaN  0.290868E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.9989                 NaN            NaN            NaN            NaN  0.105383E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.9221                 NaN            NaN  0.763567E-001            NaN  0.156969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4154                 NaN            NaN  0.577433                 NaN  0.713402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4106                 NaN            NaN  0.579775                 NaN  0.963451E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4075                 NaN            NaN  0.582878                 NaN  0.963949E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3992                 NaN            NaN  0.591009                 NaN  0.974247E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4064                 NaN            NaN  0.584144                 NaN  0.950104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4008                 NaN            NaN  0.589657                 NaN  0.957075E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3921                 NaN            NaN  0.598211                 NaN  0.965283E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3959                 NaN            NaN  0.594591                 NaN  0.951695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4886                 NaN            NaN  0.503424                 NaN  0.800133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.2756                 NaN            NaN  0.713056                 NaN  0.113184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3921                 NaN            NaN  0.598490                 NaN  0.937021E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.2478                 NaN            NaN  0.740663                 NaN  0.115661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5292                 NaN            NaN  0.463560                 NaN  0.719967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3532                 NaN            NaN  0.636934                 NaN  0.982637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        95.8175                 NaN            NaN   4.12133                 NaN  0.611522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.9997                 NaN            NaN            NaN            NaN  0.330029E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.9993                 NaN            NaN  0.666155E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.8741                 NaN            NaN  0.123990                 NaN  0.192927E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2270                 NaN            NaN  0.761863                 NaN  0.111246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3375                 NaN            NaN  0.653010                 NaN  0.946991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3313                 NaN            NaN  0.659206                 NaN  0.950086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3314                 NaN            NaN  0.659184                 NaN  0.942212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3171                 NaN            NaN  0.673358                 NaN  0.958340E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3090                 NaN            NaN  0.681315                 NaN  0.965759E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3232                 NaN            NaN  0.667470                 NaN  0.935512E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3106                 NaN            NaN  0.679935                 NaN  0.949301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3070                 NaN            NaN  0.683477                 NaN  0.949426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3023                 NaN            NaN  0.688172                 NaN  0.951536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2981                 NaN            NaN  0.692426                 NaN  0.949712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2950                 NaN            NaN  0.695498                 NaN  0.949484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2915                 NaN            NaN  0.699017                 NaN  0.950260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2854                 NaN            NaN  0.705093                 NaN  0.951817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        98.7476                 NaN            NaN   1.23583                 NaN  0.165596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8421                 NaN            NaN  0.155776                 NaN  0.207390E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2541                 NaN            NaN  0.736075                 NaN  0.986992E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2780                 NaN            NaN  0.712581                 NaN  0.944978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2727                 NaN            NaN  0.717822                 NaN  0.949993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2700                 NaN            NaN  0.720544                 NaN  0.949286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2667                 NaN            NaN  0.723836                 NaN  0.950637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000       0.135625        98.1207       0.435635E-002   1.41128       0.307746       0.203355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4819                 NaN            NaN  0.511398                 NaN  0.673410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2595                 NaN            NaN  0.730974                 NaN  0.949912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2630                 NaN            NaN  0.727564                 NaN  0.945062E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2605                 NaN            NaN  0.730037                 NaN  0.945783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2535                 NaN            NaN  0.736897                 NaN  0.955898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2656                 NaN            NaN  0.725052                 NaN  0.937348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2558                 NaN            NaN  0.734686                 NaN  0.949790E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2597                 NaN            NaN  0.730877                 NaN  0.944354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2512                 NaN            NaN  0.739277                 NaN  0.952657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2681                 NaN            NaN  0.722531                 NaN  0.933461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2626                 NaN            NaN  0.728002                 NaN  0.943544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2607                 NaN            NaN  0.729886                 NaN  0.942485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2691                 NaN            NaN  0.721602                 NaN  0.931345E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1235                 NaN            NaN  0.866438                 NaN  0.100398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.4070                 NaN            NaN  0.584283                 NaN  0.869999E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2710                 NaN            NaN  0.719641                 NaN  0.933156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2723                 NaN            NaN  0.718347                 NaN  0.932827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2742                 NaN            NaN  0.716505                 NaN  0.933546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2800                 NaN            NaN  0.710773                 NaN  0.926714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2817                 NaN            NaN  0.708996                 NaN  0.925865E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2877                 NaN            NaN  0.703051                 NaN  0.921398E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2905                 NaN            NaN  0.700337                 NaN  0.919747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2930                 NaN            NaN  0.697788                 NaN  0.920479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2973                 NaN            NaN  0.693502                 NaN  0.917231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3035                 NaN            NaN  0.687420                 NaN  0.909907E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3072                 NaN            NaN  0.683692                 NaN  0.909078E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3084                 NaN            NaN  0.682542                 NaN  0.910214E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.1913                 NaN            NaN  0.580188                 NaN  0.631181E-002  0.222152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.4982                 NaN            NaN  0.102260                 NaN            NaN   1.39955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.5382                 NaN            NaN  0.102000                 NaN            NaN   1.35977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.5331                 NaN            NaN  0.895194E-001            NaN            NaN   1.37733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.6137                 NaN            NaN  0.101368                 NaN            NaN   1.28491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.6134                 NaN            NaN  0.942566E-001            NaN            NaN   1.29239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.6352                 NaN            NaN  0.878367E-001            NaN            NaN   1.27696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6647                 NaN            NaN  0.876285E-001            NaN            NaN   1.24765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6853                 NaN            NaN  0.818904E-001            NaN            NaN   1.23279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4906                 NaN            NaN  0.937573E-001            NaN            NaN   1.41566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.9453                 NaN            NaN  0.637978E-001            NaN            NaN  0.990884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.7514                 NaN            NaN  0.750932E-001            NaN            NaN   1.17353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7754                 NaN            NaN  0.730526E-001            NaN            NaN   1.15150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5718                 NaN            NaN  0.854292E-001            NaN            NaN   1.34275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.0351                 NaN            NaN  0.546581E-001            NaN            NaN  0.910209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.8284                 NaN            NaN  0.625658E-001            NaN            NaN   1.10907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8516                 NaN            NaN  0.617122E-001            NaN            NaN   1.08666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8686                 NaN            NaN  0.594142E-001            NaN            NaN   1.07200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8851                 NaN            NaN  0.560475E-001            NaN            NaN   1.05888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.9014                 NaN            NaN  0.546476E-001            NaN            NaN   1.04395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.9198                 NaN            NaN  0.504675E-001            NaN            NaN   1.02973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9346                 NaN            NaN  0.487111E-001            NaN            NaN   1.01666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9266                 NaN            NaN  0.363432E-001            NaN            NaN   1.03704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9822                 NaN            NaN  0.497030E-001            NaN            NaN  0.968098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9814                 NaN            NaN  0.432689E-001            NaN            NaN  0.975365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9936                 NaN            NaN  0.393378E-001            NaN            NaN  0.967100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.0092                 NaN            NaN  0.390580E-001            NaN            NaN  0.951715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.0212                 NaN            NaN  0.352128E-001            NaN            NaN  0.943633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.0367                 NaN            NaN  0.366325E-001            NaN            NaN  0.926619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0462                 NaN            NaN  0.286899E-001            NaN            NaN  0.925112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0598                 NaN            NaN  0.282840E-001            NaN            NaN  0.911875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0727                 NaN            NaN  0.302120E-001            NaN            NaN  0.897083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
