|6.6.6
Archiving\03_Data\frac/QFM_m0.25/KHA22/KHA22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1879.70        2500.00        99.4763       0.513422                 NaN  0.102618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4764       0.513335                 NaN  0.103025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4843       0.505616                 NaN  0.101145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4835       0.506350                 NaN  0.101701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4885       0.501386                 NaN  0.100726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4895       0.500415                 NaN  0.100680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4908       0.499104                 NaN  0.100827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4944       0.495624                 NaN  0.999682E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4964       0.493636                 NaN  0.997304E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4986       0.491488                 NaN  0.993791E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.5005       0.489568                 NaN  0.988985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.3664       0.621061                 NaN  0.125150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.6387       0.354204                 NaN  0.713635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5365       0.454341                 NaN  0.918812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00       100.0000       0.691793E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        98.9875       0.992433                 NaN  0.200550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.3870       0.600816                 NaN  0.121575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.6449       0.348118                 NaN  0.702385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5034       0.486771                 NaN  0.984442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5150       0.475450                 NaN  0.959441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5160       0.474400                 NaN  0.956493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5174       0.473114                 NaN  0.953088E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5171       0.473355                 NaN  0.950854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5190       0.471475                 NaN  0.948257E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5205       0.470087                 NaN  0.942347E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5212       0.469423                 NaN  0.940509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5206       0.470003                 NaN  0.939289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5226       0.468107                 NaN  0.933508E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4782       0.511575                 NaN  0.101978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5678       0.423777                 NaN  0.840991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5234       0.467324                 NaN  0.925970E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5216       0.469139                 NaN  0.926829E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.2311       0.753992                 NaN  0.148599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.8062       0.190356                 NaN  0.343864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5255       0.465416                 NaN  0.911954E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.2721       0.713849                 NaN  0.140126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.7789       0.216961                 NaN  0.417410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5238       0.467157                 NaN  0.907260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.5251       0.465924                 NaN  0.901173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5228       0.468122                 NaN  0.902940E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.2467       0.739053                 NaN  0.142569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.8212       0.175489                 NaN  0.332104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5041       0.486609                 NaN  0.926982E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5229       0.468236                 NaN  0.887189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5195       0.471559                 NaN  0.891149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5766       0.415563                 NaN  0.785218E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4667       0.523529                 NaN  0.974241E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5189       0.472328                 NaN  0.879729E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5179       0.473323                 NaN  0.879203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5177       0.473561                 NaN  0.872487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5165       0.474788                 NaN  0.872544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5153       0.476012                 NaN  0.870066E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.5136       0.477663                 NaN  0.869936E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5145       0.476858                 NaN  0.863411E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5134       0.478007                 NaN  0.861467E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5099       0.481484                 NaN  0.862402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5119       0.479556                 NaN  0.853768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5559       0.436326                 NaN  0.775203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4599       0.530708                 NaN  0.935783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.5053       0.486208                 NaN  0.852880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.5037       0.487798                 NaN  0.848528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5028       0.488764                 NaN  0.846592E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.5016       0.489909                 NaN  0.845037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4994       0.492128                 NaN  0.842761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3155       0.673083                 NaN  0.114154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.6819       0.312805                 NaN  0.528196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4953       0.496382                 NaN  0.836524E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4873       0.504253                 NaN  0.842951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4980       0.493838                 NaN  0.820338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4918       0.499901                 NaN  0.827682E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4885       0.503175                 NaN  0.827919E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4873       0.504455                 NaN  0.825804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4870       0.504771                 NaN  0.821757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4848       0.506979                 NaN  0.820529E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4825       0.509353                 NaN  0.818963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4810       0.510782                 NaN  0.817082E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.1728       0.814276                 NaN  0.129220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.7996       0.197290                 NaN  0.311225E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.6579       0.336841                 NaN  0.529679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2806       0.708318                 NaN  0.111186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4711       0.520749                 NaN  0.811924E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4762       0.515812                 NaN  0.799956E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4697       0.522251                 NaN  0.804577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4728       0.519244                 NaN  0.797533E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4700       0.521996                 NaN  0.797536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4683       0.523763                 NaN  0.796913E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4681       0.523926                 NaN  0.793916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4661       0.526027                 NaN  0.792109E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.4652       0.526899                 NaN  0.790803E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.4660       0.526144                 NaN  0.785831E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.4639       0.528207                 NaN  0.788116E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4599       0.532196                 NaN  0.790312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4673       0.524914                 NaN  0.774844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4637       0.528494                 NaN  0.777915E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4623       0.529870                 NaN  0.778166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4601       0.532149                 NaN  0.778053E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4659       0.526382                 NaN  0.767159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.2722       0.464358                 NaN  0.491875E-002            NaN  0.258476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4625       0.181958                 NaN            NaN            NaN   1.35550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4985       0.180240                 NaN            NaN            NaN   1.32127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5286       0.174995                 NaN            NaN            NaN   1.29644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5399       0.174730                 NaN            NaN            NaN   1.28534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.1132       0.102904                 NaN            NaN            NaN  0.783858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.0839       0.226097                 NaN            NaN            NaN   1.69005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6298       0.158652                 NaN            NaN            NaN   1.21158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6577       0.155212                 NaN            NaN            NaN   1.18708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6799       0.154051                 NaN            NaN            NaN   1.16606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7033       0.149545                 NaN            NaN            NaN   1.14714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7259       0.145895                 NaN            NaN            NaN   1.12822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7469       0.142245                 NaN            NaN            NaN   1.11081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7681       0.139551                 NaN            NaN            NaN   1.09236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7889       0.136120                 NaN            NaN            NaN   1.07498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7888       0.129887                 NaN            NaN            NaN   1.08135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8439       0.128232                 NaN            NaN            NaN   1.02783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8465       0.126701                 NaN            NaN            NaN   1.02676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8603       0.122873                 NaN            NaN            NaN   1.01681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8875       0.120313                 NaN            NaN            NaN  0.992144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7339       0.134462                 NaN            NaN            NaN   1.13160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.0805       0.982245E-001            NaN            NaN            NaN  0.821276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9307       0.109353                 NaN            NaN            NaN  0.959948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9492       0.108985                 NaN            NaN            NaN  0.941838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9714       0.106230                 NaN            NaN            NaN  0.922320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9812       0.103205                 NaN            NaN            NaN  0.915561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9960       0.100558                 NaN            NaN            NaN  0.903448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0109       0.989469E-001            NaN            NaN            NaN  0.890125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0237       0.953684E-001            NaN            NaN            NaN  0.880937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0374       0.943716E-001            NaN            NaN            NaN  0.868203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0550       0.885168E-001            NaN            NaN            NaN  0.856513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0645       0.873803E-001            NaN            NaN            NaN  0.848134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0770       0.860499E-001            NaN            NaN            NaN  0.836999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0892       0.826344E-001            NaN            NaN            NaN  0.828215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.1028       0.804806E-001            NaN            NaN            NaN  0.816688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.1120       0.771081E-001            NaN            NaN            NaN  0.810865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1229       0.739136E-001            NaN            NaN            NaN  0.803143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1369       0.735722E-001            NaN            NaN            NaN  0.789556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1469       0.710703E-001            NaN            NaN            NaN  0.782078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.6607       0.104028                 NaN            NaN            NaN   1.23527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.6620       0.267634E-001            NaN            NaN            NaN  0.311215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1901       0.427071E-001            NaN            NaN            NaN  0.767223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1766       0.840150E-001            NaN            NaN            NaN  0.739428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.1980       0.583559E-001            NaN            NaN            NaN  0.743677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.2031       0.550997E-001            NaN            NaN            NaN  0.741781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.2155       0.539561E-001            NaN            NaN            NaN  0.730552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.2231       0.520647E-001            NaN            NaN            NaN  0.724855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.2329       0.506246E-001            NaN            NaN            NaN  0.716449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.2391       0.474959E-001            NaN            NaN            NaN  0.713358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.2494       0.458640E-001            NaN            NaN            NaN  0.704702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.2562       0.435070E-001            NaN            NaN            NaN  0.700266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.2643       0.411388E-001            NaN            NaN            NaN  0.694516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.2717       0.396379E-001            NaN            NaN            NaN  0.688686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.2785       0.368002E-001            NaN            NaN            NaN  0.684692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
