|6.6.6
Archiving\03_Data\DeqLP/QFM/WD94/WD94_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1913.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.6050                 NaN  0.394979                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.8667       0.408181E-002   1.12923                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.1428       0.165481E-001   1.84065                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        97.4180       0.290306E-001   2.55298                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        96.7161       0.410990E-001   3.24285                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        96.0133       0.531826E-001   3.93356                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        95.3096       0.652813E-001   4.62513                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        94.6051       0.773952E-001   5.31753                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        93.9389       0.887371E-001   5.97235                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        93.2720       0.100093        6.62794                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        92.6042       0.111462        7.28429                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        91.9357       0.122844        7.94141                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        91.2665       0.134241        8.59929                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.5964       0.145650        9.25792                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        89.9256       0.157073        9.91731                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        89.2540       0.168510        10.5775                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        88.6191       0.179222        11.2017                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        87.9835       0.189946        11.8266                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        87.3472       0.200682        12.4521                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        86.7102       0.211430        13.0784                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        86.0725       0.222189        13.7053                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        85.4341       0.232961        14.3329                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        84.7951       0.243745        14.9612                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        84.1553       0.254540        15.5901                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        83.5402       0.263844        16.1960                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        82.9244       0.273158        16.8024                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        82.3080       0.282481        17.4095                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        81.6910       0.291815        18.0172                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        81.0733       0.301159        18.6255                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        80.4550       0.310512        19.2345                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        79.8361       0.319875        19.8440                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        79.2166       0.329247        20.4542                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        78.6233       0.338381        21.0383                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        78.0294       0.347524        21.6231                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        77.4350       0.356675        22.2083                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        76.8400       0.365835        22.7942                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        76.2445       0.375004        23.3805                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        75.6484       0.384181        23.9674                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        75.0517       0.393367        24.5549                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        74.4546       0.402562        25.1429                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        73.8629       0.410953        25.7261                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        73.2708       0.419351        26.3099                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        72.6781       0.427758        26.8941                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        72.0849       0.436172        27.4789                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        71.4912       0.444593        28.0642                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        70.8969       0.453022        28.6500                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        70.3022       0.461458        29.2363                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        69.7070       0.469902        29.8231                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        69.1233       0.477654        30.3990                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        68.5392       0.485413        30.9754                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        67.9546       0.493178        31.5522                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        67.3695       0.500949        32.1295                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        66.7840       0.508727        32.7073                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        66.1980       0.516511        33.2855                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        65.6115       0.524301        33.8642                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        65.0246       0.532098        34.4433                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        64.4566       0.539253        35.0041                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        63.8882       0.546413        35.5654                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        63.3193       0.553579        36.1271                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        62.7501       0.560750        36.6892                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        62.1804       0.567925        37.2516                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        61.6104       0.575106        37.8145                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        61.0400       0.582292        38.3777                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        60.4692       0.589482        38.9413                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        59.9256       0.596360        39.4780                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        59.3817       0.603241        40.0151                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        58.8374       0.610127        40.5524                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        58.2929       0.617017        41.0901                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        57.7480       0.623911        41.6281                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        57.2028       0.630809        42.1664                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        56.6573       0.637711        42.7050                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        56.1115       0.644617        43.2439                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        55.6023       0.651033        43.7466                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        55.0929       0.657452        44.2496                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        54.5833       0.663874        44.7528                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        54.0734       0.670300        45.2563                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        53.5633       0.676728        45.7600                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        53.0529       0.683160        46.2639                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        52.5423       0.689594        46.7681                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        52.0315       0.696031        47.2724                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        51.5658       0.701917        47.7323                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        51.0998       0.707806        48.1923                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        50.6338       0.713697        48.6525                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        50.1675       0.719590        49.1129                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        49.7011       0.725484        49.5734                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        49.2346       0.731381        50.0340                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        48.7679       0.737280        50.4948                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        48.3011       0.743180        50.9558                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        47.3141       0.743449        51.2021       0.740335                 NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        45.6951       0.740239        51.3560        2.20871                 NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        44.7429       0.736539        51.4873        3.03325                 NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        43.7887       0.732829        51.6188        3.85964                 NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        42.7684       0.728738        51.7333        4.76965                 NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        41.7456       0.724636        51.8479        5.68187                 NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        40.7204       0.720523        51.9628        6.59631                 NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        39.6929       0.716399        52.0778        7.51296                 NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        38.8634       0.711703        52.1615        8.26346                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        38.0323       0.706997        52.2453        9.01545                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        37.1996       0.702281        52.3291        9.76893                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        36.3654       0.697554        52.4131        10.5239                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        35.5296       0.692817        52.4972        11.2804                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        34.6922       0.688069        52.5814        12.0383                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        33.8532       0.683311        52.6657        12.7978                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        33.0126       0.678543        52.7500        13.5588                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        32.3501       0.672862        52.8076        14.1695                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        31.6865       0.667171        52.8652        14.7812                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        31.0220       0.661470        52.9228        15.3938                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        30.3564       0.655759        52.9804        16.0074                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        29.6898       0.650039        53.0381        16.6220                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        29.0222       0.644308        53.0959        17.2376                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        28.3537       0.638568        53.1537        17.8541                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        27.6841       0.632818        53.2115        18.4716                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        27.1271       0.626204        53.2532        18.9936                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        26.5694       0.619581        53.2949        19.5162                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        26.0109       0.612948        53.3366        20.0396                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        25.4518       0.606305        53.3783        20.5636                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        24.8920       0.599653        53.4200        21.0883                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        24.3314       0.592992        53.4618        21.6138                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        23.7702       0.586321        53.5035        22.1399                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        23.2083       0.579641        53.5453        22.6668                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        22.6985       0.570996        53.5786        23.1519                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        22.1881       0.562341        53.6119        23.6376                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        21.6772       0.553674        53.6453        24.1239                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        21.1657       0.544996        53.6786        24.6108                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        20.6535       0.536306        53.7119        25.0982                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        20.1409       0.527606        53.7453        25.5863                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        19.6276       0.518894        53.7786        26.0749                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        19.1137       0.510171        53.8120        26.5641                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        18.6350       0.499521        53.8423        27.0232                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        18.1558       0.488858        53.8726        27.4827                 NaN            NaN            NaN            NaN            NaN
  1477.56        500.000        17.6761       0.478183        53.9029        27.9428                 NaN            NaN            NaN            NaN            NaN
  1474.36        500.000        17.1959       0.467494        53.9332        28.4034                 NaN            NaN            NaN            NaN            NaN
  1471.15        500.000        16.7152       0.456793        53.9635        28.8645                 NaN            NaN            NaN            NaN            NaN
  1467.95        500.000        16.2340       0.446079        53.9939        29.3261                 NaN            NaN            NaN            NaN            NaN
  1464.74        500.000        15.7522       0.435352        54.0242        29.7882                 NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        15.2700       0.424612        54.0546        30.2509                 NaN            NaN            NaN            NaN            NaN
  1458.33        500.000        14.6948       0.419062        54.0906        30.5683       0.227283                 NaN            NaN            NaN            NaN
  1455.13        500.000        13.9815       0.417804        54.1375        30.7726       0.690521                 NaN            NaN            NaN            NaN
  1451.92        500.000        13.3450       0.418894        54.1704        30.9546        1.11104                 NaN            NaN            NaN            NaN
  1448.72        500.000        12.7075       0.419988        54.2034        31.1369        1.53228                 NaN            NaN            NaN            NaN
  1445.51        500.000        12.1569       0.423507        54.2237        31.2867        1.90920                 NaN            NaN            NaN            NaN
  1442.31        500.000        11.6056       0.427033        54.2440        31.4367        2.28668                 NaN            NaN            NaN            NaN
  1439.10        500.000        11.0535       0.430565        54.2643        31.5869        2.66473                 NaN            NaN            NaN            NaN
  1435.90        500.000        10.5006       0.434104        54.2846        31.7373        3.04335                 NaN            NaN            NaN            NaN
  1432.69        500.000        10.0522       0.440350        54.2918        31.8510        3.36475                 NaN            NaN            NaN            NaN
  1429.49        500.000        9.60325       0.446605        54.2989        31.9647        3.68654                 NaN            NaN            NaN            NaN
  1426.28        500.000        9.15384       0.452869        54.3059        32.0786        4.00874                 NaN            NaN            NaN            NaN
  1423.08        500.000        8.70393       0.459142        54.3129        32.1926        4.33134                 NaN            NaN            NaN            NaN
  1419.87        500.000        8.32833       0.466981        54.3127        32.2802        4.61176                 NaN            NaN            NaN            NaN
  1416.67        500.000        7.95239       0.474829        54.3124        32.3679        4.89248                 NaN            NaN            NaN            NaN
  1413.46        500.000        7.60765       0.483135        54.3083        32.4481        5.15284                 NaN            NaN            NaN            NaN
  1410.26        500.000        7.17416       0.491665        54.3444        32.4081        5.34795       0.121876       0.111761                 NaN            NaN
  1407.05        500.000        7.17377       0.491680        54.3446        32.4083        5.34797       0.121877       0.111768                 NaN            NaN
  1403.85        500.000        7.17339       0.491694        54.3448        32.4085        5.34800       0.121878       0.111775                 NaN            NaN
  1400.64        500.000        7.17300       0.491708        54.3450        32.4087        5.34802       0.121880       0.111783                 NaN            NaN
  1397.44        500.000        7.17261       0.491722        54.3451        32.4088        5.34805       0.121881       0.111790                 NaN            NaN
  1394.23        500.000        7.17222       0.491736        54.3453        32.4090        5.34807       0.121882       0.111797                 NaN            NaN
  1391.03        500.000        7.17183       0.491750        54.3455        32.4092        5.34810       0.121883       0.111804                 NaN            NaN
  1387.82        500.000        7.17144       0.491764        54.3456        32.4094        5.34812       0.121884       0.111812                 NaN            NaN
  1384.62        500.000        4.38579       0.559118        54.6991        30.8469        6.29230        2.10825        1.10853                 NaN            NaN
  1381.41        500.000        4.38560       0.559132        54.6991        30.8470        6.29231        2.10826        1.10860                 NaN            NaN
  1378.21        500.000        4.38541       0.559147        54.6991        30.8471        6.29232        2.10828        1.10867                 NaN            NaN
  1375.00        500.000        4.38521       0.559161        54.6991        30.8472        6.29233        2.10829        1.10874                 NaN            NaN
  1371.79        500.000        4.38502       0.559175        54.6991        30.8472        6.29234        2.10831        1.10881                 NaN            NaN
  1368.59        500.000        4.38482       0.559190        54.6991        30.8473        6.29235        2.10832        1.10888                 NaN            NaN
  1365.38        500.000        4.38463       0.559204        54.6991        30.8474        6.29236        2.10833        1.10894                 NaN            NaN
  1362.18        500.000        4.38443       0.559218        54.6991        30.8475        6.29238        2.10835        1.10901                 NaN            NaN
  1358.97        500.000        2.83291       0.609254        54.8870        29.8428        6.79152        3.24919        1.78725                 NaN            NaN
  1355.77        500.000        2.83281       0.609269        54.8870        29.8429        6.79153        3.24920        1.78735                 NaN            NaN
  1352.56        500.000        2.83271       0.609284        54.8869        29.8429        6.79153        3.24922        1.78746                 NaN            NaN
  1349.36        500.000        2.83261       0.609299        54.8868        29.8430        6.79153        3.24924        1.78757                 NaN            NaN
  1346.15        500.000        2.83250       0.609314        54.8867        29.8430        6.79154        3.24925        1.78768                 NaN            NaN
  1342.95        500.000        2.83240       0.609328        54.8866        29.8431        6.79154        3.24927        1.78778                 NaN            NaN
  1339.74        500.000        2.83230       0.609343        54.8865        29.8431        6.79154        3.24929        1.78789                 NaN            NaN
  1336.54        500.000        2.83220       0.609358        54.8864        29.8432        6.79155        3.24931        1.78800                 NaN            NaN
  1333.33        500.000        1.76365       0.651892        54.9848        29.1602        7.10389        4.01037        2.32519                 NaN            NaN
  1330.13        500.000        1.76360       0.651907        54.9846        29.1602        7.10389        4.01039        2.32532                 NaN            NaN
  1326.92        500.000        1.76355       0.651923        54.9845        29.1603        7.10389        4.01041        2.32546                 NaN            NaN
  1323.72        500.000        1.76350       0.651938        54.9844        29.1603        7.10389        4.01043        2.32560                 NaN            NaN
  1320.51        500.000        1.76345       0.651953        54.9842        29.1603        7.10389        4.01045        2.32574                 NaN            NaN
  1317.31        500.000        1.76340       0.651968        54.9841        29.1603        7.10389        4.01047        2.32587                 NaN            NaN
  1314.10        500.000        1.76335       0.651983        54.9839        29.1604        7.10389        4.01049        2.32601                 NaN            NaN
  1310.90        500.000        1.76330       0.651998        54.9838        29.1604        7.10388        4.01050        2.32615                 NaN            NaN
  1307.69        500.000       0.923488       0.684934        55.0561        28.6678        7.31212        4.55841        2.79708                 NaN            NaN
  1304.49        500.000       0.923468       0.684950        55.0559        28.6679        7.31212        4.55843        2.79724                 NaN            NaN
  1301.28        500.000       0.923448       0.684965        55.0558        28.6679        7.31212        4.55845        2.79740                 NaN            NaN
  1298.08        500.000       0.923427       0.684981        55.0556        28.6679        7.31211        4.55847        2.79757                 NaN            NaN
  1294.87        500.000       0.555912       0.700739        55.0699        28.4936        7.40114        4.77397        3.00473                 NaN            NaN
  1291.67        500.000                 NaN  0.705450        55.1187        28.4418        7.44904        4.87788        3.09277       0.314294                 NaN
  1288.46        500.000                 NaN  0.708557        55.1290        28.4214        7.44748        4.86549        3.11213       0.315926                 NaN
  1285.26        500.000                 NaN  0.708573        55.1288        28.4214        7.44747        4.86550        3.11231       0.315931                 NaN
  1282.05        500.000                 NaN  0.715221        55.1469        28.3826        7.44619        4.84129        3.14929       0.318512                 NaN
  1278.85        500.000                 NaN  0.715237        55.1467        28.3826        7.44618        4.84131        3.14948       0.318518                 NaN
  1275.64        500.000                 NaN  0.715253        55.1464        28.3826        7.44618        4.84133        3.14966       0.318523                 NaN
  1272.44        500.000                 NaN  0.715268        55.1462        28.3826        7.44617        4.84135        3.14984       0.318529                 NaN
  1269.23        500.000                 NaN  0.715284        55.1460        28.3826        7.44617        4.84137        3.15002       0.318535                 NaN
  1266.03        500.000                 NaN  0.715300        55.1458        28.3827        7.44616        4.84139        3.15020       0.318540                 NaN
  1262.82        500.000                 NaN  0.715315        55.1455        28.3827        7.44616        4.84141        3.15039       0.318546                 NaN
  1259.62        500.000                 NaN  0.715331        55.1453        28.3827        7.44615        4.84143        3.15057       0.318551                 NaN
  1256.41        500.000                 NaN  0.741828        55.2149        28.2411        7.43834        4.74225        3.29247       0.329128                 NaN
  1253.21        500.000                 NaN  0.741844        55.2147        28.2411        7.43833        4.74227        3.29266       0.329134                 NaN
  1250.00        500.000                 NaN  0.741860        55.2145        28.2411        7.43832        4.74229        3.29285       0.329140                 NaN
  1246.79        500.000                 NaN  0.741876        55.2142        28.2411        7.43831        4.74232        3.29304       0.329146                 NaN
  1243.59        500.000                 NaN  0.741893        55.2140        28.2411        7.43831        4.74234        3.29323       0.329152                 NaN
  1240.38        500.000                 NaN  0.741909        55.2138        28.2411        7.43830        4.74236        3.29342       0.329157                 NaN
  1237.18        500.000                 NaN  0.741925        55.2135        28.2411        7.43829        4.74238        3.29361       0.329163                 NaN
  1233.97        500.000                 NaN  0.741941        55.2133        28.2411        7.43829        4.74240        3.29380       0.329169                 NaN
  1230.77        500.000                 NaN  0.768784        55.2764        28.1141        7.43147        4.64367        3.42733       0.338244                 NaN
  1227.56        500.000                 NaN  0.768801        55.2761        28.1141        7.43146        4.64369        3.42753       0.338250                 NaN
  1224.36        500.000                 NaN  0.768817        55.2759        28.1141        7.43145        4.64371        3.42773       0.338256                 NaN
  1221.15        500.000                 NaN  0.768834        55.2756        28.1142        7.43144        4.64373        3.42792       0.338262                 NaN
  1217.95        500.000                 NaN  0.768850        55.2754        28.1142        7.43143        4.64375        3.42812       0.338268                 NaN
  1214.74        500.000                 NaN  0.768867        55.2752        28.1142        7.43142        4.64377        3.42832       0.338273                 NaN
  1211.54        500.000                 NaN  0.768883        55.2749        28.1142        7.43142        4.64379        3.42851       0.338279                 NaN
  1208.33        500.000                 NaN  0.768899        55.2747        28.1142        7.43141        4.64382        3.42871       0.338285                 NaN
  1205.13        500.000                 NaN  0.796276        55.3314        28.0027        7.42500        4.54486        3.55372       0.346139                 NaN
  1201.92        500.000                 NaN  0.796293        55.3311        28.0027        7.42499        4.54488        3.55393       0.346145                 NaN
  1198.72        500.000                 NaN  0.796310        55.3308        28.0027        7.42498        4.54490        3.55413       0.346151                 NaN
  1195.51        500.000                 NaN  0.796327        55.3306        28.0027        7.42497        4.54492        3.55433       0.346157                 NaN
  1192.31        500.000                 NaN  0.796343        55.3303        28.0027        7.42496        4.54494        3.55454       0.346163                 NaN
  1189.10        500.000                 NaN  0.796360        55.3301        28.0027        7.42495        4.54497        3.55474       0.346168                 NaN
  1185.90        500.000                 NaN  0.796377        55.3298        28.0028        7.42494        4.54499        3.55494       0.346174                 NaN
  1182.69        500.000                 NaN  0.796394        55.3296        28.0028        7.42493        4.54501        3.55514       0.346180                 NaN
  1179.49        500.000                 NaN  0.824408        55.3802        27.9067        7.41891        4.44478        3.67143       0.353564                 NaN
  1176.28        500.000                 NaN  0.824425        55.3799        27.9067        7.41890        4.44480        3.67164       0.353570                 NaN
  1173.08        500.000                 NaN  0.824443        55.3797        27.9067        7.41889        4.44482        3.67185       0.353576                 NaN
  1169.87        500.000                 NaN  0.824460        55.3794        27.9068        7.41888        4.44485        3.67206       0.353582                 NaN
  1166.67        500.000                 NaN  0.824478        55.3792        27.9068        7.41887        4.44487        3.67227       0.353588                 NaN
  1163.46        500.000                 NaN  0.824495        55.3789        27.9068        7.41886        4.44489        3.67248       0.353594                 NaN
  1160.26        500.000                 NaN  0.824512        55.3786        27.9068        7.41885        4.44491        3.67269       0.353600                 NaN
  1157.05        500.000                 NaN  0.824529        55.3784        27.9068        7.41883        4.44494        3.67290       0.353606                 NaN
  1153.85        500.000                 NaN  0.852951        55.4236        27.8272        4.34277        7.41107        3.78313       0.359280                 NaN
  1150.64        500.000                 NaN  0.852969        55.4233        27.8272        4.34279        7.41105        3.78334       0.359286                 NaN
