|6.6.6
Archiving\03_Data\fracLP/QFM_m4.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1942.36        500.000        99.7259       0.272261       0.184461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.7238       0.272283       0.391911E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.7109       0.272333       0.167596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.6981       0.272383       0.295556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.6852       0.272432       0.423513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.6724       0.272482       0.551558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.6596       0.272532       0.679134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.6468       0.272582       0.806621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.6340       0.272632       0.933870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.5888       0.272766       0.138408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.6085       0.272731       0.118795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.5958       0.272780       0.131464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.5830       0.272830       0.144129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.5703       0.272879       0.156779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.5577       0.272929       0.169401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.5450       0.272978       0.182004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.5324       0.273027       0.194598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.5198       0.273076       0.207164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.5072       0.273125       0.219719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4946       0.273174       0.232252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.2371       0.273251       0.238536       0.251099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4051                 NaN  0.665141E-002  0.588247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4065                 NaN            NaN  0.593502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4078                 NaN            NaN  0.592188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4101                 NaN            NaN  0.589860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4136                 NaN            NaN  0.586387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4280                 NaN            NaN  0.571960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4056                 NaN            NaN  0.594355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4212                 NaN            NaN  0.578830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4230                 NaN            NaN  0.577006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4255                 NaN            NaN  0.574528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4273                 NaN            NaN  0.572674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4289                 NaN            NaN  0.571094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4321                 NaN            NaN  0.567858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4359                 NaN            NaN  0.564098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4351                 NaN            NaN  0.564908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4379                 NaN            NaN  0.562093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4393                 NaN            NaN  0.560713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4401                 NaN            NaN  0.559884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4398                 NaN            NaN  0.560220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4407                 NaN            NaN  0.559299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3761                 NaN            NaN  0.623869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5961                 NaN            NaN  0.403930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3538                 NaN            NaN  0.636030       0.101362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4361                 NaN            NaN  0.553586       0.103586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4357                 NaN            NaN  0.553959       0.103633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4363                 NaN            NaN  0.553334       0.103286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4364                 NaN            NaN  0.553341       0.102984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4363                 NaN            NaN  0.553392       0.102861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4376                 NaN            NaN  0.552182       0.102279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4373                 NaN            NaN  0.552483       0.102074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4372                 NaN            NaN  0.552595       0.101829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4365                 NaN            NaN  0.553388       0.101573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4369                 NaN            NaN  0.553020       0.101194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4359                 NaN            NaN  0.554008       0.101042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4341                 NaN            NaN  0.555760       0.101252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4369                 NaN            NaN  0.553119       0.100076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4342                 NaN            NaN  0.555819       0.100155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4342                 NaN            NaN  0.555818       0.998442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4323                 NaN            NaN  0.557721       0.997630E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4317                 NaN            NaN  0.558350       0.995188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4300                 NaN            NaN  0.560043       0.992865E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4284                 NaN            NaN  0.561653       0.990080E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4281                 NaN            NaN  0.562030       0.987912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4258                 NaN            NaN  0.564340       0.986454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4247                 NaN            NaN  0.565471       0.982503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4472                 NaN            NaN  0.543360       0.941566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.8288                 NaN            NaN  0.168306       0.287829E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        98.9898                 NaN            NaN  0.993086       0.170941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4184                 NaN            NaN  0.571827       0.972878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4521                 NaN            NaN  0.538772       0.913065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3766                 NaN            NaN  0.613075       0.103345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4131                 NaN            NaN  0.577236       0.966302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.0477                 NaN            NaN  0.936689       0.155809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.9061                 NaN            NaN  0.923521E-001  0.152479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.2649                 NaN            NaN  0.723116       0.119482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4040                 NaN            NaN  0.586372       0.957975E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4009                 NaN            NaN  0.589501       0.958167E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3968                 NaN            NaN  0.593627       0.960524E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3937                 NaN            NaN  0.596641       0.961276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3955                 NaN            NaN  0.594967       0.948426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3894                 NaN            NaN  0.601089       0.953000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4555                 NaN            NaN  0.535564       0.888988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3174                 NaN            NaN  0.672410       0.101947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3854                 NaN            NaN  0.605063       0.949619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3708                 NaN            NaN  0.619689       0.949549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4565                 NaN            NaN  0.535287       0.821277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2925                 NaN            NaN  0.696806       0.106871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.7662                 NaN            NaN   1.21534       0.184335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.8748                 NaN            NaN  0.123254       0.192153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.5015                 NaN            NaN  0.491086       0.740075E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3396                 NaN            NaN  0.650654       0.973300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3464                 NaN            NaN  0.644011       0.958566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3613                 NaN            NaN  0.629319       0.934115E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4015                 NaN            NaN  0.589774       0.869781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3072                 NaN            NaN  0.682743       0.100128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3532                 NaN            NaN  0.637459       0.931538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3486                 NaN            NaN  0.642065       0.933656E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3465                 NaN            NaN  0.644166       0.932764E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3684                 NaN            NaN  0.622295       0.928125E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3242                 NaN            NaN  0.666454       0.931583E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3372                 NaN            NaN  0.653527       0.928785E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3392                 NaN            NaN  0.651528       0.927897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3377                 NaN            NaN  0.653056       0.927519E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3396                 NaN            NaN  0.651205       0.922689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3368                 NaN            NaN  0.653933       0.923397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3363                 NaN            NaN  0.654452       0.920890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3347                 NaN            NaN  0.656143       0.920528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3329                 NaN            NaN  0.657891       0.921418E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3353                 NaN            NaN  0.655585       0.915639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3345                 NaN            NaN  0.656341       0.914270E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3334                 NaN            NaN  0.657455       0.913788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3224                 NaN            NaN  0.668290       0.934397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.7262                 NaN            NaN   1.25612       0.176333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.9566                 NaN            NaN  0.432717E-001  0.134795E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3359                 NaN            NaN  0.655079       0.906457E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3374                 NaN            NaN  0.653594       0.903963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3378                 NaN            NaN  0.653210       0.903353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3393                 NaN            NaN  0.651658       0.901497E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3421                 NaN            NaN  0.648899       0.897427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3425                 NaN            NaN  0.648535       0.897683E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3459                 NaN            NaN  0.645208       0.893334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3374                 NaN            NaN  0.653587       0.905944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3597                 NaN            NaN  0.631527       0.874680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3528                 NaN            NaN  0.638321       0.885963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3549                 NaN            NaN  0.636211       0.884506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3193                 NaN            NaN  0.671334       0.933579E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3999                 NaN            NaN  0.591843       0.826576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3649                 NaN            NaN  0.626394       0.874416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3683                 NaN            NaN  0.622954       0.871810E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3036                 NaN            NaN  0.686785       0.964226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4428                 NaN            NaN  0.549475       0.771602E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3801                 NaN            NaN  0.611321       0.860677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.8992                 NaN            NaN   1.08537       0.154008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.8586                 NaN            NaN  0.139502       0.189179E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4073                 NaN            NaN  0.584441       0.830288E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3964                 NaN            NaN  0.595089       0.848734E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4010                 NaN            NaN  0.590545       0.844580E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4072                 NaN            NaN  0.584394       0.838878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.6712                 NaN            NaN  0.277490       0.362802E-002  0.477058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.1369                 NaN            NaN  0.116707                 NaN   1.74638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.7737                 NaN            NaN  0.732699E-001            NaN   1.15299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.7958                 NaN            NaN  0.706068E-001            NaN   1.13355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.8168                 NaN            NaN  0.681763E-001            NaN   1.11502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.8414                 NaN            NaN  0.112579                 NaN   1.04599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.8521                 NaN            NaN  0.125050E-001            NaN   1.13537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.8783                 NaN            NaN  0.599231E-001            NaN   1.06174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8971                 NaN            NaN  0.598278E-001            NaN   1.04304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.9131                 NaN            NaN  0.573918E-001            NaN   1.02953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.9333                 NaN            NaN  0.517698E-001            NaN   1.01497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.9504                 NaN            NaN  0.514660E-001            NaN  0.998110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.2668                 NaN            NaN  0.352979E-001            NaN  0.697881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6816                 NaN            NaN  0.647421E-001            NaN   1.25368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.0005                 NaN            NaN  0.495091E-001            NaN  0.950017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.0149                 NaN            NaN  0.397384E-001            NaN  0.945390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.0281                 NaN            NaN  0.385371E-001            NaN  0.933390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.0454                 NaN            NaN  0.394343E-001            NaN  0.915128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.0568                 NaN            NaN  0.364825E-001            NaN  0.906674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7424                 NaN            NaN  0.404893E-001            NaN   1.21706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.4179                 NaN            NaN  0.267816E-001            NaN  0.555279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.1010                 NaN            NaN  0.323252E-001            NaN  0.866659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.1125                 NaN            NaN  0.290135E-001            NaN  0.858521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.1251                 NaN            NaN  0.277775E-001            NaN  0.847134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.5280                 NaN            NaN  0.966810E-002            NaN  0.462332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.7520                 NaN            NaN  0.325568E-001            NaN   1.21548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.1615                 NaN            NaN  0.230665E-001            NaN  0.815402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.1730                 NaN            NaN  0.218303E-001            NaN  0.805164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1817                 NaN            NaN  0.192553E-001            NaN  0.799002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.1946                 NaN            NaN  0.185147E-001            NaN  0.786864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.2049                 NaN            NaN  0.163958E-001            NaN  0.778751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.7970                 NaN            NaN  0.271598                 NaN  0.931437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.6885                 NaN            NaN            NaN            NaN  0.311467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.2322                 NaN            NaN            NaN            NaN  0.767769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.2405                 NaN            NaN            NaN            NaN  0.759487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.2506                 NaN            NaN            NaN            NaN  0.749374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.2606                 NaN            NaN            NaN            NaN  0.739448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.2718                 NaN            NaN  0.269308E-002            NaN  0.725468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
