|6.6.6
Archiving\03_Data\frac/QFM/KHA22/KHA22_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1907.27        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4725       0.527499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4572       0.542816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4606       0.535362                 NaN  0.407896E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4592       0.530324                 NaN  0.104339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4617       0.527869                 NaN  0.104196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4648       0.524859                 NaN  0.103831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3503       0.637037                 NaN  0.126467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.5890       0.403027                 NaN  0.797741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4762       0.513618                 NaN  0.102107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4777       0.512094                 NaN  0.102348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4805       0.509347                 NaN  0.101925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4832       0.506669                 NaN  0.101516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4855       0.504334                 NaN  0.101248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4883       0.501647                 NaN  0.100749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4911       0.498832                 NaN  0.100376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.6372       0.355578                 NaN  0.719594E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.3517       0.635441                 NaN  0.128152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4989       0.491146                 NaN  0.991609E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.5006       0.489542                 NaN  0.989301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5017       0.488424                 NaN  0.986794E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.5051       0.485066                 NaN  0.980928E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.5068       0.483401                 NaN  0.978751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.5086       0.481652                 NaN  0.975258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5853       0.406411                 NaN  0.824072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4368       0.552007                 NaN  0.111724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5141       0.476292                 NaN  0.963821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5144       0.475996                 NaN  0.963752E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5174       0.473009                 NaN  0.957214E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5181       0.472364                 NaN  0.955551E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5164       0.473967                 NaN  0.958676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5231       0.467499                 NaN  0.942090E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.6033       0.388884                 NaN  0.784331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4378       0.551090                 NaN  0.111208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5269       0.463831                 NaN  0.930435E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5248       0.465810                 NaN  0.935284E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5247       0.465971                 NaN  0.935205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5261       0.464557                 NaN  0.929804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5272       0.463578                 NaN  0.925772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5053       0.485060                 NaN  0.968673E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5499       0.441286                 NaN  0.876452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5276       0.463202                 NaN  0.919856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5286       0.462279                 NaN  0.916194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5294       0.461533                 NaN  0.911309E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5292       0.461662                 NaN  0.910050E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5292       0.461738                 NaN  0.906775E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5286       0.462322                 NaN  0.904140E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5185       0.472318                 NaN  0.921440E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.6264       0.365890                 NaN  0.775031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.8474       0.150182                 NaN  0.237191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.1309       0.852649                 NaN  0.164366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5288       0.462289                 NaN  0.890292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5284       0.462718                 NaN  0.887227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5274       0.463753                 NaN  0.885921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5267       0.464437                 NaN  0.884548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5281       0.463086                 NaN  0.877440E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5266       0.464656                 NaN  0.876098E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5257       0.465564                 NaN  0.873757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5223       0.468954                 NaN  0.878425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5260       0.465403                 NaN  0.864569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5233       0.468077                 NaN  0.866811E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5205       0.470823                 NaN  0.867608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5221       0.469307                 NaN  0.860227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.5197       0.471663                 NaN  0.860410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5194       0.472001                 NaN  0.856051E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5176       0.473794                 NaN  0.855971E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5169       0.474579                 NaN  0.850591E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5153       0.476225                 NaN  0.850804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5143       0.477261                 NaN  0.847097E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.5123       0.479243                 NaN  0.845707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        98.9781        1.00426                 NaN  0.176549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.8424       0.154902                 NaN  0.271031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.7400       0.255516                 NaN  0.444350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.7631       0.232849                 NaN  0.403310E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2233       0.763577                 NaN  0.131084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.5043       0.487380                 NaN  0.831527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.5023       0.489368                 NaN  0.830939E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4995       0.492190                 NaN  0.831220E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.5007       0.491111                 NaN  0.823449E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4960       0.495772                 NaN  0.823035E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5379       0.454530                 NaN  0.752746E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4506       0.540513                 NaN  0.892672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4834       0.507042                 NaN  0.957148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.5021       0.491178                 NaN  0.672239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4889       0.502940                 NaN  0.815092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4887       0.503217                 NaN  0.810806E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4863       0.505596                 NaN  0.809859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4813       0.510600                 NaN  0.811122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4855       0.506450                 NaN  0.801138E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4826       0.509380                 NaN  0.802120E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4790       0.512998                 NaN  0.802406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4795       0.512466                 NaN  0.798625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4846       0.507540                 NaN  0.785719E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4680       0.523925                 NaN  0.807476E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4742       0.517894                 NaN  0.791373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4750       0.517123                 NaN  0.789435E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4733       0.518847                 NaN  0.789645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4709       0.521216                 NaN  0.787121E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4711       0.521066                 NaN  0.783409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.4691       0.523116                 NaN  0.783128E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.4622       0.529943                 NaN  0.789484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.4745       0.517817                 NaN  0.769171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4674       0.524828                 NaN  0.776202E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4664       0.525885                 NaN  0.774107E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4629       0.529288                 NaN  0.776355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4682       0.524190                 NaN  0.764749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4646       0.527717                 NaN  0.767006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4645       0.527887                 NaN  0.764498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.4649       0.527447                 NaN  0.762192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5345       0.218993                 NaN            NaN   1.24648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4873       0.181152                 NaN            NaN   1.33150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5068       0.177731                 NaN            NaN   1.31544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4667       0.182478                 NaN            NaN   1.35085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.7810       0.142699                 NaN            NaN   1.07629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4331       0.184920                 NaN            NaN   1.38197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        97.7615       0.259726                 NaN            NaN   1.97875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.3272       0.763823E-001            NaN            NaN  0.596448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.8217       0.136371                 NaN            NaN   1.04195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6898       0.151867                 NaN            NaN   1.15838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7101       0.152666                 NaN            NaN   1.13719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7299       0.144701                 NaN            NaN   1.12541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7546       0.142647                 NaN            NaN   1.10275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7762       0.139108                 NaN            NaN   1.08470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7929       0.133964                 NaN            NaN   1.07312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8158       0.132025                 NaN            NaN   1.05221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8315       0.127925                 NaN            NaN   1.04060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7949       0.192634                 NaN            NaN   1.01251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9149       0.510901E-001            NaN            NaN   1.03404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8911       0.120207                 NaN            NaN  0.988674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9046       0.116482                 NaN            NaN  0.978873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9150       0.115973                 NaN            NaN  0.969058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9376       0.114224                 NaN            NaN  0.948190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.7094       0.133104                 NaN            NaN   1.15753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.2237       0.840762E-001            NaN            NaN  0.692186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9846       0.102370                 NaN            NaN  0.912988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9948       0.976518E-001            NaN            NaN  0.907587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0152       0.977617E-001            NaN            NaN  0.887030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0241       0.934004E-001            NaN            NaN  0.882533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0355       0.897311E-001            NaN            NaN  0.874751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0571       0.893361E-001            NaN            NaN  0.853600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0670       0.870146E-001            NaN            NaN  0.845945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0765       0.837507E-001            NaN            NaN  0.839784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0906       0.819946E-001            NaN            NaN  0.827377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.1031       0.802102E-001            NaN            NaN  0.816690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9988       0.936147E-001            NaN            NaN  0.907630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.2465       0.625990E-001            NaN            NaN  0.690880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1371       0.732827E-001            NaN            NaN  0.789575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1466       0.697337E-001            NaN            NaN  0.783694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1536       0.654410E-001            NaN            NaN  0.780955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1692       0.643067E-001            NaN            NaN  0.766534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1772       0.630964E-001            NaN            NaN  0.759678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.1875       0.606085E-001            NaN            NaN  0.751936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.1969       0.586549E-001            NaN            NaN  0.744486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.3211       0.503725E-001            NaN            NaN  0.628535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.0982       0.602259E-001            NaN            NaN  0.841557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.2270       0.520995E-001            NaN            NaN  0.720874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.2324       0.497892E-001            NaN            NaN  0.717812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.2386       0.466722E-001            NaN            NaN  0.714764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.2487       0.451258E-001            NaN            NaN  0.706189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.2549       0.420366E-001            NaN            NaN  0.703073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.2629       0.412260E-001            NaN            NaN  0.695912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.2691       0.388419E-001            NaN            NaN  0.692018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.2789       0.361799E-001            NaN            NaN  0.684924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        99.2841       0.345004E-001            NaN            NaN  0.681402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        98.9429       0.953231E-001            NaN            NaN  0.961780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.6549       0.344014E-001            NaN            NaN  0.310729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.3002                 NaN            NaN            NaN  0.699791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        99.3069       0.857235E-002            NaN            NaN  0.684541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        99.3162       0.288939E-001            NaN            NaN  0.654874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        99.3326       0.996703E-001            NaN            NaN  0.567726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        99.3214                 NaN            NaN            NaN  0.678589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        99.3267       0.560820E-002            NaN            NaN  0.667679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.3371                 NaN            NaN            NaN  0.662897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.3385                 NaN            NaN            NaN  0.661472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
