|6.6.6
Archiving\03_Data\frac/QFM_m1.75/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1864.66        2500.00        99.4298                 NaN  0.562732                 NaN  0.743105E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4288                 NaN  0.561126                 NaN  0.100332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4305                 NaN  0.559464                 NaN  0.999980E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4321                 NaN  0.557886                 NaN  0.997617E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4311                 NaN  0.558971                 NaN  0.996064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4363                 NaN  0.553839                 NaN  0.988711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.2551                 NaN  0.731849                 NaN  0.130830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.6187                 NaN  0.374609                 NaN  0.665465E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.6712                 NaN  0.323126                 NaN  0.571788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.2025                 NaN  0.783627                 NaN  0.139093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.3575                 NaN  0.631244                 NaN  0.112413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5235                 NaN  0.468170                 NaN  0.828368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4409                 NaN  0.549346                 NaN  0.971486E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4426                 NaN  0.547785                 NaN  0.966443E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4423                 NaN  0.548031                 NaN  0.966457E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.6208                 NaN  0.372667                 NaN  0.652627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.2601                 NaN  0.727201                 NaN  0.127241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4434                 NaN  0.546999                 NaN  0.956582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.2512                 NaN  0.735931                 NaN  0.128318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.6328                 NaN  0.360964                 NaN  0.623087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4432                 NaN  0.547320                 NaN  0.948447E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4402                 NaN  0.550263                 NaN  0.951012E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4425                 NaN  0.548058                 NaN  0.940280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4420                 NaN  0.548595                 NaN  0.942501E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4385                 NaN  0.552046                 NaN  0.943959E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4408                 NaN  0.549870                 NaN  0.935367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4376                 NaN  0.553054                 NaN  0.937628E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4381                 NaN  0.552556                 NaN  0.931399E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4362                 NaN  0.554495                 NaN  0.931912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4359                 NaN  0.554783                 NaN  0.928031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4335                 NaN  0.557236                 NaN  0.928198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4332                 NaN  0.557548                 NaN  0.923783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4296                 NaN  0.561135                 NaN  0.926082E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4311                 NaN  0.559778                 NaN  0.916855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4271                 NaN  0.563646                 NaN  0.920515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5573                 NaN  0.435622                 NaN  0.707588E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.2940                 NaN  0.694819                 NaN  0.112121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4208                 NaN  0.570103                 NaN  0.912461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4225                 NaN  0.568430                 NaN  0.908526E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4192                 NaN  0.571688                 NaN  0.908691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4154                 NaN  0.575520                 NaN  0.910069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4165                 NaN  0.574497                 NaN  0.902618E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.0312                 NaN  0.954016                 NaN  0.147486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.8652                 NaN  0.132656                 NaN  0.217616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4780                 NaN  0.514056                 NaN  0.794887E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.2573                 NaN  0.731436                 NaN  0.112284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4036                 NaN  0.587389                 NaN  0.896603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4010                 NaN  0.590081                 NaN  0.895402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3978                 NaN  0.593244                 NaN  0.894614E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3960                 NaN  0.595068                 NaN  0.892483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3930                 NaN  0.598129                 NaN  0.891910E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3913                 NaN  0.599800                 NaN  0.888280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3879                 NaN  0.603150                 NaN  0.890747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3855                 NaN  0.605634                 NaN  0.886173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3830                 NaN  0.608124                 NaN  0.884701E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3795                 NaN  0.611692                 NaN  0.884646E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3789                 NaN  0.612250                 NaN  0.881431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3753                 NaN  0.615887                 NaN  0.881193E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3731                 NaN  0.618098                 NaN  0.878929E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3725                 NaN  0.618756                 NaN  0.875306E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.6450                 NaN  0.350088                 NaN  0.493445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.0879                 NaN  0.899498                 NaN  0.125916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3642                 NaN  0.627030                 NaN  0.874076E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3690                 NaN  0.622373                 NaN  0.861958E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3524                 NaN  0.638745                 NaN  0.880773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3584                 NaN  0.632916                 NaN  0.870103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3564                 NaN  0.634904                 NaN  0.867576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3540                 NaN  0.637357                 NaN  0.867601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3531                 NaN  0.638210                 NaN  0.865210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3492                 NaN  0.642087                 NaN  0.866511E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3520                 NaN  0.639430                 NaN  0.858644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3487                 NaN  0.642663                 NaN  0.860261E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3477                 NaN  0.643725                 NaN  0.858605E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3458                 NaN  0.645637                 NaN  0.861148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3469                 NaN  0.644532                 NaN  0.853381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3453                 NaN  0.646181                 NaN  0.853917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3449                 NaN  0.646616                 NaN  0.851973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3440                 NaN  0.647480                 NaN  0.850717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3438                 NaN  0.647699                 NaN  0.848654E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3445                 NaN  0.646980                 NaN  0.847058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3430                 NaN  0.648561                 NaN  0.846532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3453                 NaN  0.646243                 NaN  0.842010E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.8422                 NaN   1.14296                 NaN  0.148896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.8548                 NaN  0.143363                 NaN  0.182771E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3437                 NaN  0.647868                 NaN  0.840442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3497                 NaN  0.641934                 NaN  0.832044E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3497                 NaN  0.641997                 NaN  0.832008E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3513                 NaN  0.640401                 NaN  0.829252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3520                 NaN  0.639686                 NaN  0.828282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3544                 NaN  0.637354                 NaN  0.824622E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3563                 NaN  0.635489                 NaN  0.821815E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.6504                 NaN  0.343759                 NaN            NaN   1.00588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5727                 NaN  0.210798                 NaN            NaN   1.21655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5441                 NaN  0.216900                 NaN            NaN   1.23900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5672                 NaN  0.212346                 NaN            NaN   1.22046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5914                 NaN  0.207772                 NaN            NaN   1.20086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6195                 NaN  0.203207                 NaN            NaN   1.17727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6426                 NaN  0.200962                 NaN            NaN   1.15645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6665                 NaN  0.195380                 NaN            NaN   1.13808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6759                 NaN  0.191777                 NaN            NaN   1.13236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7262                 NaN  0.188858                 NaN            NaN   1.08494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7307                 NaN  0.182156                 NaN            NaN   1.08718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7626                 NaN  0.179310                 NaN            NaN   1.05813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7765                 NaN  0.176234                 NaN            NaN   1.04726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7969                 NaN  0.172027                 NaN            NaN   1.03107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8152                 NaN  0.169265                 NaN            NaN   1.01550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8378                 NaN  0.165066                 NaN            NaN  0.997183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8544                 NaN  0.162096                 NaN            NaN  0.983498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8718                 NaN  0.157041                 NaN            NaN  0.971155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8907                 NaN  0.154927                 NaN            NaN  0.954397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        97.8310                 NaN  0.293762                 NaN            NaN   1.87521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.9856                 NaN            NaN            NaN            NaN  0.143736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9577                 NaN  0.154264                 NaN            NaN  0.888014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9475                 NaN  0.141585                 NaN            NaN  0.910909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9768                 NaN  0.137906                 NaN            NaN  0.885334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9875                 NaN  0.136204                 NaN            NaN  0.876268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0017                 NaN  0.133370                 NaN            NaN  0.864919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0047                 NaN  0.128071                 NaN            NaN  0.867216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0398                 NaN  0.127721                 NaN            NaN  0.832461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0425                 NaN  0.127104                 NaN            NaN  0.830406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0588                 NaN  0.121450                 NaN            NaN  0.819743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0694                 NaN  0.119983                 NaN            NaN  0.810658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0796                 NaN  0.118961                 NaN            NaN  0.801480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0980                 NaN  0.114111                 NaN            NaN  0.787881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.1035                 NaN  0.113247                 NaN            NaN  0.783286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.1230                 NaN  0.109451                 NaN            NaN  0.767557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.1301                 NaN  0.107862                 NaN            NaN  0.762008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1389                 NaN  0.104411                 NaN            NaN  0.756730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1539                 NaN  0.102669                 NaN            NaN  0.743382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1583                 NaN  0.956975E-001            NaN            NaN  0.746031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1749                 NaN  0.979454E-001            NaN            NaN  0.727134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1828                 NaN  0.951579E-001            NaN            NaN  0.722022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
