|6.6.6
Archiving\03_Data\fracLP/QFM_m0.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       mang           O(HP)          Sp(TH)         Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1937.34        500.000        99.7294                 NaN  0.270636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.7293                 NaN  0.270652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.7293                 NaN  0.270667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.7293                 NaN  0.270683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.7293                 NaN  0.270699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.7293                 NaN  0.270715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.7293                 NaN  0.270731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.7293                 NaN  0.270747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.7292                 NaN  0.270762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.7292                 NaN  0.270778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.7292                 NaN  0.270794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.7292                 NaN  0.270810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.7292                 NaN  0.270826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.7292                 NaN  0.270842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.7291                 NaN  0.270857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.7291                 NaN  0.270873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.7291                 NaN  0.270889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.7291                 NaN  0.270905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.7291                 NaN  0.270921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.7291                 NaN  0.270937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.7290                 NaN  0.270953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.7290                 NaN  0.270968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.7290                 NaN  0.270984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.7290                 NaN  0.271000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.7290                 NaN  0.271016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.7290                 NaN  0.271032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.7290                 NaN  0.271048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.5986                 NaN  0.271089       0.130331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4325                 NaN            NaN  0.567550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4364                 NaN            NaN  0.563580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4395                 NaN            NaN  0.560509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4417                 NaN            NaN  0.558295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.6715                 NaN            NaN  0.328477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.2172                 NaN            NaN  0.782817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4519                 NaN            NaN  0.548130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4515                 NaN            NaN  0.548543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4538                 NaN            NaN  0.546218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4553                 NaN            NaN  0.544684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4578                 NaN            NaN  0.542216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4591                 NaN            NaN  0.540879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5553                 NaN            NaN  0.441467       0.326152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3587                 NaN            NaN  0.630251       0.110131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4580                 NaN            NaN  0.532657       0.933448E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4586                 NaN            NaN  0.532058       0.931550E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4606                 NaN            NaN  0.530149       0.927606E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4622                 NaN            NaN  0.528522       0.925647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4617                 NaN            NaN  0.529034       0.926247E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4659                 NaN            NaN  0.524907       0.917589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4626                 NaN            NaN  0.528128       0.925234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4649                 NaN            NaN  0.525916       0.919438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4699                 NaN            NaN  0.521037       0.909908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3179                 NaN            NaN  0.670409       0.117036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.6192                 NaN            NaN  0.374264       0.650316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4699                 NaN            NaN  0.521034       0.907487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4696                 NaN            NaN  0.521359       0.907041E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4688                 NaN            NaN  0.522153       0.908768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4786                 NaN            NaN  0.512556       0.889333E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4636                 NaN            NaN  0.527326       0.912377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4712                 NaN            NaN  0.519858       0.898122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4704                 NaN            NaN  0.520650       0.896995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.6164                 NaN            NaN  0.377092       0.648632E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3253                 NaN            NaN  0.663275       0.113974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4705                 NaN            NaN  0.520606       0.890552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4701                 NaN            NaN  0.521002       0.888356E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5372                 NaN            NaN  0.455016       0.774555E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4002                 NaN            NaN  0.589777       0.998366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4708                 NaN            NaN  0.520376       0.879735E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4682                 NaN            NaN  0.522934       0.881816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4677                 NaN            NaN  0.523499       0.879358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4670                 NaN            NaN  0.524185       0.876876E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4659                 NaN            NaN  0.525323       0.875223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4649                 NaN            NaN  0.526358       0.874339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4633                 NaN            NaN  0.528009       0.872905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4635                 NaN            NaN  0.527840       0.869272E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4615                 NaN            NaN  0.529769       0.869133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4603                 NaN            NaN  0.531042       0.867218E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4591                 NaN            NaN  0.532202       0.865176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4578                 NaN            NaN  0.533540       0.863410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.9594                 NaN            NaN   1.02406       0.165690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.9579                 NaN            NaN  0.416006E-001  0.520905E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4534                 NaN            NaN  0.538026       0.858473E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.7120                 NaN            NaN  0.283433       0.452610E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.1872                 NaN            NaN  0.800149       0.126305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4466                 NaN            NaN  0.544874       0.855576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4694                 NaN            NaN  0.522415       0.817007E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4179                 NaN            NaN  0.573194       0.888653E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4449                 NaN            NaN  0.546609       0.845462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4417                 NaN            NaN  0.549804       0.846741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4396                 NaN            NaN  0.551999       0.844777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4365                 NaN            NaN  0.555031       0.845026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4301                 NaN            NaN  0.561454       0.848368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4368                 NaN            NaN  0.554885       0.835169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4020                 NaN            NaN  0.588993       0.897762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4567                 NaN            NaN  0.535530       0.780258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4264                 NaN            NaN  0.565259       0.836046E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.0093                 NaN            NaN  0.976433       0.143029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8342                 NaN            NaN  0.163413       0.239155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4183                 NaN            NaN  0.573377       0.833207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4184                 NaN            NaN  0.573352       0.829616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3888                 NaN            NaN  0.602576       0.867034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4404                 NaN            NaN  0.551729       0.788896E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4121                 NaN            NaN  0.579647       0.825314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4098                 NaN            NaN  0.581986       0.824463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4069                 NaN            NaN  0.584919       0.823077E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4060                 NaN            NaN  0.585780       0.820978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.4048                 NaN            NaN  0.587016       0.818732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4022                 NaN            NaN  0.589577       0.817590E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.4004                 NaN            NaN  0.591434       0.817017E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3967                 NaN            NaN  0.595126       0.815908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4008                 NaN            NaN  0.591133       0.808711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3963                 NaN            NaN  0.595637       0.809766E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3955                 NaN            NaN  0.596415       0.808230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3804                 NaN            NaN  0.611373       0.825447E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4039                 NaN            NaN  0.588257       0.788314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3918                 NaN            NaN  0.600154       0.801039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3817                 NaN            NaN  0.610145       0.813948E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4009                 NaN            NaN  0.591276       0.784280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3901                 NaN            NaN  0.601932       0.795509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3880                 NaN            NaN  0.604012       0.794150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.6391       0.233108E-001            NaN   1.32117       0.164729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.9676                 NaN            NaN  0.303448E-001  0.204400E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.5056                 NaN            NaN  0.489483       0.488470E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3864                 NaN            NaN  0.605730       0.787332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3954                 NaN            NaN  0.596895       0.773348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3866                 NaN            NaN  0.605614       0.782678E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3949                 NaN            NaN  0.597445       0.769981E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3902                 NaN            NaN  0.602081       0.774153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3940                 NaN            NaN  0.598361       0.768292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3930                 NaN            NaN  0.599342       0.766121E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3933                 NaN            NaN  0.599074       0.765653E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3963                 NaN            NaN  0.596108       0.759346E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3963                 NaN            NaN  0.596132       0.757018E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3992                 NaN            NaN  0.593298       0.753361E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4006                 NaN            NaN  0.591857       0.750216E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4021                 NaN            NaN  0.590439       0.747402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4040                 NaN            NaN  0.588531       0.743710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4064                 NaN            NaN  0.586194       0.740608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4084                 NaN            NaN  0.584273       0.736323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.3589                 NaN            NaN  0.633706       0.743770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4649                 NaN            NaN  0.527952       0.718012E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4154                 NaN            NaN  0.577370       0.725054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4187                 NaN            NaN  0.574132       0.721540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.4211                 NaN            NaN  0.571722       0.717898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.4245                 NaN            NaN  0.568317       0.713479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4242                 NaN            NaN  0.568660       0.711728E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.4332                 NaN            NaN  0.559764       0.702246E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.4329                 NaN            NaN  0.560058       0.702289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.4379                 NaN            NaN  0.555124       0.696150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.4405                 NaN            NaN  0.552568       0.693703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.4383                 NaN            NaN  0.554768       0.696884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.4478                 NaN            NaN  0.545412       0.681077E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.4555                 NaN            NaN  0.537786       0.675401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.4552                 NaN            NaN  0.538016       0.675432E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.4565                 NaN            NaN  0.536802       0.672671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.4643                 NaN            NaN  0.529045       0.665787E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.4667                 NaN            NaN  0.526720       0.662100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.4707                 NaN            NaN  0.522759       0.657108E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.4738                 NaN            NaN  0.519618       0.653330E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.9972                 NaN            NaN            NaN  0.277884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7095                 NaN            NaN   1.27715       0.133193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.7455                 NaN            NaN  0.251391       0.315198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.6935                 NaN            NaN  0.302659       0.381039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.2915                 NaN            NaN  0.699681       0.882391E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.4996                 NaN            NaN  0.494142       0.624294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
