|6.6.6
Archiving\03_Data\frac/QFM_m0.5/GRV/GRV_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1889.72        2500.00        99.1688       0.831195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.1688       0.831193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.1688       0.831190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.1688       0.831188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.1688       0.831185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.1688       0.831183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.1688       0.831180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.1688       0.831178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.1688       0.831175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.1688       0.831173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.1688       0.831170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.1688       0.831168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.1688       0.831165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.1688       0.831162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.1688       0.831160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.1688       0.831157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.1688       0.831154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.1688       0.831152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.1689       0.831149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.1689       0.831146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.1689       0.831143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.1689       0.831140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.1679       0.831138       0.924477E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.1538       0.831142       0.151006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.1512       0.831264       0.175491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.1511       0.831406       0.174700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.1512       0.831548       0.172781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.1511       0.831688       0.171871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.1510       0.831827       0.171539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.1511       0.831966       0.169359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.1511       0.832104       0.167613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.1511       0.832239       0.166880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.1510       0.832375       0.165834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.1509       0.832509       0.165582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.1511       0.832643       0.162429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.1510       0.832775       0.162503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.1510       0.832906       0.160934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.1510       0.833036       0.160024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.1510       0.833166       0.158794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.1510       0.833294       0.157558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.1508       0.833422       0.157369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.1510       0.833549       0.154374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.1509       0.833674       0.154339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.1509       0.833798       0.152857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.1474       0.833921       0.186668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.1544       0.834073       0.115737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.1509       0.834166       0.149623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.1508       0.834287       0.148679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.1508       0.834406       0.147634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.1509       0.834526       0.146107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.1508       0.834643       0.145338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.1508       0.834760       0.144331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.1508       0.834877       0.143159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        97.5811       0.835029                 NaN            NaN   1.58382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.9726                 NaN  0.273634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.9857                 NaN  0.142722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.7244                 NaN  0.139235E-001            NaN  0.261662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3370                 NaN  0.136012E-001            NaN  0.649356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3410                 NaN  0.134057E-001            NaN  0.645549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3346                 NaN  0.134391E-001            NaN  0.652003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3264                 NaN  0.134882E-001            NaN  0.660153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3241                 NaN  0.134377E-001            NaN  0.662503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3163                 NaN  0.134843E-001            NaN  0.670175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3132                 NaN  0.134196E-001            NaN  0.673332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3076                 NaN  0.134236E-001            NaN  0.678965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3610                 NaN  0.122996E-001            NaN  0.626729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3454                 NaN  0.124534E-001            NaN  0.642177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.1804                 NaN  0.155096E-001            NaN  0.804112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2848                 NaN  0.134392E-001            NaN  0.701773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2799                 NaN  0.134050E-001            NaN  0.706648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2727                 NaN  0.134473E-001            NaN  0.713839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2729                 NaN  0.133430E-001            NaN  0.713769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2621                 NaN  0.134407E-001            NaN  0.724452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2822                 NaN  0.129263E-001            NaN  0.704859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2323                 NaN  0.137839E-001            NaN  0.753956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        98.2839                 NaN  0.306560E-001            NaN   1.68546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4559                 NaN  0.930629E-002            NaN  0.534814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2348                 NaN  0.133498E-001            NaN  0.751844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2290                 NaN  0.133566E-001            NaN  0.757647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2246                 NaN  0.133446E-001            NaN  0.762068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2217                 NaN  0.133294E-001            NaN  0.764980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2152                 NaN  0.133518E-001            NaN  0.771480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2090                 NaN  0.134126E-001            NaN  0.777598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2133                 NaN  0.132409E-001            NaN  0.773455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2054                 NaN  0.133143E-001            NaN  0.781307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.1999                 NaN  0.133350E-001            NaN  0.786734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1959                 NaN  0.133233E-001            NaN  0.790752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.1949                 NaN  0.132914E-001            NaN  0.791848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.1937                 NaN  0.132537E-001            NaN  0.793035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.1041                 NaN  0.113546E-001            NaN  0.452618        1.43189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.6218                 NaN  0.100279E-001            NaN  0.279295        2.08886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.6654                 NaN  0.970699E-002            NaN  0.272358        2.05256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.7099                 NaN  0.931414E-002            NaN  0.265047        2.01571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.7504                 NaN  0.895706E-002            NaN  0.258023        1.98264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        97.7923                 NaN  0.861561E-002            NaN  0.250673        1.94838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        97.8246                 NaN  0.832227E-002            NaN  0.244181        1.92286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        97.8710                 NaN  0.798931E-002            NaN  0.237448        1.88358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        97.9028                 NaN  0.764505E-002            NaN  0.230669        1.85884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        97.9397                 NaN  0.734395E-002            NaN  0.224469        1.82850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        97.9719                 NaN  0.702801E-002            NaN  0.217801        1.80326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.0026                 NaN  0.671104E-002            NaN  0.211630        1.77903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.0377                 NaN  0.640767E-002            NaN  0.205539        1.75040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.0564                 NaN  0.621223E-002            NaN  0.199348        1.73800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.1075                 NaN  0.590426E-002            NaN  0.193625        1.69296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.1262                 NaN  0.564079E-002            NaN  0.187268        1.68090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.1539                 NaN  0.531957E-002            NaN  0.181532        1.65921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.1799                 NaN  0.509026E-002            NaN  0.175754        1.63929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.2071                 NaN  0.482193E-002            NaN  0.170244        1.61782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.2310                 NaN  0.451215E-002            NaN  0.164537        1.59992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.2519                 NaN  0.420698E-002            NaN  0.159094        1.58477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.2872                 NaN  0.398228E-002            NaN  0.153743        1.55510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.3009                 NaN  0.361967E-002            NaN  0.148466        1.54706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.3216                 NaN  0.344195E-002            NaN  0.143800        1.53120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.3469                 NaN  0.320781E-002            NaN  0.138068        1.51185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.3600                 NaN  0.307132E-002            NaN  0.133210        1.50376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.3955                 NaN  0.270298E-002            NaN  0.128282        1.47353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.2462                 NaN  0.248145E-002            NaN  0.135395        1.61594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4767                 NaN  0.842305E-003            NaN  0.400235E-001  0.482461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        97.5485                 NaN  0.303643E-002            NaN  0.180752        2.26775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.4629                 NaN  0.160392E-002            NaN  0.108808        1.42673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.4749                 NaN  0.133125E-002            NaN  0.103866        1.41986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.4915                 NaN  0.109384E-002            NaN  0.992837E-001   1.40808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.5072                 NaN  0.818132E-003            NaN  0.949185E-001   1.39702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.5171                 NaN  0.472945E-003            NaN  0.901203E-001   1.39233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.5332                 NaN  0.279963E-003            NaN  0.856133E-001   1.38092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.5571                 NaN  0.153760E-002            NaN  0.831033E-001   1.35827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.5630                 NaN            NaN            NaN  0.768659E-001   1.36012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.5735                 NaN            NaN            NaN  0.726067E-001   1.35388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.5805                 NaN            NaN            NaN  0.685452E-001   1.35098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.6001                 NaN            NaN            NaN  0.653992E-001   1.33452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.6059                 NaN            NaN            NaN  0.618070E-001   1.33230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.6153                 NaN            NaN            NaN  0.575945E-001   1.32714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.6233                 NaN            NaN            NaN  0.532095E-001   1.32346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.5306                 NaN            NaN            NaN  0.438143E-001  0.883172       0.542404                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.1800                 NaN  0.119974E-001            NaN  0.221788E-002            NaN   1.80582                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.0925                 NaN  0.176958E-001            NaN  0.767558E-002            NaN   1.88210                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        97.9904                 NaN  0.175676E-001            NaN            NaN            NaN   1.99198                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        97.5895                 NaN  0.172910E-001            NaN  0.217478E-001            NaN   1.59475       0.776711                 NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        97.0373                 NaN  0.150975E-001            NaN  0.371233                 NaN   2.57637                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        97.1009                 NaN  0.145881E-001            NaN  0.357665                 NaN   2.52685                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        97.1727                 NaN  0.139016E-001            NaN  0.369080                 NaN   2.44428                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        97.2283                 NaN  0.134278E-001            NaN  0.365828                 NaN   2.39247                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        97.2965                 NaN  0.128431E-001            NaN  0.352903                 NaN   2.33774                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        97.2642                 NaN  0.103854E-001            NaN  0.270087       0.149056        2.30628                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        97.4590                 NaN  0.115019E-001            NaN  0.346029                 NaN   2.18343                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        97.4480                 NaN  0.104395E-001            NaN  0.321387       0.522494E-001   2.16794                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        97.4753                 NaN  0.108374E-001            NaN  0.351368                 NaN   2.16252                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        97.5974                 NaN  0.977987E-002            NaN  0.329923       0.171184E-001   2.04579                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        97.5879                 NaN  0.721501E-002            NaN  0.283504       0.145359        1.97599                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        97.6329                 NaN  0.667864E-002            NaN  0.281708       0.146392        1.93231                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        97.6792                 NaN  0.624665E-002            NaN  0.279956       0.141038        1.89351                 NaN            NaN            NaN            NaN            NaN            NaN
