|6.6.6
Archiving\03_Data\fracLP/QFM_m4.5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           ilm            San(TH)        q             
  1947.37        500.000        99.3217                 NaN  0.678269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.3217                 NaN  0.678329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.3216                 NaN  0.678389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.3216                 NaN  0.678449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.3215                 NaN  0.678509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.3214                 NaN  0.678569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.3214                 NaN  0.678629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3213                 NaN  0.678689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3213                 NaN  0.678749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3212                 NaN  0.678809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3211                 NaN  0.678870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3211                 NaN  0.678930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3210                 NaN  0.678990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3209                 NaN  0.679051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3209                 NaN  0.679111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3208                 NaN  0.679172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3208                 NaN  0.679232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3207                 NaN  0.679310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3206                 NaN  0.679353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3206                 NaN  0.679414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3205                 NaN  0.679475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3205                 NaN  0.679535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3204                 NaN  0.679596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3203                 NaN  0.679657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3203                 NaN  0.679718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3202                 NaN  0.679778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3202                 NaN  0.679839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3201                 NaN  0.679900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3200                 NaN  0.679961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3200                 NaN  0.680022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3199                 NaN  0.680083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3199                 NaN  0.680144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3198                 NaN  0.680205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3197                 NaN  0.680266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3197                 NaN  0.680328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3196                 NaN  0.680389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3195                 NaN  0.680450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3195                 NaN  0.680511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3194                 NaN  0.680573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3194                 NaN  0.680634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3193                 NaN  0.680695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3192                 NaN  0.680757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3192                 NaN  0.680818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3191                 NaN  0.680880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3191                 NaN  0.680941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3190                 NaN  0.681003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3189                 NaN  0.681064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3189                 NaN  0.681126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3188                 NaN  0.681188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3188                 NaN  0.681250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3187                 NaN  0.681311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3186                 NaN  0.681373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.3186                 NaN  0.681435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3185                 NaN  0.681497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3184                 NaN  0.681559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3184                 NaN  0.681621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3183                 NaN  0.681683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3183                 NaN  0.681745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3182                 NaN  0.681807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3181                 NaN  0.681869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3095                 NaN  0.681944       0.856777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3075                 NaN  0.682080       0.104532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3076                 NaN  0.682229       0.102203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3074                 NaN  0.682376       0.102228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3073                 NaN  0.682524       0.101489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3073                 NaN  0.682670       0.100639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3071                 NaN  0.682817       0.100454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3071                 NaN  0.682962       0.988819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3070                 NaN  0.683107       0.987290E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3070                 NaN  0.683252       0.974882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3069                 NaN  0.683395       0.969262E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3068                 NaN  0.683539       0.962098E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3037                 NaN  0.683687       0.126341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.2896                 NaN  0.683852       0.636822E-002  0.201498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        98.8012                 NaN            NaN  0.190260E-001   1.17982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.7173                 NaN            NaN  0.442388E-002  0.278298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.6396                 NaN            NaN  0.561113E-002  0.354745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3755                 NaN            NaN  0.969534E-002  0.614821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3733                 NaN            NaN  0.964933E-002  0.617099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3671                 NaN            NaN  0.966837E-002  0.623254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3646                 NaN            NaN  0.962747E-002  0.625789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.9309                 NaN            NaN  0.963239E-003  0.680920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.7852                 NaN            NaN  0.182457E-001   1.19658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3494                 NaN            NaN  0.962669E-002  0.640941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4550                 NaN            NaN  0.799211E-002  0.537048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2290                 NaN            NaN  0.112292E-001  0.759767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3382                 NaN            NaN  0.954560E-002  0.652280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3326                 NaN            NaN  0.956401E-002  0.657844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3285                 NaN            NaN  0.954752E-002  0.661968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3219                 NaN            NaN  0.957716E-002  0.668565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3138                 NaN            NaN  0.962195E-002  0.676618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3188                 NaN            NaN  0.946055E-002  0.671725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3324                 NaN            NaN  0.921526E-002  0.658374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.7630                 NaN            NaN  0.325732E-002  0.233697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        98.8163                 NaN            NaN  0.161247E-001   1.16760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2990                 NaN            NaN  0.946732E-002  0.691521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2937                 NaN            NaN  0.948869E-002  0.696809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2879                 NaN            NaN  0.949881E-002  0.702582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2856                 NaN            NaN  0.947025E-002  0.704964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2814                 NaN            NaN  0.947564E-002  0.709090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2778                 NaN            NaN  0.947882E-002  0.712751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.9345                 NaN            NaN  0.101101E-002  0.645027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        98.6135                 NaN            NaN  0.179028E-001   1.36864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2705                 NaN            NaN  0.941769E-002  0.720109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2653                 NaN            NaN  0.945253E-002  0.725258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2633                 NaN            NaN  0.942278E-002  0.727269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2605                 NaN            NaN  0.943364E-002  0.730022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2573                 NaN            NaN  0.943308E-002  0.733265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2737                 NaN            NaN  0.926487E-002  0.716995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2391                 NaN            NaN  0.958136E-002  0.751347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2543                 NaN            NaN  0.938512E-002  0.736272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2488                 NaN            NaN  0.939105E-002  0.741802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2553                 NaN            NaN  0.937462E-002  0.735356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2512                 NaN            NaN  0.936097E-002  0.739444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2506                 NaN            NaN  0.936363E-002  0.740019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.5132                 NaN            NaN  0.187058E-001   1.46809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.9889                 NaN            NaN            NaN  0.110849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2569                 NaN            NaN  0.921259E-002  0.733848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2537                 NaN            NaN  0.929743E-002  0.737016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2538                 NaN            NaN  0.929636E-002  0.736926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2559                 NaN            NaN  0.926830E-002  0.734840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.6015                 NaN            NaN  0.508028E-002  0.393461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.9164                 NaN            NaN  0.134251E-001   1.07015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2627                 NaN            NaN  0.922242E-002  0.728091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2653                 NaN            NaN  0.920184E-002  0.725461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2681                 NaN            NaN  0.919046E-002  0.722705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2713                 NaN            NaN  0.916305E-002  0.719520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2728                 NaN            NaN  0.918905E-002  0.717994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.0023                 NaN            NaN  0.777417E-002  0.539028       0.450943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.1142                 NaN            NaN  0.334934E-002  0.358878E-002   1.87881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.1518                 NaN            NaN  0.308640E-002            NaN   1.84509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.1815                 NaN            NaN  0.293974E-002            NaN   1.81554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.2128                 NaN            NaN  0.272909E-002            NaN   1.78452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.2432                 NaN            NaN  0.254126E-002            NaN   1.75427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2715                 NaN            NaN  0.235724E-002            NaN   1.72617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2995                 NaN            NaN  0.228010E-002            NaN   1.69823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.3292                 NaN            NaN  0.193136E-002            NaN   1.66886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3552                 NaN            NaN  0.180082E-002            NaN   1.64296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3822                 NaN            NaN  0.172127E-002            NaN   1.61606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4061                 NaN            NaN  0.147840E-002            NaN   1.59240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3972                 NaN            NaN  0.141024E-002            NaN   1.60140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.4812                 NaN            NaN  0.112458E-002            NaN   1.51769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4814                 NaN            NaN  0.100268E-002            NaN   1.51764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4981                 NaN            NaN  0.896818E-003            NaN   1.50097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.5225                 NaN            NaN  0.738947E-003            NaN   1.47678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5415                 NaN            NaN  0.537900E-003            NaN   1.45800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5619                 NaN            NaN  0.395852E-003            NaN   1.43769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5813                 NaN            NaN  0.247442E-003            NaN   1.41848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6012                 NaN            NaN  0.994741E-004            NaN   1.39870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6197                 NaN            NaN  0.434774E-003            NaN   1.37984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6385                 NaN            NaN  0.609672E-003            NaN   1.36084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6565                 NaN            NaN  0.772031E-003            NaN   1.34276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6747                 NaN            NaN            NaN            NaN   1.32527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6870                 NaN            NaN            NaN            NaN   1.31297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7069                 NaN            NaN  0.428849E-003            NaN   1.29269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7209                 NaN            NaN            NaN            NaN   1.27910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7351                 NaN            NaN            NaN            NaN   1.26487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7461                 NaN            NaN            NaN            NaN   1.25388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7663                 NaN            NaN            NaN            NaN   1.23369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7756                 NaN            NaN            NaN            NaN   1.22441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7902                 NaN            NaN            NaN            NaN   1.20978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7998                 NaN            NaN            NaN            NaN   1.20016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8118                 NaN            NaN            NaN            NaN   1.18821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7157                 NaN            NaN            NaN            NaN  0.599191       0.685065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.5757                 NaN            NaN            NaN            NaN            NaN   1.42432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.5212                 NaN            NaN  0.945658E-002            NaN            NaN   1.46935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.4892                 NaN            NaN  0.110682E-001            NaN            NaN   1.49975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.4428                 NaN            NaN  0.110177E-001            NaN            NaN   1.54620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
