|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/WD94/WD94_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1887.82        2500.00        93.9039       0.402946E-001   6.05579                 NaN            NaN            NaN            NaN
  1884.62        2500.00        93.2086       0.519188E-001   6.73947                 NaN            NaN            NaN            NaN
  1881.41        2500.00        92.5125       0.635563E-001   7.42391                 NaN            NaN            NaN            NaN
  1878.21        2500.00        91.8157       0.752070E-001   8.10908                 NaN            NaN            NaN            NaN
  1875.00        2500.00        91.1181       0.868709E-001   8.79500                 NaN            NaN            NaN            NaN
  1871.79        2500.00        90.4198       0.985478E-001   9.48166                 NaN            NaN            NaN            NaN
  1868.59        2500.00        89.7418       0.109361        10.1488                 NaN            NaN            NaN            NaN
  1865.38        2500.00        89.0631       0.120186        10.8167                 NaN            NaN            NaN            NaN
  1862.18        2500.00        88.3837       0.131023        11.4853                 NaN            NaN            NaN            NaN
  1858.97        2500.00        87.7035       0.141873        12.1546                 NaN            NaN            NaN            NaN
  1855.77        2500.00        87.0226       0.152734        12.8247                 NaN            NaN            NaN            NaN
  1852.56        2500.00        86.3410       0.163608        13.4954                 NaN            NaN            NaN            NaN
  1849.36        2500.00        85.6587       0.174493        14.1668                 NaN            NaN            NaN            NaN
  1846.15        2500.00        84.9756       0.185390        14.8390                 NaN            NaN            NaN            NaN
  1842.95        2500.00        84.3410       0.195432        15.4636                 NaN            NaN            NaN            NaN
  1839.74        2500.00        83.7058       0.205483        16.0887                 NaN            NaN            NaN            NaN
  1836.54        2500.00        83.0700       0.215545        16.7145                 NaN            NaN            NaN            NaN
  1833.33        2500.00        82.4335       0.225617        17.3409                 NaN            NaN            NaN            NaN
  1830.13        2500.00        81.7965       0.235699        17.9678                 NaN            NaN            NaN            NaN
  1826.92        2500.00        81.1588       0.245791        18.5954                 NaN            NaN            NaN            NaN
  1823.72        2500.00        80.5205       0.255894        19.2236                 NaN            NaN            NaN            NaN
  1820.51        2500.00        79.8817       0.266006        19.8523                 NaN            NaN            NaN            NaN
  1817.31        2500.00        79.2677       0.275294        20.4570                 NaN            NaN            NaN            NaN
  1814.10        2500.00        78.6532       0.284591        21.0622                 NaN            NaN            NaN            NaN
  1810.90        2500.00        78.0382       0.293896        21.6679                 NaN            NaN            NaN            NaN
  1807.69        2500.00        77.4226       0.303211        22.2742                 NaN            NaN            NaN            NaN
  1804.49        2500.00        76.8065       0.312534        22.8810                 NaN            NaN            NaN            NaN
  1801.28        2500.00        76.1898       0.321865        23.4883                 NaN            NaN            NaN            NaN
  1798.08        2500.00        75.5726       0.331206        24.0962                 NaN            NaN            NaN            NaN
  1794.87        2500.00        74.9548       0.340554        24.7046                 NaN            NaN            NaN            NaN
  1791.67        2500.00        74.3563       0.349140        25.2945                 NaN            NaN            NaN            NaN
  1788.46        2500.00        73.7573       0.357733        25.8849                 NaN            NaN            NaN            NaN
  1785.26        2500.00        73.1579       0.366334        26.4758                 NaN            NaN            NaN            NaN
  1782.05        2500.00        72.5579       0.374942        27.0672                 NaN            NaN            NaN            NaN
  1778.85        2500.00        71.9574       0.383557        27.6590                 NaN            NaN            NaN            NaN
  1775.64        2500.00        71.3565       0.392180        28.2513                 NaN            NaN            NaN            NaN
  1772.44        2500.00        70.7551       0.400810        28.8441                 NaN            NaN            NaN            NaN
  1769.23        2500.00        70.1532       0.409447        29.4374                 NaN            NaN            NaN            NaN
  1766.03        2500.00        69.5655       0.417212        30.0173                 NaN            NaN            NaN            NaN
  1762.82        2500.00        68.9773       0.424984        30.5977                 NaN            NaN            NaN            NaN
  1759.62        2500.00        68.3887       0.432761        31.1785                 NaN            NaN            NaN            NaN
  1756.41        2500.00        67.7997       0.440545        31.7598                 NaN            NaN            NaN            NaN
  1753.21        2500.00        67.2102       0.448335        32.3414                 NaN            NaN            NaN            NaN
  1750.00        2500.00        66.6203       0.456131        32.9235                 NaN            NaN            NaN            NaN
  1746.79        2500.00        66.0300       0.463932        33.5061                 NaN            NaN            NaN            NaN
  1743.59        2500.00        65.4393       0.471739        34.0890                 NaN            NaN            NaN            NaN
  1740.38        2500.00        64.8743       0.479652        34.6461                 NaN            NaN            NaN            NaN
  1737.18        2500.00        64.3089       0.487570        35.2035                 NaN            NaN            NaN            NaN
  1733.97        2500.00        63.7432       0.495494        35.7613                 NaN            NaN            NaN            NaN
  1730.77        2500.00        63.1771       0.503423        36.3195                 NaN            NaN            NaN            NaN
  1727.56        2500.00        62.6106       0.511357        36.8780                 NaN            NaN            NaN            NaN
  1724.36        2500.00        62.0438       0.519297        37.4369                 NaN            NaN            NaN            NaN
  1721.15        2500.00        61.4767       0.527242        37.9961                 NaN            NaN            NaN            NaN
  1717.95        2500.00        60.9092       0.535192        38.5556                 NaN            NaN            NaN            NaN
  1714.74        2500.00        60.3732       0.542339        39.0845                 NaN            NaN            NaN            NaN
  1711.54        2500.00        59.8368       0.549491        39.6137                 NaN            NaN            NaN            NaN
  1708.33        2500.00        59.3002       0.556647        40.1432                 NaN            NaN            NaN            NaN
  1705.13        2500.00        58.7633       0.563806        40.6729                 NaN            NaN            NaN            NaN
  1701.92        2500.00        58.2261       0.570970        41.2029                 NaN            NaN            NaN            NaN
  1698.72        2500.00        57.6887       0.578137        41.7332                 NaN            NaN            NaN            NaN
  1695.51        2500.00        57.1510       0.585309        42.2637                 NaN            NaN            NaN            NaN
  1692.31        2500.00        56.6130       0.592484        42.7945                 NaN            NaN            NaN            NaN
  1689.10        2500.00        56.1091       0.598852        43.2920                 NaN            NaN            NaN            NaN
  1685.90        2500.00        55.6051       0.605224        43.7897                 NaN            NaN            NaN            NaN
  1682.69        2500.00        55.1008       0.611598        44.2876                 NaN            NaN            NaN            NaN
  1679.49        2500.00        54.5963       0.617975        44.7857                 NaN            NaN            NaN            NaN
  1676.28        2500.00        54.0916       0.624355        45.2841                 NaN            NaN            NaN            NaN
  1673.08        2500.00        53.5867       0.630737        45.7826                 NaN            NaN            NaN            NaN
  1669.87        2500.00        53.0816       0.637122        46.2813                 NaN            NaN            NaN            NaN
  1666.67        2500.00        52.5763       0.643510        46.7802                 NaN            NaN            NaN            NaN
  1663.46        2500.00        52.0947       0.650047        47.2553                 NaN            NaN            NaN            NaN
  1660.26        2500.00        51.6129       0.656587        47.7305                 NaN            NaN            NaN            NaN
  1657.05        2500.00        50.6584       0.658645        48.1392       0.543769                 NaN            NaN            NaN
  1653.85        2500.00        49.3464       0.657582        48.3731        1.62291                 NaN            NaN            NaN
  1650.64        2500.00        48.0886       0.654950        48.6066        2.64988                 NaN            NaN            NaN
  1647.44        2500.00        46.8276       0.652309        48.8405        3.67961                 NaN            NaN            NaN
  1644.23        2500.00        45.5632       0.649660        49.0750        4.71211                 NaN            NaN            NaN
  1641.03        2500.00        44.2956       0.647002        49.3100        5.74738                 NaN            NaN            NaN
  1637.82        2500.00        43.3091       0.643552        49.4853        6.56209                 NaN            NaN            NaN
  1634.62        2500.00        42.3206       0.640093        49.6608        7.37852                 NaN            NaN            NaN
  1631.41        2500.00        41.3301       0.636625        49.8366        8.19668                 NaN            NaN            NaN
  1628.21        2500.00        40.3375       0.633149        50.0127        9.01657                 NaN            NaN            NaN
  1625.00        2500.00        39.3430       0.629665        50.1891        9.83819                 NaN            NaN            NaN
  1621.79        2500.00        38.3465       0.626172        50.3658        10.6615                 NaN            NaN            NaN
  1618.59        2500.00        37.3480       0.622671        50.5427        11.4866                 NaN            NaN            NaN
  1615.38        2500.00        36.3474       0.619161        50.7200        12.3134                 NaN            NaN            NaN
  1612.18        2500.00        35.6006       0.614946        50.8418        12.9426                 NaN            NaN            NaN
  1608.97        2500.00        34.8527       0.610722        50.9639        13.5728                 NaN            NaN            NaN
  1605.77        2500.00        34.1036       0.606491        51.0860        14.2039                 NaN            NaN            NaN
  1602.56        2500.00        33.3534       0.602253        51.2083        14.8361                 NaN            NaN            NaN
  1599.36        2500.00        32.6020       0.598007        51.3307        15.4693                 NaN            NaN            NaN
  1596.15        2500.00        31.8496       0.593754        51.4532        16.1034                 NaN            NaN            NaN
  1592.95        2500.00        31.0960       0.589492        51.5759        16.7386                 NaN            NaN            NaN
  1589.74        2500.00        30.3413       0.585224        51.6987        17.3748                 NaN            NaN            NaN
  1586.54        2500.00        29.7320       0.579885        51.7922        17.8959                 NaN            NaN            NaN
  1583.33        2500.00        29.1220       0.574539        51.8858        18.4176                 NaN            NaN            NaN
  1580.13        2500.00        28.5113       0.569185        51.9795        18.9401                 NaN            NaN            NaN
  1576.92        2500.00        27.8998       0.563824        52.0732        19.4632                 NaN            NaN            NaN
  1573.72        2500.00        27.2876       0.558455        52.1670        19.9870                 NaN            NaN            NaN
  1570.51        2500.00        26.6746       0.553078        52.2609        20.5114                 NaN            NaN            NaN
  1567.31        2500.00        26.0609       0.547693        52.3549        21.0366                 NaN            NaN            NaN
  1564.10        2500.00        25.4464       0.542301        52.4489        21.5624                 NaN            NaN            NaN
  1560.90        2500.00        24.9265       0.535869        52.5215        22.0161                 NaN            NaN            NaN
  1557.69        2500.00        24.4061       0.529429        52.5941        22.4703                 NaN            NaN            NaN
  1554.49        2500.00        23.8852       0.522981        52.6668        22.9251                 NaN            NaN            NaN
  1551.28        2500.00        23.3637       0.516526        52.7395        23.3803                 NaN            NaN            NaN
  1548.08        2500.00        22.8417       0.510062        52.8122        23.8360                 NaN            NaN            NaN
  1544.87        2500.00        22.3192       0.503591        52.8850        24.2922                 NaN            NaN            NaN
  1541.67        2500.00        21.7961       0.497113        52.9578        24.7490                 NaN            NaN            NaN
  1538.46        2500.00        21.2724       0.490626        53.0307        25.2062                 NaN            NaN            NaN
  1535.26        2500.00        20.8020       0.482493        53.0914        25.6241                 NaN            NaN            NaN
  1532.05        2500.00        20.3311       0.474351        53.1522        26.0424                 NaN            NaN            NaN
  1528.85        2500.00        19.8598       0.466199        53.2130        26.4610                 NaN            NaN            NaN
  1525.64        2500.00        19.3880       0.458040        53.2738        26.8801                 NaN            NaN            NaN
  1522.44        2500.00        18.9158       0.449871        53.3346        27.2997                 NaN            NaN            NaN
  1519.23        2500.00        18.4432       0.441693        53.3955        27.7196                 NaN            NaN            NaN
  1516.03        2500.00        17.9701       0.433507        53.4565        28.1399                 NaN            NaN            NaN
  1512.82        2500.00        17.4966       0.425311        53.5174        28.5607                 NaN            NaN            NaN
  1509.62        2500.00        17.0402       0.415810        53.5723        28.9716                 NaN            NaN            NaN
  1506.41        2500.00        16.5834       0.406298        53.6273        29.3830                 NaN            NaN            NaN
  1503.21        2500.00        16.1261       0.396776        53.6823        29.7948                 NaN            NaN            NaN
  1500.00        2500.00        15.6685       0.387244        53.7374        30.2069                 NaN            NaN            NaN
  1496.79        2500.00        15.2384       0.377542        53.7887        30.5953                 NaN            NaN            NaN
  1493.59        2500.00        14.8080       0.367830        53.8401        30.9840                 NaN            NaN            NaN
  1490.38        2500.00        14.1795       0.364522        53.9068        31.2436       0.305654                 NaN            NaN
  1487.18        2500.00        13.4775       0.367311        53.9776        31.3643       0.813284                 NaN            NaN
  1483.97        2500.00        12.9140       0.373874        54.0205        31.4514        1.24017                 NaN            NaN
  1480.77        2500.00        12.3499       0.380448        54.0635        31.5385        1.66768                 NaN            NaN
  1477.56        2500.00        11.7849       0.387033        54.1064        31.6258        2.09582                 NaN            NaN
  1474.36        2500.00        11.2193       0.393629        54.1493        31.7132        2.52458                 NaN            NaN
  1471.15        2500.00        10.6528       0.400236        54.1922        31.8007        2.95398                 NaN            NaN
  1467.95        2500.00        10.0857       0.406854        54.2352        31.8883        3.38400                 NaN            NaN
  1464.74        2500.00        9.51772       0.413483        54.2781        31.9761        3.81466                 NaN            NaN
  1461.54        2500.00        8.94903       0.420123        54.3210        32.0639        4.24593                 NaN            NaN
  1458.33        2500.00        8.51189       0.430326        54.3375        32.1261        4.59415                 NaN            NaN
  1455.13        2500.00        8.06876       0.441126        54.3558        32.1548        4.94530       0.342389E-001            NaN
  1451.92        2500.00        8.06831       0.441140        54.3560        32.1550        4.94533       0.342392E-001            NaN
  1448.72        2500.00        7.18478       0.475513        54.3648        31.8297        5.55614       0.589041                 NaN
  1445.51        2500.00        7.18438       0.475528        54.3650        31.8299        5.55616       0.589047                 NaN
  1442.31        2500.00        7.18399       0.475542        54.3651        31.8301        5.55619       0.589052                 NaN
  1439.10        2500.00        7.18360       0.475557        54.3653        31.8303        5.55622       0.589058                 NaN
  1435.90        2500.00        5.78784       0.544075        54.3299        31.4140        1.38118        6.54302                 NaN
  1432.69        2500.00        5.78755       0.544091        54.3300        31.4142        1.38119        6.54305                 NaN
  1429.49        2500.00        5.78726       0.544107        54.3301        31.4143        1.38120        6.54307                 NaN
  1426.28        2500.00        5.78696       0.544124        54.3301        31.4145        1.38121        6.54309                 NaN
  1423.08        2500.00        5.78667       0.544140        54.3302        31.4146        1.38123        6.54312                 NaN
  1419.87        2500.00        5.78637       0.544156        54.3303        31.4148        1.38124        6.54314                 NaN
  1416.67        2500.00        5.78608       0.544172        54.3304        31.4149        1.38125        6.54317                 NaN
  1413.46        2500.00        5.78578       0.544188        54.3305        31.4151        1.38126        6.54319                 NaN
  1410.26        2500.00        3.78903       0.668016        54.2302        30.9456        2.35676        8.01043                 NaN
  1407.05        2500.00        3.78887       0.668035        54.2302        30.9457        2.35677        8.01045                 NaN
  1403.85        2500.00        3.78871       0.668055        54.2302        30.9458        2.35679        8.01047                 NaN
  1400.64        2500.00        3.78854       0.668074        54.2302        30.9459        2.35681        8.01049                 NaN
  1397.44        2500.00        3.05691       0.728806        54.1489        30.8250        2.67763        8.56278                 NaN
  1394.23        2500.00        2.87017       0.737636        54.1660        30.7381        2.78898        8.62855       0.706037E-001
  1391.03        2500.00        2.68374       0.743811        54.1974        30.6375        8.67201        2.90623       0.159227     
  1387.82        2500.00        2.68365       0.743832        54.1974        30.6376        8.67202        2.90624       0.159236     
  1384.62        2500.00        2.34647       0.760349        54.2260        30.4713        8.77923        3.11175       0.304910     
  1381.41        2500.00        2.34639       0.760371        54.2259        30.4714        8.77924        3.11177       0.304928     
  1378.21        2500.00        2.34630       0.760392        54.2259        30.4715        8.77925        3.11179       0.304946     
  1375.00        2500.00        2.34622       0.760413        54.2258        30.4715        8.77927        3.11181       0.304965     
  1371.79        2500.00        2.34614       0.760434        54.2257        30.4716        8.77928        3.11183       0.304983     
  1368.59        2500.00        2.34606       0.760456        54.2256        30.4717        8.77930        3.11185       0.305002     
  1365.38        2500.00        2.34597       0.760477        54.2256        30.4718        8.77931        3.11187       0.305020     
  1362.18        2500.00        2.34589       0.760498        54.2255        30.4719        8.77932        3.11189       0.305038     
  1358.97        2500.00        1.21519       0.818359        54.3246        29.9169        3.78946        9.09886       0.836602     
  1355.77        2500.00        1.21516       0.818381        54.3245        29.9170        3.78948        9.09887       0.836651     
  1352.56        2500.00        1.21512       0.818403        54.3244        29.9170        3.78951        9.09888       0.836701     
  1349.36        2500.00        1.21509       0.818425        54.3243        29.9171        3.78953        9.09888       0.836750     
  1346.15        2500.00        1.21505       0.818447        54.3241        29.9171        3.78955        9.09889       0.836800     
  1342.95        2500.00        1.21502       0.818469        54.3240        29.9172        3.78957        9.09890       0.836849     
  1339.74        2500.00        1.21499       0.818491        54.3239        29.9173        3.78960        9.09891       0.836899     
  1336.54        2500.00        1.21495       0.818513        54.3237        29.9173        3.78962        9.09892       0.836948     
  1333.33        2500.00       0.300276       0.874801        54.3561        29.5468        9.36406        4.28768        1.27034     
  1330.13        2500.00       0.300270       0.874824        54.3559        29.5468        9.36406        4.28770        1.27041     
  1326.92        2500.00       0.906651E-001  0.888869        54.3550        29.4800        9.42852        4.39110        1.36590     
  1323.72        2500.00                 NaN  0.895100        54.3560        29.4521        9.45096        4.43387        1.41194     
  1320.51        2500.00                 NaN  0.899535        54.3628        29.4406        4.42293        9.44301        1.43108     
  1317.31        2500.00                 NaN  0.899559        54.3627        29.4406        4.42296        9.44302        1.43117     
  1314.10        2500.00                 NaN  0.899582        54.3625        29.4407        4.42298        9.44303        1.43125     
  1310.90        2500.00                 NaN  0.899606        54.3623        29.4407        4.42300        9.44303        1.43133     
  1307.69        2500.00                 NaN  0.915776        54.3949        29.3965        9.39507        4.38135        1.51648     
  1304.49        2500.00                 NaN  0.915800        54.3947        29.3965        9.39507        4.38137        1.51657     
  1301.28        2500.00                 NaN  0.915824        54.3945        29.3966        9.39508        4.38140        1.51666     
  1298.08        2500.00                 NaN  0.915848        54.3943        29.3966        9.39508        4.38142        1.51675     
  1294.87        2500.00                 NaN  0.915871        54.3941        29.3967        9.39509        4.38144        1.51683     
  1291.67        2500.00                 NaN  0.915895        54.3939        29.3967        9.39509        4.38147        1.51692     
  1288.46        2500.00                 NaN  0.915918        54.3937        29.3968        9.39510        4.38149        1.51701     
  1285.26        2500.00                 NaN  0.915942        54.3935        29.3968        9.39510        4.38152        1.51710     
  1282.05        2500.00                 NaN  0.948428        54.4551        29.3115        9.30614        4.29710        1.68173     
  1278.85        2500.00                 NaN  0.948453        54.4549        29.3116        9.30614        4.29713        1.68182     
  1275.64        2500.00                 NaN  0.948477        54.4547        29.3116        9.30615        4.29715        1.68192     
  1272.44        2500.00                 NaN  0.948501        54.4545        29.3117        9.30615        4.29718        1.68202     
  1269.23        2500.00                 NaN  0.948525        54.4543        29.3117        9.30615        4.29720        1.68211     
  1266.03        2500.00                 NaN  0.948549        54.4541        29.3118        9.30615        4.29723        1.68221     
  1262.82        2500.00                 NaN  0.948573        54.4539        29.3118        9.30616        4.29725        1.68231     
  1259.62        2500.00                 NaN  0.948597        54.4537        29.3119        9.30616        4.29728        1.68241     
  1256.41        2500.00                 NaN  0.983775        54.5034        29.2312        9.23908        4.21390        1.82859     
  1253.21        2500.00                 NaN  0.983800        54.5032        29.2313        9.23908        4.21392        1.82870     
  1250.00        2500.00                 NaN  0.983824        54.5030        29.2313        9.23908        4.21395        1.82880     
  1246.79        2500.00                 NaN  0.983849        54.5028        29.2314        9.23908        4.21397        1.82891     
  1243.59        2500.00                 NaN  0.983874        54.5026        29.2314        9.23908        4.21400        1.82901     
  1240.38        2500.00                 NaN  0.983899        54.5024        29.2315        9.23908        4.21402        1.82912     
  1237.18        2500.00                 NaN  0.983923        54.5022        29.2315        9.23908        4.21405        1.82922     
  1233.97        2500.00                 NaN  0.983948        54.5020        29.2316        9.23908        4.21407        1.82933     
  1230.77        2500.00                 NaN   1.02030        54.5453        29.1611        9.17475        4.13178        1.96677     
  1227.56        2500.00                 NaN   1.02032        54.5451        29.1612        9.17475        4.13181        1.96689     
  1224.36        2500.00                 NaN   1.02035        54.5448        29.1612        9.17475        4.13183        1.96700     
  1221.15        2500.00                 NaN   1.02038        54.5446        29.1613        9.17475        4.13186        1.96711     
  1217.95        2500.00                 NaN   1.02040        54.5444        29.1613        9.17475        4.13189        1.96723     
  1214.74        2500.00                 NaN   1.02043        54.5442        29.1614        9.17475        4.13191        1.96734     
  1211.54        2500.00                 NaN   1.02045        54.5439        29.1615        9.17474        4.13194        1.96745     
  1208.33        2500.00                 NaN   1.02048        54.5437        29.1615        9.17474        4.13196        1.96757     
  1205.13        2500.00                 NaN   1.05968        54.5736        29.1044        9.12571        4.04851        2.08808     
  1201.92        2500.00                 NaN   1.05971        54.5734        29.1045        9.12571        4.04854        2.08820     
  1198.72        2500.00                 NaN   1.05973        54.5732        29.1045        9.12571        4.04857        2.08832     
  1195.51        2500.00                 NaN   1.05976        54.5729        29.1046        9.12570        4.04859        2.08844     
  1192.31        2500.00                 NaN   1.05978        54.5727        29.1046        9.12570        4.04862        2.08856     
  1189.10        2500.00                 NaN   1.05981        54.5725        29.1047        9.12570        4.04864        2.08868     
  1185.90        2500.00                 NaN   1.05984        54.5722        29.1048        9.12569        4.04867        2.08880     
  1182.69        2500.00                 NaN   1.05986        54.5720        29.1048        9.12569        4.04870        2.08892     
  1179.49        2500.00                 NaN   1.10084        54.5959        29.0581        9.08281        3.96360        2.19882     
  1176.28        2500.00                 NaN   1.10087        54.5956        29.0581        9.08281        3.96363        2.19894     
  1173.08        2500.00                 NaN   1.10090        54.5954        29.0582        9.08280        3.96365        2.19907     
  1169.87        2500.00                 NaN   1.10092        54.5951        29.0583        9.08280        3.96368        2.19919     
  1166.67        2500.00                 NaN   1.10095        54.5949        29.0583        9.08279        3.96371        2.19932     
  1163.46        2500.00                 NaN   1.10098        54.5947        29.0584        9.08279        3.96373        2.19944     
  1160.26        2500.00                 NaN   1.10100        54.5944        29.0585        9.08278        3.96376        2.19957     
  1157.05        2500.00                 NaN   1.10103        54.5942        29.0585        9.08278        3.96379        2.19970     
  1153.85        2500.00                 NaN   1.14376        54.6124        29.0180        9.04609        3.88210        2.29762     
  1150.64        2500.00                 NaN   1.14379        54.6122        29.0181        9.04608        3.88212        2.29775     
  1147.44        2500.00                 NaN   1.14382        54.6119        29.0181        9.04608        3.88215        2.29788     
  1144.23        2500.00                 NaN   1.14384        54.6117        29.0182        9.04607        3.88218        2.29801     
  1141.03        2500.00                 NaN   1.14387        54.6114        29.0183        9.04607        3.88220        2.29815     
  1137.82        2500.00                 NaN   1.14390        54.6112        29.0183        9.04606        3.88223        2.29828     
  1134.62        2500.00                 NaN   1.14393        54.6110        29.0184        9.04605        3.88226        2.29841     
  1131.41        2500.00                 NaN   1.14395        54.6107        29.0185        9.04605        3.88229        2.29854     
  1128.21        2500.00                 NaN   1.19108        54.6124        29.0017        9.02664        3.79042        2.37771     
  1125.00        2500.00                 NaN   1.19111        54.6122        29.0018        9.02663        3.79045        2.37784     
  1121.79        2500.00                 NaN   1.19114        54.6119        29.0019        9.02662        3.79048        2.37798     
  1118.59        2500.00                 NaN   1.19117        54.6117        29.0019        9.02661        3.79050        2.37811     
  1115.38        2500.00                 NaN   1.19120        54.6114        29.0020        9.02661        3.79053        2.37825     
  1112.18        2500.00                 NaN   1.19123        54.6112        29.0021        9.02660        3.79056        2.37838     
  1108.97        2500.00                 NaN   1.19126        54.6109        29.0021        9.02659        3.79059        2.37852     
  1105.77        2500.00                 NaN   1.19128        54.6106        29.0022        9.02658        3.79061        2.37865     
  1102.56        2500.00                 NaN   1.24129        54.6054        28.9939        9.00591        3.70459        2.44890     
  1099.36        2500.00                 NaN   1.24132        54.6052        28.9940        9.00590        3.70462        2.44904     
  1096.15        2500.00                 NaN   1.24135        54.6049        28.9940        9.00589        3.70464        2.44918     
  1092.95        2500.00                 NaN   1.24138        54.6046        28.9941        9.00588        3.70467        2.44931     
  1089.74        2500.00                 NaN   1.24140        54.6044        28.9942        9.00587        3.70470        2.44945     
  1086.54        2500.00                 NaN   1.24143        54.6041        28.9943        9.00586        3.70473        2.44959     
  1083.33        2500.00                 NaN   1.24146        54.6039        28.9943        9.00585        3.70475        2.44973     
  1080.13        2500.00                 NaN   1.24149        54.6036        28.9944        9.00584        3.70478        2.44987     
  1076.92        2500.00                 NaN   1.29485        54.5886        29.0007        8.99221        3.61620        2.50744     
  1073.72        2500.00                 NaN   1.29488        54.5883        29.0008        8.99220        3.61622        2.50758     
  1070.51        2500.00                 NaN   1.29491        54.5881        29.0009        8.99219        3.61625        2.50772     
  1067.31        2500.00                 NaN   1.29494        54.5878        29.0009        8.99218        3.61628        2.50787     
  1064.10        2500.00                 NaN   1.29497        54.5875        29.0010        8.99217        3.61631        2.50801     
  1060.90        2500.00                 NaN   1.29500        54.5873        29.0011        8.99216        3.61634        2.50815     
  1057.69        2500.00                 NaN   1.29503        54.5870        29.0012        8.99215        3.61637        2.50829     
  1054.49        2500.00                 NaN   1.29506        54.5867        29.0013        8.99214        3.61639        2.50843     
  1051.28        2500.00                 NaN   1.35396        54.5556        29.0273        8.99600        3.52413        2.54303     
  1048.08        2500.00                 NaN   1.35399        54.5553        29.0273        8.99599        3.52415        2.54318     
  1044.87        2500.00                 NaN   1.35402        54.5551        29.0274        8.99598        3.52418        2.54332     
  1041.67        2500.00                 NaN   1.35405        54.5548        29.0275        8.99597        3.52421        2.54346     
  1038.46        2500.00                 NaN   1.35409        54.5545        29.0276        8.99596        3.52424        2.54361     
  1035.26        2500.00                 NaN   1.35412        54.5542        29.0277        8.99595        3.52427        2.54375     
  1032.05        2500.00                 NaN   1.35415        54.5540        29.0278        8.99594        3.52430        2.54389     
  1028.85        2500.00                 NaN   1.35418        54.5537        29.0278        8.99593        3.52433        2.54404     
  1025.64        2500.00                 NaN   1.41652        54.5183        29.0625        8.98985        3.43711        2.57568     
