|6.6.6
Archiving\03_Data\frac/QFM_m0.25/TAY13/TAY13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1914.79        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.7620       0.237998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4090       0.591013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4079       0.592118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4104       0.589587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4135       0.586544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4168       0.583165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4214       0.578570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4181       0.579489                 NaN  0.239650E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4227       0.567411                 NaN  0.985878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4209       0.569155                 NaN  0.991431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4250       0.565094                 NaN  0.986226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4276       0.562559                 NaN  0.983832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4297       0.560481                 NaN  0.979266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4320       0.558210                 NaN  0.977644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4319       0.558332                 NaN  0.980671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4412       0.549183                 NaN  0.963758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4404       0.549886                 NaN  0.966838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4372       0.553039                 NaN  0.976562E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4489       0.541555                 NaN  0.953234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4468       0.543659                 NaN  0.958689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4485       0.541902                 NaN  0.955801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4500       0.540471                 NaN  0.952969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4523       0.538194                 NaN  0.948735E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4501       0.540385                 NaN  0.955101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4579       0.532683                 NaN  0.938333E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4410       0.549314                 NaN  0.971091E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4723       0.518605                 NaN  0.906131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4580       0.532586                 NaN  0.937397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4601       0.530579                 NaN  0.933436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4603       0.530409                 NaN  0.933057E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4614       0.529269                 NaN  0.930163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4632       0.527532                 NaN  0.925904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4649       0.525928                 NaN  0.921231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4633       0.527461                 NaN  0.922113E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4659       0.524970                 NaN  0.915541E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4651       0.525710                 NaN  0.915797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4665       0.524364                 NaN  0.911087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4652       0.525653                 NaN  0.912168E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4669       0.524025                 NaN  0.905225E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4661       0.524796                 NaN  0.905789E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4658       0.525180                 NaN  0.902861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4659       0.525145                 NaN  0.900184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4669       0.524122                 NaN  0.895987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4661       0.524981                 NaN  0.895361E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4643       0.526767                 NaN  0.896081E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4656       0.525504                 NaN  0.889005E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4638       0.527249                 NaN  0.890540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4654       0.525815                 NaN  0.883394E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4627       0.528429                 NaN  0.885153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4627       0.528518                 NaN  0.881904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4588       0.532374                 NaN  0.884534E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4632       0.528028                 NaN  0.873032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4602       0.531089                 NaN  0.875334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4585       0.532750                 NaN  0.872985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4570       0.534248                 NaN  0.872340E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4560       0.535345                 NaN  0.869482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4580       0.533352                 NaN  0.863251E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4498       0.541462                 NaN  0.872073E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4519       0.539437                 NaN  0.863113E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4503       0.541100                 NaN  0.860850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5131       0.479321                 NaN  0.760772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3816       0.608832                 NaN  0.957499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4402       0.551124                 NaN  0.863866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4482       0.543395                 NaN  0.845463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4407       0.550799                 NaN  0.853239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.6474       0.347227                 NaN  0.534890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        98.8481        1.13445                 NaN  0.174316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.6429       0.351862                 NaN  0.527492E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.6999       0.295588                 NaN  0.446293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3387       0.651465                 NaN  0.979981E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4309       0.560676                 NaN  0.838811E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4190       0.572495                 NaN  0.855443E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4388       0.553007                 NaN  0.817403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4169       0.574699                 NaN  0.844143E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4209       0.570767                 NaN  0.833997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4178       0.573883                 NaN  0.833619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4158       0.575885                 NaN  0.830182E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.8008       0.196366                 NaN  0.279933E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.0219       0.964253                 NaN  0.137979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4102       0.581584                 NaN  0.825672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4065       0.585220                 NaN  0.825552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4063       0.585442                 NaN  0.821536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4020       0.589754                 NaN  0.822419E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4003       0.591530                 NaN  0.820537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3994       0.592402                 NaN  0.816021E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3955       0.596360                 NaN  0.817660E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3939       0.597984                 NaN  0.813910E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3950       0.596895                 NaN  0.809110E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3909       0.600952                 NaN  0.811277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3889       0.602963                 NaN  0.810116E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3831       0.608796                 NaN  0.811759E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3916       0.600384                 NaN  0.797489E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3854       0.606615                 NaN  0.802815E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3822       0.609719                 NaN  0.804035E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3801       0.611828                 NaN  0.802614E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3841       0.607944                 NaN  0.794234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3812       0.610872                 NaN  0.794893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3794       0.612710                 NaN  0.793960E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3778       0.614297                 NaN  0.793117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3789       0.613171                 NaN  0.788909E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3774       0.614770                 NaN  0.787392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3774       0.614732                 NaN  0.786639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3786       0.613627                 NaN  0.781758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3778       0.614355                 NaN  0.780884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3777       0.614536                 NaN  0.778414E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3753       0.616949                 NaN  0.778043E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3818       0.610540                 NaN  0.769475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3766       0.615654                 NaN  0.773952E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3827       0.609701                 NaN  0.764868E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.3824       0.609992                 NaN  0.764522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3800       0.612359                 NaN  0.765764E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.3854       0.607053                 NaN  0.757100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3850       0.607444                 NaN  0.757129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3865       0.605992                 NaN  0.753680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.3854       0.607089                 NaN  0.755475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.3693       0.588663                 NaN  0.708413E-002            NaN  0.349119E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7052       0.255737                 NaN            NaN            NaN   1.03906                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6474       0.211924                 NaN            NaN            NaN   1.14070                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6701       0.208259                 NaN            NaN            NaN   1.12165                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6887       0.203844                 NaN            NaN            NaN   1.10743                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7184       0.199308                 NaN            NaN            NaN   1.08226                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7345       0.194341                 NaN            NaN            NaN   1.07117                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7540       0.192779                 NaN            NaN            NaN   1.05326                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7801       0.187414                 NaN            NaN            NaN   1.03245                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7913       0.183120                 NaN            NaN            NaN   1.02557                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8172       0.180051                 NaN            NaN            NaN   1.00273                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8354       0.177686                 NaN            NaN            NaN  0.986891                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8526       0.173138                 NaN            NaN            NaN  0.974255                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8712       0.170332                 NaN            NaN            NaN  0.958516                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8859       0.167207                 NaN            NaN            NaN  0.946848                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9054       0.164161                 NaN            NaN            NaN  0.930452                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9210       0.160344                 NaN            NaN            NaN  0.918657                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9316       0.155214                 NaN            NaN            NaN  0.913156                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9541       0.154073                 NaN            NaN            NaN  0.891778                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9677       0.151799                 NaN            NaN            NaN  0.880537                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9826       0.149492                 NaN            NaN            NaN  0.867874                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9964       0.146107                 NaN            NaN            NaN  0.857509                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0098       0.142968                 NaN            NaN            NaN  0.847186                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0237       0.140079                 NaN            NaN            NaN  0.836232                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0360       0.136204                 NaN            NaN            NaN  0.827798                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0492       0.134003                 NaN            NaN            NaN  0.816805                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0626       0.131916                 NaN            NaN            NaN  0.805464                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0680       0.126835                 NaN            NaN            NaN  0.805172                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0915       0.125325                 NaN            NaN            NaN  0.783212                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0990       0.124709                 NaN            NaN            NaN  0.776335                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1091       0.121339                 NaN            NaN            NaN  0.769592                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1225       0.119486                 NaN            NaN            NaN  0.758053                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1307       0.115391                 NaN            NaN            NaN  0.753884                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1431       0.113744                 NaN            NaN            NaN  0.743138                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1532       0.111476                 NaN            NaN            NaN  0.735370                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1624       0.107546                 NaN            NaN            NaN  0.730049                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.1692       0.107278                 NaN            NaN            NaN  0.723548                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.1843       0.102274                 NaN            NaN            NaN  0.713398                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.1885       0.104087                 NaN            NaN            NaN  0.707398                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.2006       0.956468E-001            NaN            NaN            NaN  0.703788                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.2095       0.962812E-001            NaN            NaN            NaN  0.694242                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.2146       0.936397E-001            NaN            NaN            NaN  0.691734                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.2271       0.842910E-001            NaN            NaN            NaN  0.688614                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.2335       0.950382E-001            NaN            NaN            NaN  0.671456                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.2384       0.840732E-001            NaN            NaN            NaN  0.677532                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.2529       0.854198E-001            NaN            NaN            NaN  0.661692                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.2572       0.842287E-001            NaN            NaN            NaN  0.658590                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.2680       0.828686E-001            NaN            NaN            NaN  0.649100                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        99.2687       0.860473E-001            NaN            NaN            NaN  0.645212                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.2853       0.770143E-001            NaN            NaN            NaN  0.637662                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.2885       0.776111E-001            NaN            NaN            NaN  0.633913                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.2931       0.698085E-001            NaN            NaN            NaN  0.637094                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        99.2973       0.685090E-001            NaN            NaN            NaN  0.634163                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        99.3058       0.687254E-001            NaN            NaN            NaN  0.625464                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        99.3095       0.636221E-001            NaN            NaN            NaN  0.626867                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        99.3156       0.608407E-001            NaN            NaN            NaN  0.623601                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        99.3207       0.590989E-001            NaN            NaN            NaN  0.620201                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.3264       0.581371E-001            NaN            NaN            NaN  0.615504                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.3318       0.549180E-001            NaN            NaN            NaN  0.613318                 NaN            NaN            NaN            NaN            NaN            NaN
