|6.6.6
Archiving\03_Data\frac/QFM_m0.5/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          mang           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1964.91        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.8354                 NaN  0.164645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.4018                 NaN  0.598226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4049                 NaN  0.595089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4082                 NaN  0.591750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3963                 NaN  0.603670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4319                 NaN  0.568111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4190                 NaN  0.580976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4134                 NaN  0.575296                 NaN  0.113389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4121                 NaN  0.572394                 NaN  0.155067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.6544                 NaN  0.336343                 NaN  0.923812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.1805                 NaN  0.797955                 NaN  0.215397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4213                 NaN  0.563331                 NaN  0.153438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4249                 NaN  0.559854                 NaN  0.152554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4256                 NaN  0.559100                 NaN  0.152926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4314                 NaN  0.553501                 NaN  0.151325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4329                 NaN  0.551980                 NaN  0.151228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4331                 NaN  0.551757                 NaN  0.151262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4379                 NaN  0.547067                 NaN  0.150502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4418                 NaN  0.543288                 NaN  0.149138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4382                 NaN  0.546761                 NaN  0.150277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4465                 NaN  0.538711                 NaN  0.148254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4453                 NaN  0.539805                 NaN  0.148854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4484                 NaN  0.536783                 NaN  0.147799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.1975                 NaN  0.780959                 NaN  0.215648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.7044                 NaN  0.287714                 NaN  0.788758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4525                 NaN  0.532790                 NaN  0.146634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4551                 NaN  0.530335                 NaN  0.146130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4565                 NaN  0.528905                 NaN  0.145744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4577                 NaN  0.527739                 NaN  0.145404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.6479                 NaN  0.342624                 NaN  0.942899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.2703                 NaN  0.710177                 NaN  0.194804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4593                 NaN  0.526187                 NaN  0.144845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4645                 NaN  0.521172                 NaN  0.142950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4629                 NaN  0.522740                 NaN  0.143268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4639                 NaN  0.521758                 NaN  0.142950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4604                 NaN  0.525253                 NaN  0.143880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4688                 NaN  0.517071                 NaN  0.140806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4656                 NaN  0.520256                 NaN  0.141833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4665                 NaN  0.519334                 NaN  0.141214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4666                 NaN  0.519348                 NaN  0.140963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4671                 NaN  0.518861                 NaN  0.140552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5033                 NaN  0.483672                 NaN  0.130717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4309                 NaN  0.554148                 NaN  0.149194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4683                 NaN  0.517774                 NaN  0.139092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4669                 NaN  0.519189                 NaN  0.139273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5798                 NaN  0.409284                 NaN  0.109304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3551                 NaN  0.628083                 NaN  0.167736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4673                 NaN  0.518908                 NaN  0.137830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4666                 NaN  0.519622                 NaN  0.137587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4647                 NaN  0.521520                 NaN  0.137766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4670                 NaN  0.519315                 NaN  0.136351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4647                 NaN  0.521631                 NaN  0.136543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4642                 NaN  0.522201                 NaN  0.136285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4634                 NaN  0.523026                 NaN  0.135861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4608                 NaN  0.525620                 NaN  0.136063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4623                 NaN  0.524160                 NaN  0.135054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4605                 NaN  0.526000                 NaN  0.134936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4602                 NaN  0.526321                 NaN  0.134416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4575                 NaN  0.529020                 NaN  0.134470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        98.8522                 NaN   1.11950                 NaN  0.283122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.9983                 NaN            NaN            NaN  0.166823E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5241                 NaN  0.465950                 NaN  0.999281E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.2387                 NaN  0.742811                 NaN  0.184871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.6617                 NaN  0.330000                 NaN  0.826797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4515                 NaN  0.535312                 NaN  0.132176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5116                 NaN  0.476637                 NaN  0.117456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3839                 NaN  0.601457                 NaN  0.146887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4455                 NaN  0.541353                 NaN  0.131455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4437                 NaN  0.543212                 NaN  0.131260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4636                 NaN  0.523815                 NaN  0.125865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4166                 NaN  0.569793                 NaN  0.136038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4375                 NaN  0.549435                 NaN  0.130300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.0062                 NaN  0.970305                 NaN  0.234666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.8626                 NaN  0.135016                 NaN  0.241615E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4319                 NaN  0.555144                 NaN  0.129549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4286                 NaN  0.558416                 NaN  0.129645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2143                 NaN  0.767949                 NaN  0.177463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.6400                 NaN  0.351933                 NaN  0.806551E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.8981                 NaN  0.996544E-001            NaN  0.225247E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        98.9464                 NaN   1.03018                 NaN  0.234145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4178                 NaN  0.569366                 NaN  0.128335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4096                 NaN  0.577470                 NaN  0.129502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4207                 NaN  0.566702                 NaN  0.126264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4123                 NaN  0.574926                 NaN  0.127299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        97.3999       0.408565E-001   2.50594                 NaN  0.532903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.9993                 NaN            NaN            NaN  0.714029E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.5064                 NaN  0.483968                 NaN  0.961595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4084                 NaN  0.579175                 NaN  0.124489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3899                 NaN  0.597308                 NaN  0.127504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3986                 NaN  0.588884                 NaN  0.125176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3949                 NaN  0.592585                 NaN  0.125077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3962                 NaN  0.591402                 NaN  0.124437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3851                 NaN  0.602347                 NaN  0.125969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3912                 NaN  0.596315                 NaN  0.124523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3892                 NaN  0.598379                 NaN  0.124034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3863                 NaN  0.601346                 NaN  0.124033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3850                 NaN  0.602639                 NaN  0.123986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3830                 NaN  0.604655                 NaN  0.123417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3835                 NaN  0.604171                 NaN  0.123205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3813                 NaN  0.606416                 NaN  0.122973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3792                 NaN  0.608514                 NaN  0.122838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3792                 NaN  0.608575                 NaN  0.122393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3779                 NaN  0.609841                 NaN  0.122303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3537                 NaN  0.633611                 NaN  0.126497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3981                 NaN  0.590219                 NaN  0.116990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3774                 NaN  0.610438                 NaN  0.121173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.1917                 NaN   1.04862                 NaN  0.138665E-001  0.745848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.9768                 NaN  0.229024E-005            NaN            NaN  0.232109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.3688                 NaN  0.198152                 NaN            NaN   1.43302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.7316                 NaN  0.338531E-001            NaN  0.153429E-002  0.232976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        96.9585                 NaN  0.368012                 NaN            NaN   2.67345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.2862                 NaN  0.204845                 NaN            NaN   1.50896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4981                 NaN  0.180258                 NaN            NaN   1.32167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4287                 NaN  0.185389                 NaN            NaN   1.38587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4696                 NaN  0.184156                 NaN            NaN   1.34623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.2794                 NaN  0.195704                 NaN            NaN   1.52486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7192                 NaN  0.149488                 NaN            NaN   1.13131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5372                 NaN  0.171729                 NaN            NaN   1.29104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5666                 NaN  0.165872                 NaN            NaN   1.26755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5885                 NaN  0.162554                 NaN            NaN   1.24892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6114                 NaN  0.159453                 NaN            NaN   1.22916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6347                 NaN  0.155072                 NaN            NaN   1.21025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.6516                 NaN  0.149899                 NaN            NaN   1.19852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6789                 NaN  0.148741                 NaN            NaN   1.17240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.6910                 NaN  0.147288                 NaN            NaN   1.16172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7234                 NaN  0.140628                 NaN            NaN   1.13595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7371                 NaN  0.138464                 NaN            NaN   1.12441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7564                 NaN  0.135803                 NaN            NaN   1.10781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7746                 NaN  0.131874                 NaN            NaN   1.09350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7921                 NaN  0.129405                 NaN            NaN   1.07854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8103                 NaN  0.125678                 NaN            NaN   1.06406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8271                 NaN  0.122984                 NaN            NaN   1.04988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8445                 NaN  0.120875                 NaN            NaN   1.03462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8571                 NaN  0.113493                 NaN            NaN   1.02938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8700                 NaN  0.116182                 NaN            NaN   1.01377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9010                 NaN  0.109229                 NaN            NaN  0.989776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9043                 NaN  0.107815                 NaN            NaN  0.987841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9227                 NaN  0.105526                 NaN            NaN  0.971760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9345                 NaN  0.101093                 NaN            NaN  0.964422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9493                 NaN  0.987636E-001            NaN            NaN  0.951947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.4641                 NaN  0.177876E-001            NaN            NaN  0.518092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.7311                 NaN  0.580620E-001            NaN            NaN  0.210802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        97.7282                 NaN  0.201173                 NaN            NaN   2.07060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0018                 NaN  0.896241E-001            NaN            NaN  0.908596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0122                 NaN  0.845239E-001            NaN            NaN  0.903246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0245                 NaN  0.829286E-001            NaN            NaN  0.892607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0372                 NaN  0.808026E-001            NaN            NaN  0.882009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.8856                 NaN  0.908043E-001            NaN            NaN   1.02359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.2235                 NaN  0.591681E-001            NaN            NaN  0.717294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.0672                 NaN  0.703275E-001            NaN            NaN  0.862502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.0765                 NaN  0.672688E-001            NaN            NaN  0.856209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.0908                 NaN  0.656501E-001            NaN            NaN  0.843530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.1012                 NaN  0.666747E-001            NaN            NaN  0.832132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.1090                 NaN  0.615860E-001            NaN            NaN  0.829397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.1176                 NaN  0.567077E-001            NaN            NaN  0.825721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.1261                 NaN  0.565871E-001            NaN            NaN  0.817295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.1377                 NaN  0.542887E-001            NaN            NaN  0.807993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.1456                 NaN  0.526222E-001            NaN            NaN  0.801747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.1532                 NaN  0.483824E-001            NaN            NaN  0.798368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
