|6.6.6
Archiving\03_Data\DfracLP/QFM_m0.75/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.9990                 NaN            NaN            NaN            NaN  0.994836E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.7466                 NaN            NaN            NaN  0.253385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.3422                 NaN            NaN            NaN  0.657845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3470                 NaN            NaN            NaN  0.652986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3536                 NaN            NaN            NaN  0.646428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3577                 NaN            NaN            NaN  0.642254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3643                 NaN            NaN            NaN  0.635740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3352                 NaN            NaN            NaN  0.664804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.4083                 NaN            NaN            NaN  0.591697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3795                 NaN            NaN            NaN  0.620500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3831                 NaN            NaN            NaN  0.615721       0.122710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3851                 NaN            NaN            NaN  0.609029       0.582832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3802                 NaN            NaN            NaN  0.604087       0.157618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3850                 NaN            NaN            NaN  0.599348       0.156667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3904                 NaN            NaN            NaN  0.594024       0.155793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3239                 NaN            NaN            NaN  0.658677       0.174048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4687                 NaN            NaN            NaN  0.517621       0.136992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3586                 NaN            NaN            NaN  0.625944       0.154128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4498                 NaN            NaN            NaN  0.534763       0.154079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4092                 NaN            NaN            NaN  0.575423       0.153552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4134                 NaN            NaN            NaN  0.571280       0.153051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4156                 NaN            NaN            NaN  0.569110       0.152721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4206                 NaN            NaN            NaN  0.564212       0.151703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1129       0.214026E-001  0.305361E-005  0.837594E-001  0.762692       0.113513E-001  0.794129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.7077                 NaN            NaN            NaN  0.285673       0.659098E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.2400                 NaN            NaN            NaN  0.739945       0.200266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4307                 NaN            NaN            NaN  0.554258       0.150614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.2736                 NaN            NaN            NaN  0.707110       0.192519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.8376                 NaN            NaN            NaN  0.158077       0.428853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.2045                 NaN            NaN            NaN  0.774387       0.211220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4428                 NaN            NaN            NaN  0.542330       0.148904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3380                 NaN            NaN            NaN  0.644325       0.176648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5879                 NaN            NaN            NaN  0.401118       0.109814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4172                 NaN            NaN            NaN  0.567203       0.155733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.0360                 NaN            NaN            NaN  0.938083       0.259262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.8751                 NaN            NaN            NaN  0.121646       0.326261E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4540                 NaN            NaN            NaN  0.531358       0.146166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4573                 NaN            NaN            NaN  0.528193       0.145348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4576                 NaN            NaN            NaN  0.527815       0.145428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4601                 NaN            NaN            NaN  0.525474       0.144664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4606                 NaN            NaN            NaN  0.524978       0.144522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4606                 NaN            NaN            NaN  0.524915       0.144433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4621                 NaN            NaN            NaN  0.523507       0.144019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4646                 NaN            NaN            NaN  0.521085       0.143043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4628                 NaN            NaN            NaN  0.522808       0.143718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4664                 NaN            NaN            NaN  0.519408       0.142244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4648                 NaN            NaN            NaN  0.520904       0.142701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4644                 NaN            NaN            NaN  0.521347       0.142627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4673                 NaN            NaN            NaN  0.518518       0.141363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4607                 NaN            NaN            NaN  0.524877       0.143838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4709                 NaN            NaN            NaN  0.515154       0.139509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4668                 NaN            NaN            NaN  0.519091       0.140730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4654                 NaN            NaN            NaN  0.520477       0.141002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4659                 NaN            NaN            NaN  0.520031       0.140460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4652                 NaN            NaN            NaN  0.520745       0.140066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.2447                 NaN            NaN            NaN  0.735197       0.200926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.6842                 NaN            NaN            NaN  0.307853       0.798409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4631                 NaN            NaN            NaN  0.522969       0.139366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4619                 NaN            NaN            NaN  0.524202       0.139240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4606                 NaN            NaN            NaN  0.525545       0.139022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4600                 NaN            NaN            NaN  0.526150       0.138569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        98.4980                 NaN            NaN            NaN   1.46428       0.376911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.9999                 NaN            NaN            NaN  0.101031E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4908                 NaN            NaN            NaN  0.494627       0.145595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.9536                 NaN            NaN            NaN  0.464400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3257                 NaN            NaN            NaN  0.657783       0.165635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4499                 NaN            NaN            NaN  0.536324       0.137536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4481                 NaN            NaN            NaN  0.538203       0.137293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4451                 NaN            NaN            NaN  0.541154       0.137286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4383                 NaN            NaN            NaN  0.547889       0.138562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        98.5812                 NaN            NaN            NaN   1.38381       0.349453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.9619                 NaN            NaN            NaN  0.380578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.8103                 NaN            NaN            NaN  0.184644       0.500993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4091                 NaN            NaN            NaN  0.576665       0.142327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4304                 NaN            NaN            NaN  0.555985       0.136278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1138                 NaN            NaN            NaN  0.865101       0.211376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.8011                 NaN            NaN            NaN  0.194113       0.481777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3627                 NaN            NaN            NaN  0.622457       0.148677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4184                 NaN            NaN            NaN  0.567974       0.135783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4157                 NaN            NaN            NaN  0.570728       0.135740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4141                 NaN            NaN            NaN  0.572358       0.134935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4088                 NaN            NaN            NaN  0.577680       0.135228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4041                 NaN            NaN            NaN  0.582318       0.135757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4031                 NaN            NaN            NaN  0.583381       0.134731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4666                 NaN            NaN            NaN  0.521426       0.120027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3244                 NaN            NaN            NaN  0.660590       0.150417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3921                 NaN            NaN            NaN  0.594424       0.134647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3867                 NaN            NaN            NaN  0.599830       0.134805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3960                 NaN            NaN            NaN  0.590773       0.131996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3663                 NaN            NaN            NaN  0.619964       0.137500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3740                 NaN            NaN            NaN  0.612564       0.134801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3712                 NaN            NaN            NaN  0.615371       0.134507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3701                 NaN            NaN            NaN  0.616484       0.133738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        98.3048       0.264256E-001            NaN            NaN   1.63454       0.341971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2538                 NaN            NaN            NaN  0.730420       0.157802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8106                 NaN            NaN            NaN  0.185468       0.391439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3218                 NaN            NaN            NaN  0.664300       0.139297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3464                 NaN            NaN            NaN  0.640197       0.133746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3414                 NaN            NaN            NaN  0.645234       0.133913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3365                 NaN            NaN            NaN  0.650118       0.134098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3325                 NaN            NaN            NaN  0.654104       0.134023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3295                 NaN            NaN            NaN  0.657098       0.133890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3251                 NaN            NaN            NaN  0.661474       0.133818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3348                 NaN            NaN            NaN  0.652094       0.131454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.7191                 NaN            NaN            NaN  0.275314       0.554114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        98.8993                 NaN            NaN            NaN   1.07916       0.215005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3170                 NaN            NaN            NaN  0.669693       0.132580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3070                 NaN            NaN            NaN  0.679650       0.133720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4069                 NaN            NaN            NaN  0.581681       0.113966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.0273                 NaN            NaN            NaN  0.953511       0.192016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.4876                 NaN            NaN            NaN  0.502771       0.960604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2814                 NaN            NaN            NaN  0.704988       0.136538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3094                 NaN            NaN            NaN  0.677563       0.130218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2921                 NaN            NaN            NaN  0.694590       0.133060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2870                 NaN            NaN            NaN  0.699649       0.133617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2897                 NaN            NaN            NaN  0.697002       0.132551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2849                 NaN            NaN            NaN  0.701804       0.132993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2828                 NaN            NaN            NaN  0.703876       0.133032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2840                 NaN            NaN            NaN  0.702800       0.132455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2796                 NaN            NaN            NaN  0.707120       0.132888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2806                 NaN            NaN            NaN  0.706173       0.132305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2786                 NaN            NaN            NaN  0.708215       0.132331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2778                 NaN            NaN            NaN  0.708995       0.132224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.1404                 NaN            NaN            NaN  0.844456       0.151274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4039                 NaN            NaN            NaN  0.585051       0.110608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2794                 NaN            NaN            NaN  0.707458       0.131391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2773                 NaN            NaN            NaN  0.709509       0.131589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2772                 NaN            NaN            NaN  0.709652       0.131547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.5690                 NaN            NaN            NaN  0.423124       0.782749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.7790                 NaN            NaN            NaN  0.881731       0.135663E-001            NaN  0.325718                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.1596                 NaN            NaN            NaN  0.113949       0.164117E-002            NaN   1.72484                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        97.9848                 NaN            NaN            NaN  0.109766                 NaN            NaN   1.90547                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.4205                 NaN            NaN            NaN  0.876997E-001            NaN            NaN   1.49180                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2525                 NaN            NaN            NaN  0.954537E-001            NaN            NaN   1.65204                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.2812                 NaN            NaN            NaN  0.951296E-001            NaN            NaN   1.62366                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3201                 NaN            NaN            NaN  0.883379E-001            NaN            NaN   1.59155                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3429                 NaN            NaN            NaN  0.857077E-001            NaN            NaN   1.57137                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.3699                 NaN            NaN            NaN  0.802169E-001            NaN            NaN   1.54984                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4040                 NaN            NaN            NaN  0.811754E-001            NaN            NaN   1.51484                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4280                 NaN            NaN            NaN  0.745607E-001            NaN            NaN   1.49742                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.7394                 NaN            NaN            NaN  0.617927E-001            NaN            NaN   1.19876                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.9131                 NaN            NaN            NaN  0.869371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        96.7966                 NaN            NaN            NaN  0.563781E-001            NaN            NaN   3.14705                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5078                 NaN            NaN            NaN  0.643871E-001            NaN            NaN   1.42781                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5770                 NaN            NaN            NaN  0.550798E-001            NaN            NaN   1.36792                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5688                 NaN            NaN            NaN  0.503149E-001            NaN            NaN   1.38088                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5982                 NaN            NaN            NaN  0.524103E-001            NaN            NaN   1.34934                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6158                 NaN            NaN            NaN  0.482431E-001            NaN            NaN   1.33592                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6389                 NaN            NaN            NaN  0.467233E-001            NaN            NaN   1.31439                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6573                 NaN            NaN            NaN  0.427539E-001            NaN            NaN   1.29996                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6752                 NaN            NaN            NaN  0.380933E-001            NaN            NaN   1.28671                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6924                 NaN            NaN            NaN  0.328980E-001            NaN            NaN   1.27470                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7131                 NaN            NaN            NaN  0.317366E-001            NaN            NaN   1.25518                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7325                 NaN            NaN            NaN  0.300097E-001            NaN            NaN   1.23750                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7330                 NaN            NaN            NaN  0.222219E-001            NaN            NaN   1.24481                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7785                 NaN            NaN            NaN  0.255468E-001            NaN            NaN   1.19592                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7798                 NaN            NaN            NaN  0.181978E-001            NaN            NaN   1.20200                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7977                 NaN            NaN            NaN  0.184358E-001            NaN            NaN   1.18387                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8120                 NaN            NaN            NaN  0.153643E-001            NaN            NaN   1.17262                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8272                 NaN            NaN            NaN  0.107028E-001            NaN            NaN   1.16211                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8411                 NaN            NaN            NaN  0.742957E-002            NaN            NaN   1.15144                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8568                 NaN            NaN            NaN  0.669997E-002            NaN            NaN   1.13652                 NaN            NaN            NaN            NaN            NaN            NaN
