|6.6.6
Archiving\03_Data\DfracLP/QFM/T13/T13_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        pxmn           Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1922.31        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.6561       0.343912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3410       0.659026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3445       0.655516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3486       0.651447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3553       0.644735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3516       0.639272                 NaN  0.908917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3516       0.633762                 NaN  0.146035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3564       0.629055                 NaN  0.145070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3603       0.625259                 NaN  0.144876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3653       0.620306                 NaN  0.144024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3682       0.617349                 NaN  0.144086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3717       0.613960                 NaN  0.143737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.6017       0.389132                 NaN  0.921127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.1564       0.824290                 NaN  0.193047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3827       0.603085                 NaN  0.142272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3884       0.597481                 NaN  0.140999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3861       0.599680                 NaN  0.142335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3951       0.590925                 NaN  0.140043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3952       0.590791                 NaN  0.140561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4003       0.585727                 NaN  0.139404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4016       0.584460                 NaN  0.139631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3351       0.651235                 NaN  0.137132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4754       0.510537                 NaN  0.140702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4078       0.578277                 NaN  0.138761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4126       0.573629                 NaN  0.137646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4132       0.573046                 NaN  0.137597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4139       0.572339                 NaN  0.137782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4188       0.567594                 NaN  0.136384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5979       0.392628                 NaN  0.948861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4461       0.540776                 NaN  0.131231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.2218       0.759930                 NaN  0.182326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4225       0.563886                 NaN  0.135790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4235       0.562896                 NaN  0.135795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3218       0.660547                 NaN  0.176748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5287       0.461896                 NaN  0.937578E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4247       0.561794                 NaN  0.135038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5434       0.445839                 NaN  0.107388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3130       0.670876                 NaN  0.160806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4262       0.560393                 NaN  0.134386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4305       0.556212                 NaN  0.133091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4300       0.556729                 NaN  0.132864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4280       0.558618                 NaN  0.133366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        98.6492        1.31928                 NaN  0.315179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.9991       0.347959E-005            NaN  0.914046E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.6393       0.353377                 NaN  0.729413E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4256       0.561103                 NaN  0.132908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3105       0.673490                 NaN  0.159974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3304       0.654407                 NaN  0.151749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.6342       0.357514                 NaN  0.833263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4228       0.564035                 NaN  0.131955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4177       0.569022                 NaN  0.132501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4271       0.559981                 NaN  0.129609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4187       0.568126                 NaN  0.131329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4188       0.568092                 NaN  0.130754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4148       0.572088                 NaN  0.130969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4147       0.572260                 NaN  0.130653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4182       0.568819                 NaN  0.129437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4054       0.581507                 NaN  0.131395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4074       0.579564                 NaN  0.130383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.2067       0.775948                 NaN  0.173324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6364       0.355645                 NaN  0.792213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3641       0.622168                 NaN  0.137816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3985       0.588593                 NaN  0.129495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3949       0.592160                 NaN  0.129882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3927       0.594335                 NaN  0.129331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3882       0.598800                 NaN  0.129610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3834       0.603630                 NaN  0.129831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3828       0.604309                 NaN  0.129020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3884       0.598837                 NaN  0.127286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3624       0.624438                 NaN  0.131744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3694       0.617685                 NaN  0.129453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3667       0.620382                 NaN  0.129163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3616       0.625470                 NaN  0.129342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3580       0.629110                 NaN  0.129165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3416       0.645185                 NaN  0.131725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3591       0.628189                 NaN  0.127054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3453       0.641820                 NaN  0.129053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3398       0.647262                 NaN  0.129433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3372       0.649922                 NaN  0.128816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3311       0.656024                 NaN  0.129184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3949       0.593539                 NaN  0.115940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2473       0.738345                 NaN  0.143194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3183       0.668789                 NaN  0.128818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3113       0.675789                 NaN  0.129277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3399       0.647703                 NaN  0.123514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2710       0.715559                 NaN  0.134888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2978       0.689243                 NaN  0.129091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2906       0.696439                 NaN  0.129420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2888       0.698284                 NaN  0.128914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2832       0.703882                 NaN  0.129220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2765       0.710589                 NaN  0.129444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2737       0.713350                 NaN  0.129015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2559       0.730711                 NaN  0.133463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2686       0.718827                 NaN  0.125680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2607       0.726394                 NaN  0.128843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2557       0.731446                 NaN  0.128920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2506       0.736492                 NaN  0.129136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2459       0.741166                 NaN  0.129191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2359       0.751041                 NaN  0.130109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2430       0.744224                 NaN  0.128153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2321       0.754962                 NaN  0.129575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2326       0.754510                 NaN  0.128632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.5291       0.462847                 NaN  0.801401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.9225        1.05977                 NaN  0.177494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2193       0.767797                 NaN  0.128883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2158       0.771310                 NaN  0.128771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2128       0.774338                 NaN  0.128721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2129       0.774292                 NaN  0.128403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1986       0.788418                 NaN  0.130166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2165       0.770781                 NaN  0.126747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2024       0.784750                 NaN  0.128597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2055       0.781730                 NaN  0.127748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2004       0.786816                 NaN  0.128030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1989       0.788261                 NaN  0.128018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1988       0.788407                 NaN  0.127695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1980       0.789221                 NaN  0.127544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.1978       0.789450                 NaN  0.127251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.1957       0.791425                 NaN  0.128381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.1994       0.787951                 NaN  0.126171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.1976       0.789719                 NaN  0.126596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.1946       0.792753                 NaN  0.126862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.2014       0.785957                 NaN  0.125981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2016       0.785868                 NaN  0.125651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.2014       0.786048                 NaN  0.125447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.2020       0.785453                 NaN  0.125278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.2053       0.782265                 NaN  0.124816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.2068       0.780782                 NaN  0.124465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.2086       0.779008                 NaN  0.124101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.2120       0.775627                 NaN  0.123645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.2131       0.774545                 NaN  0.123561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.2184       0.769324                 NaN  0.122843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.2201       0.767692                 NaN  0.122453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.8392       0.479206                 NaN  0.201656E-002            NaN  0.679577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4132       0.146655                 NaN            NaN            NaN   1.44015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.1547       0.234831                 NaN            NaN            NaN  0.610431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        97.7411       0.410955E-001            NaN            NaN            NaN   2.21781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.4835       0.132687                 NaN            NaN            NaN   1.38386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5062       0.127282                 NaN            NaN            NaN   1.36652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5360       0.129965                 NaN            NaN            NaN   1.33408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5527       0.123089                 NaN            NaN            NaN   1.32425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        90.7335       0.336721E-001  0.615874       0.708576E-002            NaN   8.60986       0.119214E-009            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.3033       0.558259E-001            NaN            NaN            NaN  0.640834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        97.0826       0.205389                 NaN            NaN            NaN   2.71201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.1055       0.468711E-001            NaN            NaN            NaN  0.847615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7646       0.911451E-001            NaN            NaN            NaN   1.14428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7705       0.792959E-001            NaN            NaN            NaN   1.15019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8028       0.831442E-001            NaN            NaN            NaN   1.11402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8103       0.792601E-001            NaN            NaN            NaN   1.11047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8248       0.749138E-001            NaN            NaN            NaN   1.10024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8407       0.753604E-001            NaN            NaN            NaN   1.08394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.8552       0.739465E-001            NaN            NaN            NaN   1.07089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1939       0.414192E-001            NaN            NaN            NaN  0.764645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.5497       0.863513E-001            NaN            NaN            NaN   1.36393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.8943       0.609889E-001            NaN            NaN            NaN   1.04470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9066       0.616890E-001            NaN            NaN            NaN   1.03175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.9163       0.567586E-001            NaN            NaN            NaN   1.02692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9300       0.531029E-001            NaN            NaN            NaN   1.01689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9434       0.535202E-001            NaN            NaN            NaN   1.00308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9505       0.461043E-001            NaN            NaN            NaN   1.00343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9615       0.429168E-001            NaN            NaN            NaN  0.995544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.9732       0.416695E-001            NaN            NaN            NaN  0.985145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.9815       0.388421E-001            NaN            NaN            NaN  0.979693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
